root	grade	endpoint	component_recipe	strength	candidate_bare_surface	candidate_entry_surface	workshop_reading_de	image_reading_de	apprentice_instruction_de
OK	NONE	DY	OK+DY	STRONG_PREDICTION	okdy	qokdy	Arbeitsgang ansetzen; Arbeitsschritt schließen	Bildplatz aktivieren; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
SH	EEE	DY	SH+EEE+DY	STRONG_PREDICTION	sheeedy	qsheeedy	Arbeitsgegenstand halten; vollständig; Arbeitsschritt schließen	Bezug festhalten; dritter oder voller Grad; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
SH	EEE	Y	SH+EEE+Y	STRONG_PREDICTION	sheeey	qsheeey	Arbeitsgegenstand halten; vollständig; dieser Arbeitsgegenstand	Bezug festhalten; dritter oder voller Grad; dieser Bildplatz	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
SOLK	EEE	DY	SOLK+EEE+DY	STRONG_PREDICTION	solkeeedy	qsolkeeedy	auffangen; vollständig; Arbeitsschritt schließen	Sammelstelle; dritter oder voller Grad; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
SOLK	EEE	Y	SOLK+EEE+Y	STRONG_PREDICTION	solkeeey	qsolkeeey	auffangen; vollständig; dieser Arbeitsgegenstand	Sammelstelle; dritter oder voller Grad; dieser Bildplatz	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
SOLK	NONE	DY	SOLK+DY	STRONG_PREDICTION	solkdy	qsolkdy	auffangen; Arbeitsschritt schließen	Sammelstelle; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
CHK	E	DY	CHK+E+DY	WORKING_PREDICTION	chekedy	qchekedy	Arbeitsgegenstand behandeln; kurz oder direkt; Arbeitsschritt schließen	Behandlungsklasse; erster Grad; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
CHK	EEE	DY	CHK+EEE+DY	WORKING_PREDICTION	chekeeedy	qchekeeedy	Arbeitsgegenstand behandeln; vollständig; Arbeitsschritt schließen	Behandlungsklasse; dritter oder voller Grad; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
CHK	EEE	Y	CHK+EEE+Y	WORKING_PREDICTION	cheeeky	qcheeeky	Arbeitsgegenstand behandeln; vollständig; dieser Arbeitsgegenstand	Behandlungsklasse; dritter oder voller Grad; dieser Bildplatz	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
CHK	NONE	DY	CHK+DY	WORKING_PREDICTION	chkdy	qchkdy	Arbeitsgegenstand behandeln; Arbeitsschritt schließen	Behandlungsklasse; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
K	E	Y	K+E+Y	WORKING_PREDICTION	key	qkey	Material zugeben; kurz oder direkt; dieser Arbeitsgegenstand	Wert zuordnen; erster Grad; dieser Bildplatz	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
K	EEE	Y	K+EEE+Y	WORKING_PREDICTION	keeey	qkeeey	Material zugeben; vollständig; dieser Arbeitsgegenstand	Wert zuordnen; dritter oder voller Grad; dieser Bildplatz	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
K	NONE	DY	K+DY	WORKING_PREDICTION	kdy	qkdy	Material zugeben; Arbeitsschritt schließen	Wert zuordnen; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
T	EE	DY	T+EE+DY	WORKING_PREDICTION	teedy	qteedy	Arbeitsgang einstellen; länger oder gehalten; Arbeitsschritt schließen	Platz oder Wert einstellen; zweiter Grad; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
T	EEE	DY	T+EEE+DY	WORKING_PREDICTION	teeedy	qteeedy	Arbeitsgang einstellen; vollständig; Arbeitsschritt schließen	Platz oder Wert einstellen; dritter oder voller Grad; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
T	EEE	Y	T+EEE+Y	WORKING_PREDICTION	teeey	qteeey	Arbeitsgang einstellen; vollständig; dieser Arbeitsgegenstand	Platz oder Wert einstellen; dritter oder voller Grad; dieser Bildplatz	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
T	NONE	DY	T+DY	WORKING_PREDICTION	tdy	qtdy	Arbeitsgang einstellen; Arbeitsschritt schließen	Platz oder Wert einstellen; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
CPH	E	Y	CPH+E+Y	WORKING_PREDICTION	cphey	qcphey	umleiten; kurz oder direkt; dieser Arbeitsgegenstand	Gegenplatz; erster Grad; dieser Bildplatz	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
CPH	EE	DY	CPH+EE+DY	WORKING_PREDICTION	cpheedy	qcpheedy	umleiten; länger oder gehalten; Arbeitsschritt schließen	Gegenplatz; zweiter Grad; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
CPH	EEE	DY	CPH+EEE+DY	WORKING_PREDICTION	cpheeedy	qcpheeedy	umleiten; vollständig; Arbeitsschritt schließen	Gegenplatz; dritter oder voller Grad; Bildeintrag schließen	Bedeutung aus der Komponentenfolge lesen; Oberflächenform erst danach nach Schreibplatz wählen.
