candidate	eleven_role_values	meaning_settings	original_local_reading	projected_additional_contexts	complete_shared_contexts	projection_exclusions	joint_exclusions	independent_meaning_capacity
B00	"{""chedy"": ""FIRST_CARGO"", ""lchedy"": ""W"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""OTHER"", ""there"": ""GOAL""}"	RETAINED	2	0	118	2	0
B01	"{""chedy"": ""FIRST_CARGO"", ""lchedy"": ""W"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""OTHER"", ""there"": ""CURRENT""}"	RETAINED	2	0	118	2	0
B02	"{""chedy"": ""FIRST_CARGO"", ""lchedy"": ""C"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""OTHER"", ""there"": ""GOAL""}"	RETAINED	2	0	118	2	0
B03	"{""chedy"": ""FIRST_CARGO"", ""lchedy"": ""C"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""OTHER"", ""there"": ""CURRENT""}"	RETAINED	2	0	118	2	0
B04	"{""chedy"": ""W"", ""lchedy"": ""C"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""OTHER"", ""there"": ""GOAL""}"	RETAINED	2	0	118	2	0
B05	"{""chedy"": ""W"", ""lchedy"": ""C"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""OTHER"", ""there"": ""CURRENT""}"	RETAINED	2	0	118	2	0
B06	"{""chedy"": ""W"", ""lchedy"": ""C"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""FIRST"", ""there"": ""GOAL""}"	RETAINED	2	0	118	2	0
B07	"{""chedy"": ""W"", ""lchedy"": ""C"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""FIRST"", ""there"": ""CURRENT""}"	RETAINED	2	0	118	2	0
B08	"{""chedy"": ""C"", ""lchedy"": ""W"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""OTHER"", ""there"": ""GOAL""}"	RETAINED	2	0	118	2	0
B09	"{""chedy"": ""C"", ""lchedy"": ""W"", ""otaiin"": ""THERE"", ""otedy"": ""RETURN"", ""otor"": ""COLOC"", ""qokedy"": ""G"", ""qoteedy"": ""B"", ""sar"": ""UNSAFE"", ""shedy"": ""M"", ""sol"": ""THEN"", ""solkeedy"": ""WITH_TRIP""}"	"{""copy"": ""FIRST"", ""exclude"": ""EXCLUDING"", ""first"": ""FIRST"", ""other"": ""OTHER"", ""there"": ""CURRENT""}"	RETAINED	2	0	118	2	0
