visible_surface	occurrences	previous_atom_sequence	enriched_atom_sequence	bound_modifier	residual_renderer_or_local	enriched_common_reading_de	owners	previous_composition_status	modifier_status	local_astro_reading_de
alaiin	1	AL+AIIN	AL+AIIN	NONE	NONE	Ziel-Sollwert	A1_LEFT_LOCAL_FIELD_32	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.
aldaiin	1	AL+AIIN	AL+AIIN	NONE	D	Ziel-Sollwert; lokaler D-Rahmen	A1_LEFT_OUTER_RING_TEXT	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest d.
chedaiin	1	CHD+AIIN	CHD+AIIN	NONE	UNRESOLVED_LOCAL	ZUM SOLLWERT UMSETZEN	A1_LEFT_LOCAL_FIELD_39	FORWARD_SINGLE_CELL	UNCHANGED_COMPONENT_HINT	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.
cheokorchey	1	CHEO+OR	CHEO+OR	NONE	UNRESOLVED_LOCAL	Auszug/Ausgabe + Ansatz/Satz	A2_MIDDLE_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_MIDDLE_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che/chey.
chkchdar	1	KCH+AR	KCH+AR	NONE	UNRESOLVED_LOCAL	Bearbeiten + Quelle	A1_RIGHT_SECTOR_SLOT_08	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.
chkchykoly	1	KCH+OL	KCH+OL	NONE	UNRESOLVED_LOCAL	Bearbeiten + Fortsetzen	A2_MULTIPANEL_HEADER_FRAGMENT_07	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_07: Diagrammplatz berechnen oder bearbeiten + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/yk/y.
choaiin	1	HO+AIIN	HO+AIIN	NONE	UNRESOLVED_LOCAL	Eingangsposten + Sollwert/Maß	A3_LEFT_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmelsobjekt oder Eingangsbedingung + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest c.
choctheeey	1	HO+CTH	HO+CTH	NONE	UNRESOLVED_LOCAL	Eingangsposten + Bereitwert	A2_LEFT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/cth/y.
chokal	1	HO+AL	HO+AL	NONE	UNRESOLVED_LOCAL	Eingangsposten + Ziel	A2_RIGHT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sektorplatz A2_RIGHT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ch.
dchdar	1	CHD+AR	CHD+AR	NONE	UNRESOLVED_LOCAL	Umsetzen + Quelle	A1_LEFT_OUTER_STAR_STATION_02	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A1_LEFT_OUTER_STAR_STATION_02: Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d.
dolchedy	1	OL+CHD	OL+CHD	NONE	UNRESOLVED_LOCAL	Fortsetzen + Umsetzen	A2_STAR_STATION_28	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A2_STAR_STATION_28: im selben Ring, Band oder Satz fortsetzen + Wert oder Platzbezug uebertragen; lokaler Namensrest d/y.
eckhear	1	CKHE+AR	CKHE+AR	NONE	UNRESOLVED_LOCAL	Seihen/Trennen + Quelle	A2_RIGHT_PANEL_HEADER	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sektorplatz A2_RIGHT_PANEL_HEADER: durch Sektor, Ring oder Pruefweg fuehren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.
iokeeor	1	OK+OR	OK+OR	NONE	UNRESOLVED_LOCAL	Aktivieren + Ansatz/Satz	A3_MIDDLE_WHEEL_RING_TEXT	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest i.
octhole	1	CTH+OL	CTH+OL	NONE	UNRESOLVED_LOCAL	Bereitwert + Fortsetzen	A1_LEFT_LOCAL_FIELD_38	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Sternplatz A1_LEFT_LOCAL_FIELD_38: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest octh/e.
okaiiin	1	OK+IIN	OK+IIN	NONE	UNRESOLVED_LOCAL	Aktivieren + Stufe	A2_MULTIPANEL_HEADER_FRAGMENT_04	LEARNED_ASTRO_WORD_WITH_COMPONENT_HINT	UNCHANGED_COMPONENT_HINT	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_04: Diagrammposten setzen oder aktivieren + Grad- oder Bedingungsstufe; lokaler Namensrest ai.
okar	4	OK+AR	OK+AR	NONE	NONE	Quelle aktivieren	A1_RIGHT_SECTOR_SLOT_03|A1_RIGHT_SECTOR_SLOT_10|A3_LEFT_WHEEL_RING_TEXT	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.
okardy	1	OK+AR	OK+AR+DY_BOUND	DY_BOUND	NONE	Quelle aktivieren und Auswahl festhalten	A2_CENTRAL_LEGEND_UNRESOLVED	FAMILY_COMPOSITION	ENRICHED_BOUND_MODIFIER	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dy.
