review_id	event_id	statement_id	review_class	immediate_object_fork	current_clause_de	issue_de	fluent_default_de	object_rival_clause_de	default_action
W01	G407-E1433	G407-S083	STYLE_SCOPE_ONLY	NO	Halte die Anwendungsportion und den Stationsansatz im Bad auf Grad I und über den Stationskontakt oder die Leitung	Trägermenge klingt wie zwei gleichrangige Realpatienten.	Halte den Stationsansatz mitsamt der Anwendungsportion über Kontakt oder Leitung im Bad auf Grad I.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W02	G407-E1523	G407-S101	STYLE_SCOPE_ONLY	NO	Halte dieselbe Becken- oder Körpereinheit im Bad auf Grad I	Terminologische Alternative, keine sichere Fehlbindung.	Halte dieselbe Einheit im Bad auf Grad I; Nebenkanal: Becken-/Körpereinheit.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W03	G407-E1574	G407-S115	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Herkunft, Weg und Ziel sind flach an statisches Halten gebunden.	Halte den Stationsansatz an der Arbeitsstelle im Bad auf Grad I; Bezugspfad: Ausgang – Kontakt/Leitung – Ziel.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W04	G407-E1599	G407-S119	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz, die Badeinheit und die Anwendungsportion im Bad in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung	Stärkste Trägerüberbindung: sechs Schriftträger werden als drei Realobjekte gesprochen.	Halte den Stationsansatz in Anwendungsform mitsamt Badeinheit und Anwendungsportion über Kontakt/Leitung im Bad auf Grad I.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W05	G407-E1611	G407-S119	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz und die Badeinheit im Bad in Anwendungsform, auf Grad I, an der Stations-Arbeitsstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung	Begleitträger und vier Modifikatoren sind flach koordiniert.	Halte den Stationsansatz in Anwendungsform mitsamt der Badeinheit an der Arbeitsstelle im Bad auf Grad I; Herkunft Ausgangsstation, Bezug Kontakt/Leitung.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W06	G407-E1648	G407-S122	STYLE_SCOPE_ONLY	NO	Halte die Anwendungsportion und den Stationsansatz im Bad an der Stations-Hauptstelle, an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	Zwei Patienten und drei Ortsrollen sind flach koordiniert.	Halte den Stationsansatz mitsamt der Anwendungsportion im Bad; Orte Haupt-/Arbeitsstelle, Herkunft Ausgangsstation.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W07	G407-E1795	G407-S177	STYLE_SCOPE_ONLY	NO	Halte die Badeinheit und den Stationsansatz im Bad auf Grad I und an der Stations-Arbeitsstelle	Begleitträger statt sicherer zweiter Patient.	Halte den Stationsansatz mitsamt der Badeinheit an der Arbeitsstelle im Bad auf Grad I.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W08	G407-E2476	G407-S341	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz und die Badeinheit im Bad auf Grad I und über den Stationskontakt oder die Leitung	Begleitträger klingt wie zweiter gleichrangiger Patient.	Halte den Stationsansatz mitsamt der Badeinheit über Kontakt/Leitung im Bad auf Grad I.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W09	G407-E2539	G407-S359	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken	Route ist flach an statisches Halten gebunden.	Halte den Stationsansatz an der Arbeitsstelle im Bad auf Grad I; Bezugspfad Ausgang → Ziel.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W10	G407-E2719	G407-S396	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz im Bad in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle	Reine Wortstellungsverdichtung.	Halte den Stationsansatz in feiner Anwendungsform an der Arbeitsstelle im Bad.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W11	G407-E2778	G407-S401	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz und die Anwendungsportion im Bad auf Grad II und über den Stationskontakt oder die Leitung	Begleitträger klingt wie zweiter Patient.	Halte den Stationsansatz mitsamt der Anwendungsportion über Kontakt/Leitung im Bad auf Grad II.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
W12	G407-E2934	G407-S443	STYLE_SCOPE_ONLY	NO	Halte den Stationsansatz im Bad in Anwendungsform, auf Grad I, in Feinform, an der Stations-Hauptstelle und über den Stationskontakt oder die Leitung	Vier Modifikatoren; Objekt bleibt stabil.	Halte den Stationsansatz in feiner Anwendungsform an der Hauptstelle über Kontakt/Leitung im Bad auf Grad I.	NONE	KEEP_CURRENT_OBJECT__USE_FLUENT_SCOPE
