global_running_ordinal	global_running_event_id	physical_page	source_panel	register	locus	source_order	source_statement_id	owner_de	surface	component_recipe	working_core_reading_de	portable_core_inventory	reading_layer	surface_status	admission_color	owner_class	owner_local_reading_de	back_projected_core_reading_de	roundtrip_exact	local_expansion_rule
1	G407-E0001	f1r	f1r	SOURCE_SECTION_T	f1r.1	1	G404-S001	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	CH|Y|S	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_MICROFORM_OLD_FACTORS	AMBER	TEXTBLOCK	HIER · HIER · ENTNEHMEN · LAUFENDER EINTRAG · AUSWÄHLEN	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
2	G407-E0002	f1r	f1r	SOURCE_SECTION_T	f1r.1	2	G404-S001	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	POSTEN · GEBEN · ZIELORT	Y|K|AL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	LAUFENDER EINTRAG · ZUORDNEN · ZIELSPALTE	POSTEN · GEBEN · ZIELORT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
3	G407-E0003	f1r	f1r	SOURCE_SECTION_T	f1r.1	3	G404-S001	F1R_TEXT_BLOCK_A	ar	AR	AUSGANG	AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	AUSGANGSZEILE	AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
4	G407-E0004	f1r	f1r	SOURCE_SECTION_T	f1r.1	4	G404-S001	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	HIER · EINSTELLEN · WERT	T|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	HIER · FESTLEGEN · KENNWERT	HIER · EINSTELLEN · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
5	G407-E0005	f1r	f1r	SOURCE_SECTION_T	f1r.1	5	G404-S001	F1R_TEXT_BLOCK_A	shol	SH+OL	HALTEN · FORTSETZEN	SH|OL	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	FESTHALTEN · WEITERFÜHREN	HALTEN · FORTSETZEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
6	G407-E0006	f1r	f1r	SOURCE_SECTION_T	f1r.1	6	G404-S001	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	HALTEN · EINHEIT · POSTEN	SH|OR|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	FESTHALTEN · EINTRAGSEINHEIT · LAUFENDER EINTRAG	HALTEN · EINHEIT · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
7	G407-E0007	f1r	f1r	SOURCE_SECTION_T	f1r.1	7	G404-S001	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	CH|T|R|S	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_MICROFORM_OLD_FACTORS	AMBER	TEXTBLOCK	ENTNEHMEN · FESTLEGEN · KENNZEICHNEN · GRAD I · AUSWÄHLEN	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
8	G407-E0008	f1r	f1r	SOURCE_SECTION_T	f1r.1	8	G404-S001	F1R_TEXT_BLOCK_A	y	Y	POSTEN	Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	LAUFENDER EINTRAG	POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
9	G407-E0009	f1r	f1r	SOURCE_SECTION_T	f1r.1	9	G404-S001	F1R_TEXT_BLOCK_A	kor	K+OR	GEBEN · EINHEIT	K|OR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	ZUORDNEN · EINTRAGSEINHEIT	GEBEN · EINHEIT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
10	G407-E0010	f1r	f1r	SOURCE_SECTION_T	f1r.1	10	G404-S001	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	HALTEN · FORTSETZEN · HIER · POSTEN	SH|OL|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	FESTHALTEN · WEITERFÜHREN · HIER · LAUFENDER EINTRAG	HALTEN · FORTSETZEN · HIER · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
11	G407-E0011	f1r	f1r	SOURCE_SECTION_T	f1r.2	11	G404-S001	F1R_TEXT_BLOCK_A	sory	S+OR+Y	WÄHLEN · EINHEIT · POSTEN	S|OR|Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	AUSWÄHLEN · EINTRAGSEINHEIT · LAUFENDER EINTRAG	WÄHLEN · EINHEIT · POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
12	G407-E0012	f1r	f1r	SOURCE_SECTION_T	f1r.2	12	G404-S001	F1R_TEXT_BLOCK_A	ckhar	CH+K+AR	NEHMEN · GEBEN · AUSGANG	CH|K|AR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	ENTNEHMEN · ZUORDNEN · AUSGANGSZEILE	NEHMEN · GEBEN · AUSGANG	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
13	G407-E0013	f1r	f1r	SOURCE_SECTION_T	f1r.2	13	G404-S001	F1R_TEXT_BLOCK_A	or	OR	EINHEIT	OR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	EINTRAGSEINHEIT	EINHEIT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
14	G407-E0014	f1r	f1r	SOURCE_SECTION_T	f1r.2	14	G404-S001	F1R_TEXT_BLOCK_A	y	Y	POSTEN	Y	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	LAUFENDER EINTRAG	POSTEN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
15	G407-E0015	f1r	f1r	SOURCE_SECTION_T	f1r.2	15	G404-S001	F1R_TEXT_BLOCK_A	kair	K+AIR	GEBEN · BAHN	K|AIR	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	EXACT_SURFACE_ONE_RECIPE	GREEN	TEXTBLOCK	ZUORDNEN · LESEBAHN	GEBEN · BAHN	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
16	G407-E0016	f1r	f1r	SOURCE_SECTION_T	f1r.2	16	G404-S001	F1R_TEXT_BLOCK_A	chtaiin	CH+T+AIIN	NEHMEN · EINSTELLEN · WERT	CH|T|AIIN	COMPOSITIONAL_WORKING_READING__OWNER_SUPPLIES_LOCAL_CONTENT	NEW_VISIBLE_COMPOSITION	GREEN	TEXTBLOCK	ENTNEHMEN · FESTLEGEN · KENNWERT	NEHMEN · EINSTELLEN · WERT	YES	PORTABLER KERN + SICHTBARER BESITZER; KEINE ZWEITE KERNBEDEUTUNG
