root	portable_default_de	register	owner_class	owner_de	owner_local_expansion_de	mention_count	event_count	statement_count	sample_surfaces	sample_statement_ids	back_projection_de	status
AIIN	WERT	BIOLOGICAL	BAD_ODER_BECKENFELD	F81R_LOWER_POOL	STATIONSWERT	6	6	6	odaiin|daiin|taiin|olkaiin|kaiin	G404-S042|G404-S043|G404-S051	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	BAD_ODER_BECKENFELD	F81R_UPPER_POOL	STATIONSWERT	1	1	1	olaiin	G404-S015	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	STATIONSWERT	44	44	30	qotaiin|qokaiin|chedaiin|shedaiin	P1009-S302|P1009-S304|P1009-S311	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Variantenatlas lokaler Becken und Anwendungen	STATIONSWERT	28	28	22	qokaiin|daiin|qekaiin	P1009-S501|P1009-S504|P1009-S505	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	BAD_ODER_BECKENFELD	gemeinsames zweireihiges Badfeld	STATIONSWERT	18	18	8	okaiin|saiin|daiin|qokaiin|kaiin	P1009-S386	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	BAD_ODER_BECKENFELD	großes Bad-/Stationsblatt mit dreieckiger Insel	STATIONSWERT	4	4	4	saiin|lkaiin|olaiin|okaiin	P1009-S100|P1009-S119|P1009-S174	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	BAD_ODER_BECKENFELD	mehrere getrennte Bad- und Leitungsstationen	STATIONSWERT	30	30	17	daiin|solkaiin|qokaiin	P1009-S437|P1009-S440	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A0	STATIONSWERT	1	1	1	aiiny	P1009-S188	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A2	STATIONSWERT	2	2	2	qoaiin|aiin	P1009-S197|P1009-S198	WERT	OWNER_LOCAL_ONLY
AIIN	WERT	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A3	STATIONSWERT	3	3	3	raiiin|saiin|okaiin	P1009-S204|P1009-S205|P1009-S208	WERT	OWNER_LOCAL_ONLY
