root	portable_default_de	structural_category	register	owner_local_expansion_de	back_projection_de	mention_count	guardrail_mention_count	event_count	page_count	owner_count	sample_pages	sample_owners	sample_surfaces	do_not_overread_de	status
Y	POSTEN	ARGUMENT	SOURCE_SECTION_T	LAUFENDER EINTRAG	POSTEN	74	74	70	1	4	f1r	F1R_TEXT_BLOCK_A|F1R_TEXT_BLOCK_B|F1R_TEXT_BLOCK_C	fachys|ykal|shory|y|sholdy	nicht als Schluss lesen, auch wenn die Oberfläche dy lautet	SAME_CORE__OWNER_LOCAL_EXPANSION
Y	POSTEN	ARGUMENT	HERBAL	PFLANZENPOSTEN	POSTEN	333	333	307	9	9	f10r|f11r|f13r|f17r|f18r	F24V_WHOLE_PLANT|F95V_WHOLE_PLANT|abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	pchocthy|octhody|chorchy|ypch|dchey	nicht als Schluss lesen, auch wenn die Oberfläche dy lautet	SAME_CORE__OWNER_LOCAL_EXPANSION
Y	POSTEN	ARGUMENT	BIOLOGICAL	STATIONSPOSTEN	POSTEN	817	817	804	7	20	f75r|f76r|f77r|f81r|f81v	F81R_LOWER_POOL|F81R_UPPER_POOL|Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	kchedykary|okeey|shyk|chedy	nicht als Schluss lesen, auch wenn die Oberfläche dy lautet	SAME_CORE__OWNER_LOCAL_EXPANSION
Y	POSTEN	ARGUMENT	CELESTIAL	POSITIONSPOSTEN	POSTEN	182	182	168	4	15	f67r2|f68r1|f71v|f72r	Tierkreis-Ringgruppe A|Tierkreis-Ringgruppe B|Tierkreis-Ringgruppe C	aldy|soeey|y|otchey|dy	nicht als Schluss lesen, auch wenn die Oberfläche dy lautet	SAME_CORE__OWNER_LOCAL_EXPANSION
Y	POSTEN	ARGUMENT	PHARMA	DROGENPOSTEN	POSTEN	205	205	196	3	9	f88r|f88v|f89r	Gefäß-/Pflanzenteilgruppe A|Gefäß-/Pflanzenteilgruppe B|Gefäß-/Pflanzenteilgruppe C	dorsheoy|qockhey|dory|oky|qokeody	nicht als Schluss lesen, auch wenn die Oberfläche dy lautet	SAME_CORE__OWNER_LOCAL_EXPANSION
OK	SETZEN	HANDLUNG	SOURCE_SECTION_T	EINTRAGEN	SETZEN	16	16	16	1	4	f1r	F1R_TEXT_BLOCK_A|F1R_TEXT_BLOCK_B|F1R_TEXT_BLOCK_C	okaiin|okan|okchoy|oksho	nicht automatisch erhitzen, spülen oder beginnen	SAME_CORE__OWNER_LOCAL_EXPANSION
OK	SETZEN	HANDLUNG	HERBAL	ARBEITSGANG ANSETZEN	SETZEN	114	114	113	9	9	f10r|f11r|f13r|f17r|f18r	F24V_WHOLE_PLANT|F95V_WHOLE_PLANT|abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	oky|qokchy|qokchol|ytchoky|okchol	nicht automatisch erhitzen, spülen oder beginnen	SAME_CORE__OWNER_LOCAL_EXPANSION
OK	SETZEN	HANDLUNG	BIOLOGICAL	STATIONSGANG ANSETZEN	SETZEN	482	482	482	7	20	f75r|f76r|f77r|f81r|f81v	F81R_LOWER_POOL|F81R_UPPER_POOL|Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	okeey|qokar|qokain|ok|qokeedy	nicht automatisch erhitzen, spülen oder beginnen	SAME_CORE__OWNER_LOCAL_EXPANSION
OK	SETZEN	HANDLUNG	CELESTIAL	POSITION SETZEN	SETZEN	76	76	76	4	15	f67r2|f68r1|f71v|f72r	Tierkreis-Ringgruppe A|Tierkreis-Ringgruppe B|Tierkreis-Ringgruppe C	okoes|okeo|dokan|okol|okey	nicht automatisch erhitzen, spülen oder beginnen	SAME_CORE__OWNER_LOCAL_EXPANSION
OK	SETZEN	HANDLUNG	PHARMA	ANSATZ ANSETZEN	SETZEN	86	86	86	3	9	f88r|f88v|f89r	Gefäß-/Pflanzenteilgruppe A|Gefäß-/Pflanzenteilgruppe B|Gefäß-/Pflanzenteilgruppe C	qokor|oky|okeom|qokeody|qokeol	nicht automatisch erhitzen, spülen oder beginnen	SAME_CORE__OWNER_LOCAL_EXPANSION
