awkwardness_rank	semantic_family	component_recipe	current_reading_de	events	weak_components	awkwardness_score	revision_wave	selected_components
1	SEM031	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	1	T|CH|O	15	NOW_T_CH_K	T|CH
2	SEM007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	1	T|CH	12	NOW_T_CH_K	T|CH
3	SEM032	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	1	O|T	11	NOW_T_CH_K	T
4	SEM056	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	1	CH|O	10	NOW_T_CH_K	CH
5	SEM006	CH+AIR	ABNEHMEN · LAUF	1	CH|AIR	9	NOW_T_CH_K	CH
6	SEM022	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	1	O|K	9	NOW_T_CH_K	K
7	SEM024	CH+O+AIIN	ABNEHMEN · GANG · MASS	1	CH|O	9	NOW_T_CH_K	CH
8	SEM044	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	1	CH|O	9	NOW_T_CH_K	CH
9	SEM060	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	1	CH|O	9	NOW_T_CH_K	CH
10	SEM066	K+AIR	ZUDOSIEREN · LAUF	1	K|AIR	9	NOW_T_CH_K	K
11	SEM118	CH+E+S	ABNEHMEN · KURZ · TEILEN	1	CH|S	8	NOW_T_CH_K	CH
12	SEM002	CTH+O+OR	BEREIT · GANG · ANSATZ	1	CTH|O	7	QUEUE	NONE
13	SEM017	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	1	O|CTH	7	QUEUE	NONE
14	SEM102	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	1	O|CTH	7	QUEUE	NONE
15	SEM004	T+Y	EINTRAGEN · DIES	2	T	6	NOW_T_CH_K	T
16	SEM010	E+T+Y	KURZ · EINTRAGEN · DIES	1	T	6	NOW_T_CH_K	T
17	SEM025	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	T	6	NOW_T_CH_K	T
18	SEM048	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	1	T	6	NOW_T_CH_K	T
19	SEM088	T+E+Y	EINTRAGEN · KURZ · DIES	1	T	6	NOW_T_CH_K	T
20	SEM142	EEE+T+Y	VOLL · EINTRAGEN · DIES	1	T	6	NOW_T_CH_K	T
21	SEM067	K+AIN	ZUDOSIEREN · PORTION	3	K	5	NOW_T_CH_K	K
22	SEM019	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	2	CH	5	NOW_T_CH_K	CH
23	SEM068	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	2	K	5	NOW_T_CH_K	K
24	SEM001	CH+E+Y	ABNEHMEN · KURZ · DIES	1	CH	5	NOW_T_CH_K	CH
25	SEM011	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	1	CH	5	NOW_T_CH_K	CH
26	SEM014	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	1	CH	5	NOW_T_CH_K	CH
27	SEM023	K+IIN	ZUDOSIEREN · STUFE	1	K	5	NOW_T_CH_K	K
28	SEM034	K+Y	ZUDOSIEREN · DIES	1	K	5	NOW_T_CH_K	K
29	SEM038	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	1	K	5	NOW_T_CH_K	K
30	SEM039	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	1	K	5	NOW_T_CH_K	K
31	SEM043	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	1	K	5	NOW_T_CH_K	K
32	SEM050	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	1	CH	5	NOW_T_CH_K	CH
33	SEM053	K+OL	ZUDOSIEREN · FORTSETZEN	1	K	5	NOW_T_CH_K	K
34	SEM058	K+E+Y	ZUDOSIEREN · KURZ · DIES	1	K	5	NOW_T_CH_K	K
35	SEM061	K+AL	ZUDOSIEREN · ZIEL	1	K	5	NOW_T_CH_K	K
36	SEM062	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	1	K	5	NOW_T_CH_K	K
37	SEM064	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	1	K	5	NOW_T_CH_K	K
38	SEM075	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	1	K	5	NOW_T_CH_K	K
39	SEM110	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	1	CH	5	NOW_T_CH_K	CH
40	SEM151	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	1	K	5	NOW_T_CH_K	K
41	SEM154	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	1	CH	5	NOW_T_CH_K	CH
42	SEM156	K+AR	ZUDOSIEREN · QUELLE	1	K	5	NOW_T_CH_K	K
43	SEM161	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	1	K	5	NOW_T_CH_K	K
44	SEM013	CTH+Y	BEREIT · DIES	7	CTH	4	QUEUE	NONE
45	SEM093	O+IIN	GANG · STUFE	2	O	4	QUEUE	NONE
46	SEM026	SH+O+AL	HALTEN · GANG · ZIEL	1	O	4	QUEUE	NONE
47	SEM040	O+DY	GANG · SCHLUSS	1	O	4	QUEUE	NONE
48	SEM063	OT+O+AIN	DANACH · GANG · PORTION	1	O	4	QUEUE	NONE
49	SEM082	LSH+O	WASCHEN · GANG	1	O	4	QUEUE	NONE
50	SEM124	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	1	O	4	QUEUE	NONE
51	SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	1	CTH	4	QUEUE	NONE
52	SEM131	OK+AIR	ANSETZEN · LAUF	1	AIR	4	QUEUE	NONE
53	SEM133	L+O	WEITERLEITEN · GANG	1	O	4	QUEUE	NONE
54	SEM143	CHD+AIR	UMSETZEN · LAUF	1	AIR	4	QUEUE	NONE
55	SEM152	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	1	O	4	QUEUE	NONE
56	SEM153	AIR+Y+DY	LAUF · DIES · SCHLUSS	1	AIR	4	QUEUE	NONE
57	SEM009	AIIN	MASS	20	NONE	3	KEEP	NONE
58	SEM012	OL	FORTSETZEN	20	NONE	3	KEEP	NONE
59	SEM018	Y	DIES	18	NONE	3	KEEP	NONE
60	SEM111	CTH+E+Y	BEREIT · KURZ · DIES	2	CTH	3	QUEUE	NONE
61	SEM016	CTH+AIIN	BEREIT · MASS	1	CTH	3	QUEUE	NONE
62	SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	1	CTH	3	QUEUE	NONE
63	SEM008	OK+Y	ANSETZEN · DIES	13	NONE	2	KEEP	NONE
64	SEM041	CHD+Y	UMSETZEN · DIES	12	NONE	2	KEEP	NONE
65	SEM076	SHED+DY	ABSETZEN · SCHLUSS	12	NONE	2	KEEP	NONE
66	SEM054	AL	ZIEL	10	NONE	2	KEEP	NONE
67	SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	10	NONE	2	KEEP	NONE
68	SEM037	OK+AIIN	ANSETZEN · MASS	9	NONE	1	KEEP	NONE
69	SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	8	NONE	1	KEEP	NONE
70	SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	8	NONE	1	KEEP	NONE
71	SEM015	OR	ANSATZ	7	NONE	1	KEEP	NONE
72	SEM078	OK+AIN	ANSETZEN · PORTION	7	NONE	1	KEEP	NONE
73	SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	7	NONE	1	KEEP	NONE
74	SEM047	OK+AL	ANSETZEN · ZIEL	6	NONE	1	KEEP	NONE
75	SEM003	AR	QUELLE	5	NONE	1	KEEP	NONE
76	SEM030	SH+EE+Y	HALTEN · LANG · DIES	5	NONE	1	KEEP	NONE
77	SEM074	CHD+DY	UMSETZEN · SCHLUSS	5	NONE	1	KEEP	NONE
78	SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	5	NONE	1	KEEP	NONE
79	SEM051	HO	ZUTAT	4	NONE	0	KEEP	NONE
80	SEM073	CKH+Y	DURCHLASS · DIES	4	NONE	0	KEEP	NONE
81	SEM035	OT+Y	DANACH · DIES	3	NONE	0	KEEP	NONE
82	SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	3	NONE	0	KEEP	NONE
83	SEM077	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	3	NONE	0	KEEP	NONE
84	SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	3	NONE	0	KEEP	NONE
85	SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	3	NONE	0	KEEP	NONE
86	SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	NONE	0	KEEP	NONE
87	SEM107	OT+AIIN	DANACH · MASS	3	NONE	0	KEEP	NONE
88	SEM125	OT+AL	DANACH · ZIEL	3	NONE	0	KEEP	NONE
89	SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	3	NONE	0	KEEP	NONE
90	SEM021	OL+OR	FORTSETZEN · ANSATZ	2	NONE	0	KEEP	NONE
91	SEM033	RESUME_CARD	WIEDERAUFNEHMEN	2	NONE	0	KEEP	NONE
92	SEM036	OK+OL	ANSETZEN · FORTSETZEN	2	NONE	0	KEEP	NONE
93	SEM046	OL+DY	FORTSETZEN · SCHLUSS	2	NONE	0	KEEP	NONE
94	SEM070	L	WEITERLEITEN	2	NONE	0	KEEP	NONE
95	SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	2	NONE	0	KEEP	NONE
96	SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	2	NONE	0	KEEP	NONE
97	SEM103	L+DY	WEITERLEITEN · SCHLUSS	2	NONE	0	KEEP	NONE
98	SEM104	OT+EE+Y	DANACH · LANG · DIES	2	NONE	0	KEEP	NONE
99	SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	2	NONE	0	KEEP	NONE
100	SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	2	NONE	0	KEEP	NONE
101	SEM135	SHED+AL	ABSETZEN · ZIEL	2	NONE	0	KEEP	NONE
102	SEM149	AIN	PORTION	2	NONE	0	KEEP	NONE
103	SEM005	OS	FACH	1	NONE	0	KEEP	NONE
104	SEM020	OT+OL	DANACH · FORTSETZEN	1	NONE	0	KEEP	NONE
105	SEM027	CFH+Y	AUSWRINGEN · DIES	1	NONE	0	KEEP	NONE
106	SEM028	SH+Y+AIIN	HALTEN · DIES · MASS	1	NONE	0	KEEP	NONE
107	SEM029	P+Y	EINFUELLEN · DIES	1	NONE	0	KEEP	NONE
108	SEM042	TALAM	VERWAHREN	1	NONE	0	KEEP	NONE
109	SEM049	OR+AIN	ANSATZ · PORTION	1	NONE	0	KEEP	NONE
110	SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	1	NONE	0	KEEP	NONE
111	SEM055	HO+Y	ZUTAT · DIES	1	NONE	0	KEEP	NONE
112	SEM057	SH	HALTEN	1	NONE	0	KEEP	NONE
113	SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	NONE	0	KEEP	NONE
114	SEM069	R+OL	KUEHLEN · FORTSETZEN	1	NONE	0	KEEP	NONE
115	SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	1	NONE	0	KEEP	NONE
116	SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	1	NONE	0	KEEP	NONE
117	SEM079	R+AL	KUEHLEN · ZIEL	1	NONE	0	KEEP	NONE
118	SEM085	SOLK+Y	AUFFANGEN · DIES	1	NONE	0	KEEP	NONE
119	SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	1	NONE	0	KEEP	NONE
120	SEM087	OT+AR	DANACH · QUELLE	1	NONE	0	KEEP	NONE
121	SEM090	E+OL	KURZ · FORTSETZEN	1	NONE	0	KEEP	NONE
122	SEM091	L+Y	WEITERLEITEN · DIES	1	NONE	0	KEEP	NONE
123	SEM092	SH+E+OL	HALTEN · KURZ · FORTSETZEN	1	NONE	0	KEEP	NONE
124	SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	1	NONE	0	KEEP	NONE
125	SEM098	L+CHD	WEITERLEITEN · UMSETZEN	1	NONE	0	KEEP	NONE
126	SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	1	NONE	0	KEEP	NONE
127	SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	1	NONE	0	KEEP	NONE
128	SEM101	SOLK+AIIN	AUFFANGEN · MASS	1	NONE	0	KEEP	NONE
129	SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	NONE	0	KEEP	NONE
130	SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	1	NONE	0	KEEP	NONE
131	SEM108	OK+AR	ANSETZEN · QUELLE	1	NONE	0	KEEP	NONE
132	SEM109	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	1	NONE	0	KEEP	NONE
133	SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	1	NONE	0	KEEP	NONE
134	SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	1	NONE	0	KEEP	NONE
135	SEM115	L+AR	WEITERLEITEN · QUELLE	1	NONE	0	KEEP	NONE
136	SEM116	SH+E+Y	HALTEN · KURZ · DIES	1	NONE	0	KEEP	NONE
137	SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	1	NONE	0	KEEP	NONE
138	SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	1	NONE	0	KEEP	NONE
139	SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	1	NONE	0	KEEP	NONE
140	SEM121	AL+DY	ZIEL · SCHLUSS	1	NONE	0	KEEP	NONE
141	SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	1	NONE	0	KEEP	NONE
142	SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	1	NONE	0	KEEP	NONE
143	SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	1	NONE	0	KEEP	NONE
144	SEM130	AR+Y	QUELLE · DIES	1	NONE	0	KEEP	NONE
145	SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	1	NONE	0	KEEP	NONE
146	SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	NONE	0	KEEP	NONE
147	SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	1	NONE	0	KEEP	NONE
148	SEM139	EE+AR	LANG · QUELLE	1	NONE	0	KEEP	NONE
149	SEM140	L+AIIN	WEITERLEITEN · MASS	1	NONE	0	KEEP	NONE
150	SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	1	NONE	0	KEEP	NONE
151	SEM144	CHD+AIN	UMSETZEN · PORTION	1	NONE	0	KEEP	NONE
152	SEM145	OT+E+AIIN	DANACH · KURZ · MASS	1	NONE	0	KEEP	NONE
153	SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	1	NONE	0	KEEP	NONE
154	SEM147	OL+Y	FORTSETZEN · DIES	1	NONE	0	KEEP	NONE
155	SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	1	NONE	0	KEEP	NONE
156	SEM150	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	1	NONE	0	KEEP	NONE
157	SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	1	NONE	0	KEEP	NONE
158	SEM157	L+OL	WEITERLEITEN · FORTSETZEN	1	NONE	0	KEEP	NONE
159	SEM158	CHD+AL	UMSETZEN · ZIEL	1	NONE	0	KEEP	NONE
160	SEM159	DA+IIN	ZWEIT · STUFE	1	NONE	0	KEEP	NONE
161	SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	1	NONE	0	KEEP	NONE
162	SEM162	R+AL+Y	KUEHLEN · ZIEL · DIES	1	NONE	0	KEEP	NONE
163	SEM163	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	1	NONE	0	KEEP	NONE
