pressure_rank	component	current_value_de	candidate_value_de	families	family_events	severity	pressure_score	decision	composition_reason_de
1	K	ZUDOSIEREN	ZUGEBEN	18	21	5	88	REVISE_NOW	ZUDOSIEREN ist modern und sperrig; ZUGEBEN passt Portion, Mass, Zutat und Wasser.
2	CH	ABNEHMEN	ENTNEHMEN	15	16	5	81	REVISE_NOW	ABNEHMEN schwankt zwischen Wegnehmen und Entfernen; ENTNEHMEN verbindet Quelle, Wasser und Teil.
3	T	EINTRAGEN	ANWENDEN	9	10	6	79	REVISE_NOW	EINTRAGEN ist in T+Y und Gradreihen zu buchhalterisch; ANWENDEN ergibt kurze Werkstattsaetze.
4	O	GANG	ARBEITSGANG	18	19	4	77	NEXT_QUEUE	GANG ist zu leer; ARBEITSGANG ist als Nomen in den O-Kompositionen klarer.
5	Y	DIES	DIES	55	124	0	75	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
6	DY	SCHLUSS	SCHLUSS	34	89	0	54	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
7	E	KURZ	KURZ	34	49	0	54	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
8	CTH	BEREIT	BEREITEN	8	15	3	53	NEXT_QUEUE	BEREIT wechselt zwischen Zustand und Verb; BEREITEN macht CTH+Y handlungsfaehig.
9	AIR	LAUF	WASSER	5	5	4	50	NEXT_QUEUE	LAUF benennt nur Form; die fuenf Karten lassen sich konkreter als Wasser lesen.
10	OL	FORTSETZEN	FORTSETZEN	23	48	0	43	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
11	AL	ZIEL	ZIEL	22	39	0	42	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
12	OK	ANSETZEN	ANSETZEN	20	79	0	40	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
13	SH	HALTEN	HALTEN	19	25	0	39	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
14	CHD	UMSETZEN	UMSETZEN	18	48	0	38	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
15	L	WEITERLEITEN	WEITERLEITEN	18	27	0	38	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
16	EE	LANG	LANG	15	40	0	35	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
17	OT	DANACH	DANACH	14	26	0	34	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
18	S	TEILEN	TEIL	1	1	3	32	NEXT_QUEUE	TEILEN ist in CH+E+S ein zweites Verb; TEIL ergibt ENTNEHMEN-KURZ-TEIL.
19	AIIN	MASS	MASS	10	39	0	30	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
20	OR	ANSATZ	ANSATZ	10	18	0	28	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
21	AIN	PORTION	PORTION	8	18	0	26	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
22	AR	QUELLE	QUELLE	10	14	0	24	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
23	CKH	DURCHLASS	DURCHLASS	9	14	0	23	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
24	SHED	ABSETZEN	ABSETZEN	3	15	0	18	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
25	HO	ZUTAT	ZUTAT	5	8	0	13	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
26	R	KUEHLEN	KUEHLEN	6	6	0	12	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
27	SOLK	AUFFANGEN	AUFFANGEN	5	7	0	12	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
28	CHK	WAERMEN	WAERMEN	3	7	0	10	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
29	IIN	STUFE	STUFE	3	4	0	7	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
30	P	EINFUELLEN	EINFUELLEN	3	3	0	6	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
31	LSH	WASCHEN	WASCHEN	2	3	0	5	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
32	EEE	VOLL	VOLL	2	2	0	4	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
33	RESUME_CARD	WIEDERAUFNEHMEN	WIEDERAUFNEHMEN	1	2	0	3	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
34	AN	NACHGABE	NACHGABE	1	1	0	2	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
35	CFH	AUSWRINGEN	AUSWRINGEN	1	1	0	2	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
36	DA	ZWEIT	ZWEIT	1	1	0	2	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
37	LD	BEFESTIGEN	BEFESTIGEN	1	1	0	2	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
38	OS	FACH	FACH	1	1	0	2	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
39	TALAM	VERWAHREN	VERWAHREN	1	1	0	2	KEEP	Aktueller Kurzwert komponiert ausreichend klar.
