order_id	case_id	step	surface	decoded_card_no	decoded_component_parse	decoded_command_de	exact_backward_read
C1-L01	C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-L01	C1	2	os	PROC005	OS	ARBEITSFACH	YES
C1-L01	C1	3	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-L01	C1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-L01	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-L01	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-L02	C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-L02	C1	2	os	PROC005	OS	ARBEITSFACH	YES
C1-L02	C1	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-L02	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-L02	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-L02	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-L03	C1	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-L03	C1	2	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-L03	C1	3	os	PROC005	OS	ARBEITSFACH	YES
C1-L03	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-L03	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-L03	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-L04	C1	1	os	PROC005	OS	ARBEITSFACH	YES
C1-L04	C1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-L04	C1	3	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-L04	C1	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-L04	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-L04	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-L05	C1	1	os	PROC005	OS	ARBEITSFACH	YES
C1-L05	C1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-L05	C1	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-L05	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-L05	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-L05	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-L06	C1	1	os	PROC005	OS	ARBEITSFACH	YES
C1-L06	C1	2	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-L06	C1	3	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-L06	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-L06	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-L06	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-L07	C1	1	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-L07	C1	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-L07	C1	3	os	PROC005	OS	ARBEITSFACH	YES
C1-L07	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-L07	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-L07	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C1-L08	C1	1	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C1-L08	C1	2	os	PROC005	OS	ARBEITSFACH	YES
C1-L08	C1	3	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C1-L08	C1	4	lsho	PROC084	LSH+O	WASCHEN · ARBEITSGANG	YES
C1-L08	C1	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C1-L08	C1	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C2-L01	C2	1	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2-L01	C2	2	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2-L01	C2	3	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2-L01	C2	4	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2-L01	C2	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2-L01	C2	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C2-L02	C2	1	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2-L02	C2	2	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2-L02	C2	3	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2-L02	C2	4	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2-L02	C2	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2-L02	C2	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C2-L03	C2	1	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2-L03	C2	2	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2-L03	C2	3	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2-L03	C2	4	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2-L03	C2	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2-L03	C2	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C2-L04	C2	1	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2-L04	C2	2	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2-L04	C2	3	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2-L04	C2	4	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2-L04	C2	5	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2-L04	C2	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C2-L05	C2	1	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	YES
C2-L05	C2	2	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	YES
C2-L05	C2	3	ches	PROC124	CH+E+S	ABNEHMEN · KURZ · TEILEN	YES
C2-L05	C2	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C2-L05	C2	5	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	YES
C2-L05	C2	6	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	YES
C3-L01	C3	1	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3-L01	C3	2	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3-L01	C3	3	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3-L01	C3	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3-L01	C3	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3-L01	C3	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C3-L02	C3	1	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3-L02	C3	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3-L02	C3	3	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3-L02	C3	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3-L02	C3	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3-L02	C3	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C3-L03	C3	1	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3-L03	C3	2	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3-L03	C3	3	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3-L03	C3	4	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3-L03	C3	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3-L03	C3	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C3-L04	C3	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3-L04	C3	2	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
C3-L04	C3	3	cphy	PROC030	P+Y	EINFUELLEN · ARBEITSPOSTEN	YES
C3-L04	C3	4	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	YES
C3-L04	C3	5	shey	PROC031	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	YES
C3-L04	C3	6	shedy	PROC078	SHED+DY	ABSETZEN; SCHLUSS	YES
C3-L05	C3	1	qokaiin	PROC038	OK+AIIN	ANSETZEN · SOLLMASS	YES
C3-L05	C3	2	cfhy	PROC028	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	YES
