order_id	case_id	left_step	right_step	card_bigram	source_occurrences	source_start_events
C1-L01	C1	1	2	PROC038|PROC005	0	NONE
C1-L01	C1	2	3	PROC005|PROC084	0	NONE
C1-L01	C1	3	4	PROC084|PROC048	0	NONE
C1-L01	C1	4	5	PROC048|PROC031	0	NONE
C1-L01	C1	5	6	PROC031|PROC078	0	NONE
C1-L02	C1	1	2	PROC038|PROC005	0	NONE
C1-L02	C1	2	3	PROC005|PROC048	0	NONE
C1-L02	C1	3	4	PROC048|PROC084	0	NONE
C1-L02	C1	4	5	PROC084|PROC031	0	NONE
C1-L02	C1	5	6	PROC031|PROC078	0	NONE
C1-L03	C1	1	2	PROC038|PROC048	0	NONE
C1-L03	C1	2	3	PROC048|PROC005	0	NONE
C1-L03	C1	3	4	PROC005|PROC084	0	NONE
C1-L03	C1	4	5	PROC084|PROC031	0	NONE
C1-L03	C1	5	6	PROC031|PROC078	0	NONE
C1-L04	C1	1	2	PROC005|PROC038	0	NONE
C1-L04	C1	2	3	PROC038|PROC084	0	NONE
C1-L04	C1	3	4	PROC084|PROC048	0	NONE
C1-L04	C1	4	5	PROC048|PROC031	0	NONE
C1-L04	C1	5	6	PROC031|PROC078	0	NONE
C1-L05	C1	1	2	PROC005|PROC038	0	NONE
C1-L05	C1	2	3	PROC038|PROC048	0	NONE
C1-L05	C1	3	4	PROC048|PROC084	0	NONE
C1-L05	C1	4	5	PROC084|PROC031	0	NONE
C1-L05	C1	5	6	PROC031|PROC078	0	NONE
C1-L06	C1	1	2	PROC005|PROC048	0	NONE
C1-L06	C1	2	3	PROC048|PROC038	0	NONE
C1-L06	C1	3	4	PROC038|PROC084	0	NONE
C1-L06	C1	4	5	PROC084|PROC031	0	NONE
C1-L06	C1	5	6	PROC031|PROC078	0	NONE
C1-L07	C1	1	2	PROC048|PROC038	0	NONE
C1-L07	C1	2	3	PROC038|PROC005	0	NONE
C1-L07	C1	3	4	PROC005|PROC084	0	NONE
C1-L07	C1	4	5	PROC084|PROC031	0	NONE
C1-L07	C1	5	6	PROC031|PROC078	0	NONE
C1-L08	C1	1	2	PROC048|PROC005	0	NONE
C1-L08	C1	2	3	PROC005|PROC038	0	NONE
C1-L08	C1	3	4	PROC038|PROC084	0	NONE
C1-L08	C1	4	5	PROC084|PROC031	0	NONE
C1-L08	C1	5	6	PROC031|PROC078	0	NONE
C2-L01	C2	1	2	PROC014|PROC017	0	NONE
C2-L01	C2	2	3	PROC017|PROC018	1	E018
C2-L01	C2	3	4	PROC018|PROC124	0	NONE
C2-L01	C2	4	5	PROC124|PROC048	0	NONE
C2-L01	C2	5	6	PROC048|PROC119	0	NONE
C2-L02	C2	1	2	PROC017|PROC014	0	NONE
C2-L02	C2	2	3	PROC014|PROC018	0	NONE
C2-L02	C2	3	4	PROC018|PROC124	0	NONE
C2-L02	C2	4	5	PROC124|PROC048	0	NONE
C2-L02	C2	5	6	PROC048|PROC119	0	NONE
C2-L03	C2	1	2	PROC017|PROC018	1	E018
C2-L03	C2	2	3	PROC018|PROC014	0	NONE
C2-L03	C2	3	4	PROC014|PROC124	0	NONE
C2-L03	C2	4	5	PROC124|PROC048	0	NONE
C2-L03	C2	5	6	PROC048|PROC119	0	NONE
C2-L04	C2	1	2	PROC017|PROC018	1	E018
C2-L04	C2	2	3	PROC018|PROC124	0	NONE
C2-L04	C2	3	4	PROC124|PROC014	0	NONE
C2-L04	C2	4	5	PROC014|PROC048	0	NONE
C2-L04	C2	5	6	PROC048|PROC119	0	NONE
C2-L05	C2	1	2	PROC017|PROC018	1	E018
C2-L05	C2	2	3	PROC018|PROC124	0	NONE
C2-L05	C2	3	4	PROC124|PROC048	0	NONE
C2-L05	C2	4	5	PROC048|PROC014	0	NONE
C2-L05	C2	5	6	PROC014|PROC119	0	NONE
C3-L01	C3	1	2	PROC028|PROC030	0	NONE
C3-L01	C3	2	3	PROC030|PROC038	0	NONE
C3-L01	C3	3	4	PROC038|PROC048	0	NONE
C3-L01	C3	4	5	PROC048|PROC031	0	NONE
C3-L01	C3	5	6	PROC031|PROC078	0	NONE
C3-L02	C3	1	2	PROC028|PROC038	0	NONE
C3-L02	C3	2	3	PROC038|PROC030	0	NONE
C3-L02	C3	3	4	PROC030|PROC048	0	NONE
C3-L02	C3	4	5	PROC048|PROC031	0	NONE
C3-L02	C3	5	6	PROC031|PROC078	0	NONE
C3-L03	C3	1	2	PROC028|PROC038	0	NONE
C3-L03	C3	2	3	PROC038|PROC048	0	NONE
C3-L03	C3	3	4	PROC048|PROC030	0	NONE
C3-L03	C3	4	5	PROC030|PROC031	1	E043
C3-L03	C3	5	6	PROC031|PROC078	0	NONE
C3-L04	C3	1	2	PROC038|PROC028	0	NONE
C3-L04	C3	2	3	PROC028|PROC030	0	NONE
C3-L04	C3	3	4	PROC030|PROC048	0	NONE
C3-L04	C3	4	5	PROC048|PROC031	0	NONE
C3-L04	C3	5	6	PROC031|PROC078	0	NONE
C3-L05	C3	1	2	PROC038|PROC028	0	NONE
C3-L05	C3	2	3	PROC028|PROC048	0	NONE
C3-L05	C3	3	4	PROC048|PROC030	0	NONE
C3-L05	C3	4	5	PROC030|PROC031	1	E043
C3-L05	C3	5	6	PROC031|PROC078	0	NONE
C3-L06	C3	1	2	PROC038|PROC048	0	NONE
C3-L06	C3	2	3	PROC048|PROC028	0	NONE
C3-L06	C3	3	4	PROC028|PROC030	0	NONE
C3-L06	C3	4	5	PROC030|PROC031	1	E043
C3-L06	C3	5	6	PROC031|PROC078	0	NONE
C4-L01	C4	1	2	PROC038|PROC080	0	NONE
C4-L01	C4	2	3	PROC080|PROC040	0	NONE
C4-L01	C4	3	4	PROC040|PROC048	0	NONE
C4-L01	C4	4	5	PROC048|PROC155	0	NONE
C4-L01	C4	5	6	PROC155|PROC043	0	NONE
C5-L01	C5	1	2	PROC052|PROC038	0	NONE
C5-L01	C5	2	3	PROC038|PROC063	0	NONE
C5-L01	C5	3	4	PROC063|PROC053	0	NONE
C5-L01	C5	4	5	PROC053|PROC169	0	NONE
C5-L01	C5	5	6	PROC169|PROC078	0	NONE
C5-L02	C5	1	2	PROC038|PROC052	0	NONE
C5-L02	C5	2	3	PROC052|PROC063	0	NONE
C5-L02	C5	3	4	PROC063|PROC053	0	NONE
C5-L02	C5	4	5	PROC053|PROC169	0	NONE
C5-L02	C5	5	6	PROC169|PROC078	0	NONE
