case_id	left_node	left_surface	right_node	right_surface	precedence_rule
C1	A	qokaiin	X	lsho	SOLLMASS VOR WASCHEN
C1	W	os	X	lsho	ARBEITSFACH VOR WASCHEN
C1	X	lsho	H	shey	WASCHEN VOR HALTEN
C1	T	qokal	H	shey	ZIEL VOR HALTEN
C1	H	shey	C	shedy	HALTEN VOR SCHLUSS
C2	M	cthaiin	P	qoctholy	SOLLMASS BEREIT VOR FORTSETZEN
C2	P	qoctholy	S	ches	FORTSETZEN VOR TEILEN
C2	S	ches	T	qokal	TEILEN VOR ZIEL
C2	T	qokal	C	qokeeedy	ZIEL VOR VOLLSCHLUSS
C2	R	cthy	C	qokeeedy	BEREIT-CHECK VOR VOLLSCHLUSS
C3	W	cfhy	P	cphy	AUSWRINGEN VOR EINFUELLEN
C3	M	qokaiin	T	qokal	SOLLMASS VOR ZIEL
C3	P	cphy	H	shey	EINFUELLEN VOR HALTEN
C3	T	qokal	H	shey	ZIEL VOR HALTEN
C3	H	shey	C	shedy	HALTEN VOR SCHLUSS
C4	M	qokaiin	P	qokain	SOLLMASS VOR PORTION
C4	P	qokain	N	ykan	PORTION VOR NACHPORTION
C4	N	ykan	T	qokal	NACHPORTION VOR ZIEL
C4	T	qokal	F	qokylddy	ZIEL VOR BEFESTIGEN
C4	F	qokylddy	S	talam	BEFESTIGEN VOR VERWAHREN
C5	I	cho	F	kchoar	ERSTE ZUTAT VOR WEITERER ZUTAT
C5	M	qokaiin	F	kchoar	SOLLMASS VOR WEITERER ZUTAT
C5	F	kchoar	T	chodaly	WEITERE ZUTAT VOR ZIEL
C5	T	chodaly	G	daiiin	ZIEL VOR ZWEITSTUFE
C5	G	daiiin	C	shedy	ZWEITSTUFE VOR SCHLUSS
