projection_ordinal	grade_state_projection	event_count	grade_occurrence_count	statement_count	physical_page_count	register_count	exact_recipe_count	surface_count	statement_final_event_count	statement_final_percent	default_operation_reading_de	example_events	example_surfaces
1	E+OL	68	68	50	16	5	24	30	1	1.470588	grad i; dann den laufenden Träger fortsetzen	G407-E0661|G407-E0900|G407-E1112|G407-E1148|G407-E1161	keol|keol|shepchol|chokeol|chekeol
2	OT+E	54	54	45	17	5	18	21	0	0.000000	danach den nächsten Träger eröffnen; dann grad i	G407-E0033|G407-E0213|G407-E0851|G407-E1076|G407-E1081	oteos|chotey|chotchey|otcheodal|oteodar
3	OT+E+DY	39	39	39	11	4	3	4	39	100.000000	danach den nächsten Träger eröffnen; dann grad i; dann den laufenden Schritt abschließen	G407-E1806|G407-E1820|G407-E1821|G407-E1822|G407-E1863	otedy|otedy|qotedy|otedy|qotedy
4	OT+EE	36	36	30	10	3	11	13	1	2.777778	danach den nächsten Träger eröffnen; dann grad ii	G407-E0032|G407-E1030|G407-E1061|G407-E1068|G407-E1088	oteey|choteey|oteeodaiin|oteey|oteey
5	OT+EE+DY	30	30	30	9	4	2	4	30	100.000000	danach den nächsten Träger eröffnen; dann grad ii; dann den laufenden Schritt abschließen	G407-E1145|G407-E1280|G407-E1311|G407-E1330|G407-E1784	oteedy|qoteeody|oteedy|oteedy|oteedy
6	EE+OL	17	17	17	10	5	7	10	0	0.000000	grad ii; dann den laufenden Träger fortsetzen	G407-E1033|G407-E1206|G407-E1306|G407-E1385|G407-E2253	opcheeol|okeeols|okeeol|okeeol|sheeoldy
7	OL+E+DY	17	17	17	8	3	4	7	17	100.000000	den laufenden Träger fortsetzen; dann grad i; dann den laufenden Schritt abschließen	G407-E1141|G407-E1532|G407-E1541|G407-E1547|G407-E1732	olcheor|olshedy|olshedy|olshedy|olkedy
8	OL+EE	14	14	14	8	3	5	7	1	7.142857	den laufenden Träger fortsetzen; dann grad ii	G407-E0791|G407-E1632|G407-E1916|G407-E2259|G407-E2346	olkeechy|olkeey|olkeey|poleedaran|olsheed
9	OL+EE+DY	12	12	12	7	3	4	8	12	100.000000	den laufenden Träger fortsetzen; dann grad ii; dann den laufenden Schritt abschließen	G407-E1466|G407-E1772|G407-E2421|G407-E2462|G407-E2558	olsheedy|olkeedy|solteedy|qolcheedy|olcheedy
10	OL+E	9	9	9	7	4	7	9	1	11.111111	den laufenden Träger fortsetzen; dann grad i	G407-E0959|G407-E1189|G407-E2382|G407-E2843|G407-E3511	octhole|cheolor|solshey|olshey|solshed
11	OT+E+OL	8	8	7	6	4	3	4	0	0.000000	danach den nächsten Träger eröffnen; dann grad i; dann den laufenden Träger fortsetzen	G407-E0083|G407-E1375|G407-E1406|G407-E2878|G407-E3999	oteol|oteol|oteol|oteol|soteol
12	OL+E+OL	6	6	6	6	4	2	3	0	0.000000	den laufenden Träger fortsetzen; dann grad i; dann den laufenden Träger fortsetzen	G407-E2198|G407-E2781|G407-E3167|G407-E4208|G515-E0223	olsheol|olsheol|olkeol|dolchsyckheol|olsheol
13	E+OL+E	2	4	2	2	2	2	2	0	0.000000	grad i; dann den laufenden Träger fortsetzen; dann grad i	G407-E1152|G407-E2115	sheoltey|cheolchey
14	OL+EEE	2	2	2	2	2	2	2	1	50.000000	den laufenden Träger fortsetzen; dann grad iii	G407-E2033|G407-E3832	oleeed|doleeey
15	OT+E+EE	2	4	2	2	1	1	2	0	0.000000	danach den nächsten Träger eröffnen; dann grad i; dann grad ii	G407-E1065|G407-E1229	oteokeey|oteeykeey
16	E+E+OL	1	2	1	1	1	1	1	0	0.000000	grad i; dann grad i; dann den laufenden Träger fortsetzen	G407-E3950	qoekeol
17	E+OL+OL	1	1	1	1	1	1	1	0	0.000000	grad i; dann den laufenden Träger fortsetzen; dann den laufenden Träger fortsetzen	G407-E1354	ykeolol
18	EE+DY+OL	1	1	1	1	1	1	1	0	0.000000	grad ii; dann den laufenden Schritt abschließen; dann den laufenden Träger fortsetzen	G407-E1682	okeedyqol
19	EEE+OL	1	1	1	1	1	1	1	0	0.000000	grad iii; dann den laufenden Träger fortsetzen	G407-E4197	cpheeedol
20	OL+EE+OL	1	1	1	1	1	1	1	0	0.000000	den laufenden Träger fortsetzen; dann grad ii; dann den laufenden Träger fortsetzen	G407-E1555	qolkeeoly
21	OT+E+E	1	2	1	1	1	1	1	0	0.000000	danach den nächsten Träger eröffnen; dann grad i; dann grad i	G515-E0525	oteochey
22	OT+E+E+DY	1	2	1	1	1	1	1	1	100.000000	danach den nächsten Träger eröffnen; dann grad i; dann grad i; dann den laufenden Schritt abschließen	G407-E1924	qotedshedy
23	OT+EE+OL	1	1	1	1	1	1	1	0	0.000000	danach den nächsten Träger eröffnen; dann grad ii; dann den laufenden Träger fortsetzen	G407-E3408	qoteeol
24	OT+EEE	1	1	1	1	1	1	1	0	0.000000	danach den nächsten Träger eröffnen; dann grad iii	G407-E1399	oteees
25	OT+EEE+DY	1	1	1	1	1	1	1	1	100.000000	danach den nächsten Träger eröffnen; dann grad iii; dann den laufenden Schritt abschließen	G407-E2591	qoteeedy
