physical_page	register	running_event_count	focus_attachment_count	exact_surface_events	known_recipe_events	new_recipe_known_atom_events	exact_typed_head_support	typed_micro_fallback	untyped_micro_fallback	coarse_rule_fallback	composed_rule_component_fallback	private_focus_patterns	future_admission_rehearsal
f10r	HERBAL	92	82	62	8	22	81	1	0	0	0	0	PASS_HIERARCHICAL_DECK
f11r	HERBAL	59	54	42	1	16	54	0	0	0	0	0	PASS_HIERARCHICAL_DECK
f13r	HERBAL	77	68	56	7	14	65	1	0	2	0	0	PASS_HIERARCHICAL_DECK
f17r	HERBAL	78	62	37	7	34	60	1	1	0	0	0	PASS_HIERARCHICAL_DECK
f18r	HERBAL	84	75	59	12	13	72	2	0	1	0	0	PASS_HIERARCHICAL_DECK
f55v	HERBAL	106	120	79	3	24	117	2	1	0	0	0	PASS_HIERARCHICAL_DECK
f56r	HERBAL	105	94	69	10	26	94	0	0	0	0	0	PASS_HIERARCHICAL_DECK
f67r2	CELESTIAL	126	145	68	5	53	136	4	4	1	0	0	PASS_HIERARCHICAL_DECK
f68r1	CELESTIAL	31	44	15	2	14	44	0	0	0	0	0	PASS_HIERARCHICAL_DECK
f69v	CELESTIAL	0	0	0	0	0	0	0	0	0	0	0	ADDRESS_ONLY
f70v	CELESTIAL	0	0	0	0	0	0	0	0	0	0	0	ADDRESS_ONLY
f71v	CELESTIAL	78	105	48	4	26	103	2	0	0	0	0	PASS_HIERARCHICAL_DECK
f72r	CELESTIAL	288	352	184	45	59	332	15	5	0	0	0	PASS_HIERARCHICAL_DECK
f75r	BIOLOGICAL	408	433	344	15	49	430	3	0	0	0	0	PASS_HIERARCHICAL_DECK
f76r	BIOLOGICAL	560	652	446	47	67	625	26	1	0	0	0	PASS_HIERARCHICAL_DECK
f77r	BIOLOGICAL	321	359	265	13	43	343	12	1	3	0	0	PASS_HIERARCHICAL_DECK
f81v	BIOLOGICAL	253	282	192	13	48	278	2	0	2	0	0	PASS_HIERARCHICAL_DECK
f82r	BIOLOGICAL	278	353	212	15	51	346	3	4	0	0	0	PASS_HIERARCHICAL_DECK
f83r	BIOLOGICAL	341	389	259	16	66	381	7	1	0	0	0	PASS_HIERARCHICAL_DECK
f88r	PHARMA	134	151	97	6	31	147	0	2	2	0	0	PASS_HIERARCHICAL_DECK
f88v	PHARMA	131	176	83	12	36	174	2	0	0	0	0	PASS_HIERARCHICAL_DECK
f89r	PHARMA	338	378	242	41	55	360	12	4	2	0	0	PASS_HIERARCHICAL_DECK
