replay_id	attachment_id	physical_page	register	statement_id	event_id	surface	focus_core	chosen_attachment_class	chosen_action	micro_signature	teaching_rule_families	exact_typed_head_signature	typed_micro_signature	outside_page_support_level	outside_register_support_level	outside_page_support	outside_register_support	future_page_result
G400-A00001	G399-A00001	f10r	HERBAL	P1009-S001	P912-E0001	pchocthy	Y	SAME_CARD_LEFT_ACTION	T	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_LEFT_ACTION::T::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f13r|f17r|f18r|f55v|f56r|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00002	G399-A00002	f10r	HERBAL	P1009-S001	P912-E0002	shor	OR	SAME_CARD_LEFT_ACTION	SH	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	OR::SAME_CARD_LEFT_ACTION::SH::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	OR::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f13r|f17r|f18r|f71v|f75r|f77r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00003	G399-A00003	f10r	HERBAL	P1009-S001	P912-E0003	octhody	Y	SAME_CARD_LEFT_ACTION	T	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_LEFT_ACTION::T::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f13r|f17r|f18r|f55v|f56r|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00004	G399-A00004	f10r	HERBAL	P1009-S001	P912-E0004	chorchy	OR	SAME_CARD_LEFT_ACTION	CH	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	OR::SAME_CARD_LEFT_ACTION::CH::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	OR::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f13r|f17r|f18r|f56r|f68r1|f71v|f72r|f76r|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00005	G399-A00005	f10r	HERBAL	P1009-S001	P912-E0004	chorchy	Y	SAME_CARD_LEFT_ACTION	CH	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_LEFT_ACTION::CH::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00006	G399-A00006	f10r	HERBAL	P1009-S001	P912-E0006	chopchal	AL	SAME_CARD_LEFT_ACTION	CH	AL_AR__SAME_CARD_LEFT_ACTION	AL_AR_ORDERED_FALLBACK	AL::SAME_CARD_LEFT_ACTION::CH::NONE::SINGLE::AL_AR_ORDERED_FALLBACK	AL::AL_AR__SAME_CARD_LEFT_ACTION::AL_AR_ORDERED_FALLBACK	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f13r|f18r|f55v|f56r|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00007	G399-A00007	f10r	HERBAL	P1009-S001	P912-E0007	ypch	Y	SAME_CARD_RIGHT_ACTION	P	ARG_GRADE__SAME_CARD_RIGHT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_RIGHT_ACTION::P::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_RIGHT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f13r|f17r|f67r2	CELESTIAL	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00008	G399-A00008	f10r	HERBAL	P1009-S001	P912-E0009	dchey	E	SAME_CARD_LEFT_ACTION	CH	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	E::SAME_CARD_LEFT_ACTION::CH::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	E::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f17r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00009	G399-A00009	f10r	HERBAL	P1009-S001	P912-E0009	dchey	Y	SAME_CARD_LEFT_ACTION	CH	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_LEFT_ACTION::CH::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00010	G399-A00010	f10r	HERBAL	P1009-S001	P912-E0010	cthoor	OR	SAME_CARD_LEFT_ACTION	T	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	OR::SAME_CARD_LEFT_ACTION::T::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	OR::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f13r|f18r|f67r2	CELESTIAL	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00011	G399-A00011	f10r	HERBAL	P1009-S001	P912-E0011	char	AR	PREVIOUS_CARD_ACTION	T	AL_AR__PREVIOUS_CARD_ACTION	AL_AR_ORDERED_FALLBACK	AR::PREVIOUS_CARD_ACTION::T::NONE::SINGLE::AL_AR_ORDERED_FALLBACK	AR::AL_AR__PREVIOUS_CARD_ACTION::AL_AR_ORDERED_FALLBACK	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f18r|f55v|f72r	CELESTIAL	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00012	G399-A00012	f10r	HERBAL	P1009-S001	P912-E0012	chty	Y	SAME_CARD_LEFT_ACTION	T	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_LEFT_ACTION::T::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f13r|f17r|f18r|f55v|f56r|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00013	G399-A00013	f10r	HERBAL	P1009-S001	P912-E0014	chair	AIR	SAME_CARD_LEFT_ACTION	CH	L_AIR__SAME_CARD_LEFT_ACTION	L_AIR_RIGHT_FALLBACK	AIR::SAME_CARD_LEFT_ACTION::CH::NONE::SINGLE::L_AIR_RIGHT_FALLBACK	AIR::L_AIR__SAME_CARD_LEFT_ACTION::L_AIR_RIGHT_FALLBACK	EXACT_TYPED_HEAD	TYPED_MICRO	f18r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00014	G399-A00014	f10r	HERBAL	P1009-S001	P912-E0015	otytchol	Y	SAME_CARD_RIGHT_ACTION	T	ARG_GRADE__SAME_CARD_RIGHT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_RIGHT_ACTION::T::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_RIGHT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f13r|f18r|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f81v|f83r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00015	G399-A00015	f10r	HERBAL	P1009-S001	P912-E0016	oky	Y	SAME_CARD_LEFT_ACTION	OK	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_LEFT_ACTION::OK::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00016	G399-A00016	f10r	HERBAL	P1009-S001	P912-E0017	daiin	AIIN	PREVIOUS_CARD_ACTION	OK	ARG_GRADE__PREVIOUS_CARD_ACTION	PREVIOUS_CARD_STACK	AIIN::PREVIOUS_CARD_ACTION::OK::NONE::SINGLE::PREVIOUS_CARD_STACK	AIIN::ARG_GRADE__PREVIOUS_CARD_ACTION::PREVIOUS_CARD_STACK	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f13r|f72r|f76r|f77r|f81v|f82r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00017	G399-A00017	f10r	HERBAL	P1009-S001	P912-E0018	etyd	E	SAME_CARD_RIGHT_ACTION	T	ARG_GRADE__SAME_CARD_RIGHT_ACTION	NEAREST_HEAD_LEFT_TIE	E::SAME_CARD_RIGHT_ACTION::T::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	E::ARG_GRADE__SAME_CARD_RIGHT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f72r|f77r|f81v|f83r|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
G400-A00018	G399-A00018	f10r	HERBAL	P1009-S001	P912-E0018	etyd	Y	SAME_CARD_LEFT_ACTION	T	ARG_GRADE__SAME_CARD_LEFT_ACTION	NEAREST_HEAD_LEFT_TIE	Y::SAME_CARD_LEFT_ACTION::T::NONE::SINGLE::NEAREST_HEAD_LEFT_TIE	Y::ARG_GRADE__SAME_CARD_LEFT_ACTION::NEAREST_HEAD_LEFT_TIE	EXACT_TYPED_HEAD	EXACT_TYPED_HEAD	f11r|f13r|f17r|f18r|f55v|f56r|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|PHARMA	PORTABLE_BY_EXISTING_HIERARCHY
