owner_id	attachment_id	physical_page	register	statement_id	event_id	surface	component_recipe	focus_core	owner_de	owner_reason	next_event_id	next_surface	outside_page_support_level	result
G400-O001	G399-A00268	f18r	HERBAL	P1009-S019	P1008-E0002	darod	D_ADDR+AR+O+D_ADDR	AR	große abgebildete Blütenpflanze	AL_AR_OWNER_FALLBACK	P1008-E0003	yoar	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O002	G399-A00270	f18r	HERBAL	P1009-S019	P1008-E0003	yoar	Y+O+AR	AR	große abgebildete Blütenpflanze	AL_AR_OWNER_FALLBACK	P1008-E0004	ykchol	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O003	G399-A00646	f67r2	CELESTIAL	P1009-S041	P912-E1903	dar	D_ADDR+AR	AR	zwei getrennte Himmelsräder und Tabelle	AL_AR_OWNER_FALLBACK	P912-E1904	aldaiin	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O004	G399-A00647	f67r2	CELESTIAL	P1009-S041	P912-E1904	aldaiin	AL+D_ADDR+AIIN	AL	zwei getrennte Himmelsräder und Tabelle	AL_AR_OWNER_FALLBACK	P912-E1905	ydaiin	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O005	G399-A00648	f67r2	CELESTIAL	P1009-S041	P912-E1904	aldaiin	AL+D_ADDR+AIIN	AIIN	zwei getrennte Himmelsräder und Tabelle	NO_VISIBLE_ACTION_HEAD_OWNER_ELLIPSIS	P912-E1905	ydaiin	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O006	G399-A00857	f72r	CELESTIAL	P1009-S051	P1008-E0090	al	AL	AL	Tierkreis-Ringgruppe A	AL_AR_OWNER_FALLBACK	P1008-E0091	oteey	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O007	G399-A00950	f72r	CELESTIAL	P1009-S057	P1008-E0195	oteos	OT+E+O+S_ADDR	E	Tierkreis-Ringgruppe D	NO_VISIBLE_ACTION_HEAD_OWNER_ELLIPSIS	P1008-E0196	aiin	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O008	G399-A01029	f72r	CELESTIAL	P1009-S061	P1008-E0288	otoar	OT+O+AR	AR	Tierkreis-Ringgruppe F	AL_AR_OWNER_FALLBACK	P1008-E0289	air	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O009	G399-A01030	f72r	CELESTIAL	P1009-S061	P1008-E0289	air	AIR	AIR	Tierkreis-Ringgruppe F	L_AIR_OWNER_FALLBACK	P1008-E0290	aloy	UNTYPED_MICRO	VISIBLE_OWNER_FALLBACK
G400-O010	G399-A01031	f72r	CELESTIAL	P1009-S061	P1008-E0290	aloy	AL+O+Y	AL	Tierkreis-Ringgruppe F	AL_AR_OWNER_FALLBACK	P1008-E0291	okaiin	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O011	G399-A01107	f72r	CELESTIAL	P1009-S066	P1008-E0369	otey	OT+E+Y	E	Tierkreis-Ringgruppe H	NO_VISIBLE_ACTION_HEAD_OWNER_ELLIPSIS	P1008-E0370	o	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O012	G399-A01108	f72r	CELESTIAL	P1009-S066	P1008-E0369	otey	OT+E+Y	Y	Tierkreis-Ringgruppe H	NO_VISIBLE_ACTION_HEAD_OWNER_ELLIPSIS	P1008-E0370	o	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O013	G399-A01382	f75r	BIOLOGICAL	P1009-S108	P912-E0601	otain	OT+AIN	AIN	großes Bad-/Stationsblatt mit dreieckiger Insel	NO_VISIBLE_ACTION_HEAD_OWNER_ELLIPSIS	P912-E0602	char	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O014	G399-A01383	f75r	BIOLOGICAL	P1009-S108	P912-E0602	char	AR	AR	großes Bad-/Stationsblatt mit dreieckiger Insel	AL_AR_OWNER_FALLBACK	P912-E0603	sar	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O015	G399-A01450	f75r	BIOLOGICAL	P1009-S110	P912-E0656	shy	Y	Y	großes Bad-/Stationsblatt mit dreieckiger Insel	NO_VISIBLE_ACTION_HEAD_OWNER_ELLIPSIS	P912-E0657	dy	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O016	G399-A01466	f75r	BIOLOGICAL	P1009-S114	P912-E0675	dar	D_ADDR+AR	AR	großes Bad-/Stationsblatt mit dreieckiger Insel	AL_AR_OWNER_FALLBACK	P912-E0676	otar	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O017	G399-A01467	f75r	BIOLOGICAL	P1009-S114	P912-E0676	otar	OT+AR	AR	großes Bad-/Stationsblatt mit dreieckiger Insel	AL_AR_OWNER_FALLBACK	P912-E0677	otody	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O018	G399-A01513	f75r	BIOLOGICAL	P1009-S124	P912-E0725	daldy	AL+DY	AL	großes Bad-/Stationsblatt mit dreieckiger Insel	AL_AR_OWNER_FALLBACK	STATEMENT_END	STATEMENT_END	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
G400-O019	G399-A01522	f75r	BIOLOGICAL	P1009-S129	P912-E0735	ldy	L+DY	L	großes Bad-/Stationsblatt mit dreieckiger Insel	L_AIR_OWNER_FALLBACK	STATEMENT_END	STATEMENT_END	EXACT_TYPED_HEAD	VISIBLE_OWNER_FALLBACK
