forward_id	attachment_id	physical_page	register	statement_id	event_id	surface	component_recipe	focus_core	forward_reason	next_event_id	next_surface	next_recipe	chosen_action	chosen_action_atom_ordinal	same_statement	lookahead_cards	outside_page_support_level	result
G400-F001	G399-A00216	f17r	HERBAL	P1009-S014	P1003-E0016	dor	D_ADDR+OR	OR	HEADLESS_OPENING_PACKAGE_TO_NEXT_HEAD	P1003-E0017	otchol	OT+CH+OL	CH	2	YES	1	EXACT_TYPED_HEAD	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F002	G399-A00236	f17r	HERBAL	P1009-S015	P1003-E0042	dair	D_ADDR+AIR	AIR	L_OR_AIR_FRAMES_NEXT_HEAD	P1003-E0043	cthey	CH+T+E+Y	CH	1	YES	1	TYPED_MICRO	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F003	G399-A00269	f18r	HERBAL	P1009-S019	P1008-E0003	yoar	Y+O+AR	Y	HEADLESS_OPENING_PACKAGE_TO_NEXT_HEAD	P1008-E0004	ykchol	Y+K+OL	K	2	YES	1	EXACT_TYPED_HEAD	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F004	G399-A00313	f18r	HERBAL	P1009-S021	P1008-E0050	doldaiin	OL+AIIN	AIIN	HEADLESS_OPENING_PACKAGE_TO_NEXT_HEAD	P1008-E0051	qokchor	OK+CH+OR	OK	1	YES	1	EXACT_TYPED_HEAD	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F005	G399-A00353	f55v	HERBAL	P1009-S024	P912-E0237	qoaiin	CARRIER_Q+O+AIIN	AIIN	Q_OR_OT_OPENS_NEXT_PACKET	P912-E0238	okeody	OK+E+O+D_ADDR+Y	OK	1	YES	1	TYPED_MICRO	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F006	G399-A00381	f55v	HERBAL	P1009-S026	P912-E0264	daiin	AIIN	AIIN	HEADLESS_OPENING_PACKAGE_TO_NEXT_HEAD	P912-E0265	chedy	CHD+Y	CHD	1	YES	1	EXACT_TYPED_HEAD	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F007	G399-A00445	f55v	HERBAL	P1009-S027	P912-E0320	aiin	AIIN	AIIN	HEADLESS_OPENING_PACKAGE_TO_NEXT_HEAD	P912-E0321	okal	OK+AL	OK	1	YES	1	EXACT_TYPED_HEAD	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F008	G399-A00467	f56r	HERBAL	P1009-S029	P912-E0341	chy	Y	Y	HEADLESS_OPENING_PACKAGE_TO_NEXT_HEAD	P912-E0342	ychocphy	Y+CH+O+CH+P+Y	CH	2	YES	1	EXACT_TYPED_HEAD	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F009	G399-A00561	f67r2	CELESTIAL	P1009-S032	P912-E1785	odaeiin	O+DA+E+IIN	E	HEADLESS_OPENING_PACKAGE_TO_NEXT_HEAD	P912-E1786	okoes	OK+O+E+S	OK	1	YES	1	UNTYPED_MICRO	ONE_CARD_FORWARD_VISIBLE_HEAD
G400-F010	G399-A00649	f67r2	CELESTIAL	P1009-S041	P912-E1905	ydaiin	Y+D_ADDR+AIIN	Y	HEADLESS_OPENING_PACKAGE_TO_NEXT_HEAD	P912-E1906	qkoy	CARRIER_Q+K+O+Y	K	2	YES	1	EXACT_TYPED_HEAD	ONE_CARD_FORWARD_VISIBLE_HEAD
