anchor_recipe	anchor_event_count	anchor_reading_de	candidate_recipe	change_kind	edit_position	old_atom	old_value_de	new_atom	new_value_de	predicted_reading_de	attested	observed_reading_de	reading_matches_prediction	event_count	register_count	registers	page_count	surface_count	surfaces	context_mode	shared_page_owner_count	shared_statement_count	decision
CHD+Y	107	BEARBEITEN · POSTEN	CH+Y	SUBSTITUTE_ACTION	1	CHD	BEARBEITEN	CH	NEHMEN	NEHMEN · POSTEN	NO	UNATTESTED	NA	0	0	NONE	0	0	NONE	UNATTESTED	0	0	MISSING_FUTURE_PREDICTION
CHD+Y	107	BEARBEITEN · POSTEN	CHD+AIIN	SUBSTITUTE_ARGUMENT	2	Y	POSTEN	AIIN	WERT	BEARBEITEN · WERT	YES	BEARBEITEN · WERT	YES	8	3	HERBAL|BIOLOGICAL|CELESTIAL	5	1	chedaiin	FULLY_SELF_CONTAINED	3	1	ATTESTED_SAME_OWNER
CHD+Y	107	BEARBEITEN · POSTEN	CHD+AIN	SUBSTITUTE_ARGUMENT	2	Y	POSTEN	AIN	ANTEIL	BEARBEITEN · ANTEIL	YES	BEARBEITEN · ANTEIL	YES	4	3	HERBAL|BIOLOGICAL|PHARMA	4	1	chedain	FULLY_SELF_CONTAINED	3	1	ATTESTED_SAME_OWNER
CHD+Y	107	BEARBEITEN · POSTEN	CHD+DY	OPEN_TO_CLOSE	2	Y	POSTEN	DY	SCHLUSS	BEARBEITEN · SCHLUSS	YES	BEARBEITEN · SCHLUSS	YES	4	2	HERBAL|BIOLOGICAL	3	2	dchdy|schedy	FULLY_CONTEXT_BOUND	3	0	ATTESTED_SAME_OWNER
CHD+Y	107	BEARBEITEN · POSTEN	CHD+E+Y	INSERT_GRADE	2	NONE	NONE	E	GRAD I	BEARBEITEN · GRAD I · POSTEN	NO	UNATTESTED	NA	0	0	NONE	0	0	NONE	UNATTESTED	0	0	MISSING_FUTURE_PREDICTION
CHD+Y	107	BEARBEITEN · POSTEN	CHD+EE+Y	INSERT_GRADE	2	NONE	NONE	EE	GRAD II	BEARBEITEN · GRAD II · POSTEN	NO	UNATTESTED	NA	0	0	NONE	0	0	NONE	UNATTESTED	0	0	MISSING_FUTURE_PREDICTION
CHD+Y	107	BEARBEITEN · POSTEN	CHD+EEE+Y	INSERT_GRADE	2	NONE	NONE	EEE	GRAD III	BEARBEITEN · GRAD III · POSTEN	NO	UNATTESTED	NA	0	0	NONE	0	0	NONE	UNATTESTED	0	0	MISSING_FUTURE_PREDICTION
CHD+Y	107	BEARBEITEN · POSTEN	CHD+OR	SUBSTITUTE_ARGUMENT	2	Y	POSTEN	OR	EINHEIT	BEARBEITEN · EINHEIT	YES	BEARBEITEN · EINHEIT	YES	1	1	BIOLOGICAL	1	1	chedor	FULLY_SELF_CONTAINED	1	0	ATTESTED_SAME_OWNER
CHD+Y	107	BEARBEITEN · POSTEN	K+Y	SUBSTITUTE_ACTION	1	CHD	BEARBEITEN	K	GEBEN	GEBEN · POSTEN	YES	GEBEN · POSTEN	YES	7	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	6	2	kchy|ky	FULLY_SELF_CONTAINED	3	2	ATTESTED_SAME_OWNER
CHD+Y	107	BEARBEITEN · POSTEN	OK+Y	SUBSTITUTE_ACTION	1	CHD	BEARBEITEN	OK	SETZEN	SETZEN · POSTEN	YES	SETZEN · POSTEN	YES	59	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	18	8	choky|okcheeg|okchey|okchy|okshy|oky|qokchy|qoky	FULLY_SELF_CONTAINED	12	14	ATTESTED_SAME_OWNER
CHD+Y	107	BEARBEITEN · POSTEN	P+Y	SUBSTITUTE_ACTION	1	CHD	BEARBEITEN	P	EINSETZEN	EINSETZEN · POSTEN	YES	EINSETZEN · POSTEN	YES	1	1	BIOLOGICAL	1	1	pchey	FULLY_SELF_CONTAINED	1	1	ATTESTED_SAME_OWNER
CHD+Y	107	BEARBEITEN · POSTEN	R+Y	SUBSTITUTE_ACTION	1	CHD	BEARBEITEN	R	MARKIEREN	MARKIEREN · POSTEN	YES	MARKIEREN · POSTEN	YES	2	1	BIOLOGICAL	2	1	ry	FULLY_SELF_CONTAINED	2	1	ATTESTED_SAME_OWNER
CHD+Y	107	BEARBEITEN · POSTEN	S+Y	SUBSTITUTE_ACTION	1	CHD	BEARBEITEN	S	WÄHLEN	WÄHLEN · POSTEN	NO	UNATTESTED	NA	0	0	NONE	0	0	NONE	UNATTESTED	0	0	MISSING_FUTURE_PREDICTION
