anchor_recipe	anchor_reading_de	neighbor_recipe	neighbor_reading_de	edit_kind	edit_position	old_atom	old_value_de	new_atom	new_value_de	neighbor_event_count	neighbor_register_count	neighbor_registers	neighbor_page_count	neighbor_surface_count	neighbor_surfaces	neighbor_context_mode	shared_page_owner_count	shared_statement_count	role_safe_edit
CHD+Y	BEARBEITEN · POSTEN	AIIN+Y	WERT · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	AIIN	WERT	1	1	BIOLOGICAL	1	1	aiiny	FULLY_CONTEXT_BOUND	1	1	NO
CHD+Y	BEARBEITEN · POSTEN	AL+Y	ZIELORT · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	AL	ZIELORT	9	3	BIOLOGICAL|CELESTIAL|PHARMA	7	5	aly|chealdy|chealy|daly|tealy	FULLY_CONTEXT_BOUND	4	3	NO
CHD+Y	BEARBEITEN · POSTEN	AM_ADDR+Y	HIER · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	AM_ADDR	HIER	1	1	CELESTIAL	1	1	amy	FULLY_CONTEXT_BOUND	0	0	NO
CHD+Y	BEARBEITEN · POSTEN	AR+Y	AUSGANG · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	AR	AUSGANG	1	1	BIOLOGICAL	1	1	chary	FULLY_CONTEXT_BOUND	1	1	NO
CHD+Y	BEARBEITEN · POSTEN	A_ADDR+Y	HIER · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	A_ADDR	HIER	2	2	BIOLOGICAL|CELESTIAL	2	2	ajy|ay	FULLY_CONTEXT_BOUND	1	0	NO
CHD+Y	BEARBEITEN · POSTEN	CHD	BEARBEITEN	DELETE	2	Y	POSTEN	NONE	NONE	2	1	BIOLOGICAL	2	1	ched	FULLY_CONTEXT_BOUND	2	1	NO
CHD+Y	BEARBEITEN · POSTEN	CHD+AIIN	BEARBEITEN · WERT	SUBSTITUTE	2	Y	POSTEN	AIIN	WERT	8	3	HERBAL|BIOLOGICAL|CELESTIAL	5	1	chedaiin	FULLY_SELF_CONTAINED	3	1	YES
CHD+Y	BEARBEITEN · POSTEN	CHD+AIN	BEARBEITEN · ANTEIL	SUBSTITUTE	2	Y	POSTEN	AIN	ANTEIL	4	3	HERBAL|BIOLOGICAL|PHARMA	4	1	chedain	FULLY_SELF_CONTAINED	3	1	YES
CHD+Y	BEARBEITEN · POSTEN	CHD+AIR	BEARBEITEN · BAHN	SUBSTITUTE	2	Y	POSTEN	AIR	BAHN	1	1	BIOLOGICAL	1	1	schedair	FULLY_CONTEXT_BOUND	1	0	NO
CHD+Y	BEARBEITEN · POSTEN	CHD+AL	BEARBEITEN · ZIELORT	SUBSTITUTE	2	Y	POSTEN	AL	ZIELORT	2	2	BIOLOGICAL|CELESTIAL	2	2	chdal|chedal	FULLY_CONTEXT_BOUND	1	1	NO
CHD+Y	BEARBEITEN · POSTEN	CHD+AM_ADDR	BEARBEITEN · HIER	SUBSTITUTE	2	Y	POSTEN	AM_ADDR	HIER	2	2	HERBAL|BIOLOGICAL	2	1	chdam	FULLY_CONTEXT_BOUND	2	1	NO
CHD+Y	BEARBEITEN · POSTEN	CHD+AR	BEARBEITEN · AUSGANG	SUBSTITUTE	2	Y	POSTEN	AR	AUSGANG	3	1	BIOLOGICAL	2	1	chedar	FULLY_CONTEXT_BOUND	2	1	NO
CHD+Y	BEARBEITEN · POSTEN	CHD+DY	BEARBEITEN · SCHLUSS	SUBSTITUTE	2	Y	POSTEN	DY	SCHLUSS	4	2	HERBAL|BIOLOGICAL	3	2	dchdy|schedy	FULLY_CONTEXT_BOUND	3	0	YES
CHD+Y	BEARBEITEN · POSTEN	CHD+OL	BEARBEITEN · FORTSETZEN	SUBSTITUTE	2	Y	POSTEN	OL	FORTSETZEN	2	1	BIOLOGICAL	2	2	chdol|chedol	FULLY_CONTEXT_BOUND	2	0	NO
CHD+Y	BEARBEITEN · POSTEN	CHD+OR	BEARBEITEN · EINHEIT	SUBSTITUTE	2	Y	POSTEN	OR	EINHEIT	1	1	BIOLOGICAL	1	1	chedor	FULLY_SELF_CONTAINED	1	0	YES
CHD+Y	BEARBEITEN · POSTEN	CHD+Y+L	BEARBEITEN · POSTEN · VERBINDUNG	INSERT	3	NONE	NONE	L	VERBINDUNG	1	1	BIOLOGICAL	1	1	chedyl	FULLY_SELF_CONTAINED	1	1	NO
CHD+Y	BEARBEITEN · POSTEN	D_ADDR+CHD+Y	HIER · BEARBEITEN · POSTEN	INSERT	1	NONE	NONE	D_ADDR	HIER	4	1	BIOLOGICAL	4	1	dchedy	FULLY_SELF_CONTAINED	4	0	NO
CHD+Y	BEARBEITEN · POSTEN	D_ADDR+Y	HIER · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	D_ADDR	HIER	2	1	HERBAL	2	1	dchy	FULLY_CONTEXT_BOUND	0	0	NO
CHD+Y	BEARBEITEN · POSTEN	E+Y	GRAD I · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	E	GRAD I	5	3	HERBAL|BIOLOGICAL|PHARMA	4	3	edy|ey|qey	FULLY_CONTEXT_BOUND	2	1	NO
CHD+Y	BEARBEITEN · POSTEN	HO+Y	KLASSE · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	HO	KLASSE	3	1	HERBAL	3	2	choy|shochy	FULLY_CONTEXT_BOUND	1	1	NO
CHD+Y	BEARBEITEN · POSTEN	K+CHD+Y	GEBEN · BEARBEITEN · POSTEN	INSERT	1	NONE	NONE	K	GEBEN	2	1	HERBAL	2	1	kchdy	FULLY_SELF_CONTAINED	2	2	NO
CHD+Y	BEARBEITEN · POSTEN	K+Y	GEBEN · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	K	GEBEN	7	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	6	2	kchy|ky	FULLY_SELF_CONTAINED	3	2	YES
CHD+Y	BEARBEITEN · POSTEN	L+CHD+Y	VERBINDUNG · BEARBEITEN · POSTEN	INSERT	1	NONE	NONE	L	VERBINDUNG	2	2	BIOLOGICAL|PHARMA	2	1	lchdy	FULLY_SELF_CONTAINED	1	1	NO
CHD+Y	BEARBEITEN · POSTEN	L+Y	VERBINDUNG · POSTEN	SUBSTITUTE	1	CHD	BEARBEITEN	L	VERBINDUNG	12	2	BIOLOGICAL|PHARMA	7	3	lchey|lklchey|ly	MIXED	7	2	NO
