joint_tuple_id	surfaces	events	records	drawer	composition	small_values_de
601b77449028deed39de	otchdy	1	B5	B5_B6_PRODUCTIVE_COMPOSITION	OT+CHD+DY	danach umsetzen; Schluss
87411f84689b4f93a303	qokchdy	1	B5	B1_B2_B3_B4_TRANSFER	TRANSFERRED_AS_UNIT	Ansatz umsetzen; Schluss
abb23e5e6936b4147f76	shedal	1	B5	B1_B2_B3_B4_TRANSFER	TRANSFERRED_AS_UNIT	an der Stelle absetzen
dd0ecaf5e27d81befffc	dal	1	B5	B1_B2_B3_B4_TRANSFER	TRANSFERRED_AS_UNIT	Stelle
dcda95c81a5460feb191	cheol|ol|sol	4	B5|B6	B1_B2_B3_B4_TRANSFER	TRANSFERRED_AS_UNIT	fortsetzen
8c97dfde96fbc78e3355	lol	1	B5	B5_B6_LOCAL_WHOLE_CARD	MEMORIZED	warm
00d8ebe3c68294eeac39	chdal	1	B5	B5_B6_PRODUCTIVE_COMPOSITION	CHD+AL	an der Stelle umsetzen
2f1c5e56e8f0ff459065	aiin|daiin	2	B5|B6	B1_B2_B3_B4_TRANSFER	TRANSFERRED_AS_UNIT	Mass
fcc1deda9e24ec268eb0	daiiin	1	B5	B5_B6_PRODUCTIVE_COMPOSITION	AIIIN_GRADE_2	zweite Stufe
6f7ff8287eddf4da9fdb	chedy	1	B5	B1_B2_B3_B4_TRANSFER	TRANSFERRED_AS_UNIT	dies umsetzen
1bfd786e6b8b63734a59	solkeey	1	B6	B5_B6_PRODUCTIVE_COMPOSITION	SOLK+EE+Y	laenger auffangen
43eb9aa12959b4d5cdc9	qekey	1	B6	B5_B6_LOCAL_WHOLE_CARD	MEMORIZED	roh
3e9c7f217843b588489d	raly	1	B6	B5_B6_PRODUCTIVE_COMPOSITION	RAL+Y	dies abkuehlen
53cd0637c6820ba5e91f	dain	1	B6	B1_B2_B3_B4_TRANSFER	TRANSFERRED_AS_UNIT	Tuch
b921a237be883a820352	chey	1	B6	B1_B2_B3_B4_TRANSFER	TRANSFERRED_AS_UNIT	dies
97ddca78c9ebcc956d04	ldalor	1	B6	B5_B6_PRODUCTIVE_COMPOSITION	L_TRANSFER+AL+OR	Ansatz zur Stelle fuehren
