global_field_id	section	local_field	owner_before	batch_or_portion_after	target_after	station_after	field_disposition
N01	A	1	CLEAR_EXTRACT_A	MEASURED_CLEAR_EXTRACT	UNSET	UNSET	OPEN_CARRY
N02	A	2	CLEAR_EXTRACT_A	WARMED_INSERT_TRANSFER	INHERITED	INSERT	CLOSED
N03	A	3	CLEAR_EXTRACT_A	AFTER_PASS_1	INHERITED	PASS_STATION	CLOSED
N04	A	4	CLEAR_EXTRACT_A	AFTER_PASS_2	INHERITED	PASS_STATION	CLOSED
N05	A	5	CLEAR_EXTRACT_A	TARGET_WASH_COMPLETE	TARGET_1	WASH	CLOSED_SECTION_OUTPUT_A
N06	C	1	PREVIOUS_A_BATCH	CLEAR_EXTRACT_PASSED_ONCE	TARGET_1	INSERT_PASS	CLOSED
N07	C	2	PREVIOUS_A_BATCH	TARGET_2_WASH_COMPLETE	TARGET_2	WASH	CLOSED
N08	C	3	PREVIOUS_A_BATCH	REMAINDER_STORED_READY	STORAGE	STORAGE	CLOSED_SECTION_OUTPUT_C
N09	B	1	STORED_REMAINDER_C	DIVIDED_PORTIONS_1_2	UNSET	STORAGE	OPEN_CARRY
N10	B	2	STORED_REMAINDER_C	PORTION_1_COOLED	UNSET	COOL	CLOSED
N11	B	3	STORED_REMAINDER_C	PORTION_1_STORED_READY	STORAGE	STORAGE	CLOSED
N12	B	4	STORED_REMAINDER_C	PORTION_2_TARGET_1_CONTACT	TARGET_1	CONTACT	CLOSED
N13	B	5	STORED_REMAINDER_C	TARGET_2_WASH_COMPLETE	TARGET_2	WASH	CLOSED_SECTION_OUTPUT_B
N14	D	1	NEW_ADDITIVE_BATCH_D	ADDITIVES_BRIEFLY_PREPARED	UNSET	PREPARATION	OPEN_CARRY
N15	D	2	NEW_ADDITIVE_BATCH_D	SETTLED_AT_TARGET	TARGET_1	SETTLE	CLOSED
N16	D	3	FOLLOW_BATCH_D1	TRANSFERRED_AT_WORK_STAGE	TARGET_2	TRANSFER	CLOSED
N17	D	4	FOLLOW_BATCH_D1	LONG_CONTACT_DRAINED	TARGET_2	DRAIN	CLOSED
N18	D	5	FOLLOW_BATCH_D2	LONG_COLLECTION_DRAWN_OFF	COLLECTOR	COLLECTION	CLOSED_SECTION_OUTPUT_D
