global_token_order	section	local_token_order	local_field	global_field_id	micro_packet	grammar_slot	master_card_id	surface	value_de	finality_rule
1	A	1	1	N01	1	G1	MC142	dchol	vom vorigen	NOT_OBSERVED_AS_CLOSE
2	A	2	1	N01	1	G2	MC119	shey	Klarauszug	NOT_OBSERVED_AS_CLOSE
3	A	3	1	N01	1	G2	MC039	aiin	Sollmaß	NOT_OBSERVED_AS_CLOSE
4	A	4	2	N02	1	G3	MC147	cheky	kurz wärmen	NOT_OBSERVED_AS_CLOSE
5	A	5	2	N02	1	G3	MC059	dain	Einlage	NOT_OBSERVED_AS_CLOSE
6	A	6	2	N02	1	G4	MC074	chedy	überführen	NOT_OBSERVED_AS_CLOSE
7	A	7	2	N02	1	G4	MC082	qokeedy	lange einwirken; Schluss	ALWAYS_FIELD_FINAL
8	A	8	3	N03	1	G4	MC143	shckhedy	durchlassen; Schluss	ALWAYS_FIELD_FINAL
9	A	9	4	N04	1	G4	MC143	shckhedy	durchlassen; Schluss	ALWAYS_FIELD_FINAL
10	A	10	5	N05	1	G2	MC105	kain	Anteil	NOT_OBSERVED_AS_CLOSE
11	A	11	5	N05	1	G5	MC154	dal	dorthin	NOT_OBSERVED_AS_CLOSE
12	A	12	5	N05	1	G5	MC026	qoky	einsetzen	NOT_OBSERVED_AS_CLOSE
13	A	13	5	N05	1	G6	MC038	lshedy	Waschgang; Schluss	ALWAYS_FIELD_FINAL
14	C	1	1	N06	1	G1	MC142	dchol	vom vorigen	NOT_OBSERVED_AS_CLOSE
15	C	2	1	N06	1	G2	MC039	aiin	Sollmaß	NOT_OBSERVED_AS_CLOSE
16	C	3	1	N06	1	G3	MC147	cheky	kurz wärmen	NOT_OBSERVED_AS_CLOSE
17	C	4	1	N06	1	G5	MC040	okal	dorthin einsetzen	NOT_OBSERVED_AS_CLOSE
18	C	5	1	N06	1	G4	MC007	okey	kurz einwirken	NOT_OBSERVED_AS_CLOSE
19	C	6	1	N06	2	G2	MC105	kain	Anteil	NOT_OBSERVED_AS_CLOSE
20	C	7	1	N06	2	G4	MC074	chedy	überführen	NOT_OBSERVED_AS_CLOSE
21	C	8	1	N06	2	G5	MC154	dal	dorthin	NOT_OBSERVED_AS_CLOSE
22	C	9	1	N06	3	G2	MC119	shey	Klarauszug	NOT_OBSERVED_AS_CLOSE
23	C	10	1	N06	3	G2	MC039	aiin	Sollmaß	NOT_OBSERVED_AS_CLOSE
24	C	11	1	N06	3	G3	MC059	dain	Einlage	NOT_OBSERVED_AS_CLOSE
25	C	12	1	N06	3	G4	MC143	shckhedy	durchlassen; Schluss	ALWAYS_FIELD_FINAL
26	C	13	2	N07	1	G5	MC107	qotchy	Folgeposten	NOT_OBSERVED_AS_CLOSE
27	C	14	2	N07	1	G5	MC093	otal	danach dorthin	NOT_OBSERVED_AS_CLOSE
28	C	15	2	N07	1	G5	MC026	qoky	einsetzen	NOT_OBSERVED_AS_CLOSE
29	C	16	2	N07	1	G6	MC038	lshedy	Waschgang; Schluss	ALWAYS_FIELD_FINAL
30	C	17	3	N08	1	G2	MC105	kain	Anteil	NOT_OBSERVED_AS_CLOSE
31	C	18	3	N08	1	G3	MC160	talam	Verwahrort	NOT_OBSERVED_AS_CLOSE
32	C	19	3	N08	1	G6	MC019	oldy	fertig	ALWAYS_FIELD_FINAL
33	B	1	1	N09	1	G1	MC160	talam	Verwahrort	NOT_OBSERVED_AS_CLOSE
