component_recipe	intake_tier	ordered_literal_reading_de	fluent_transition_signature_sha256	dual_channel_signature_sha256	gdt439_collision_group_id	dual_collision_group_id	dual_channel_status
AIIN	T0_EXACT_OBSERVED	WERT	57f0d621cbe40af793e33962f14064c9f251dd669a34e33695227bd76853f761	496121e39b91066c2e6e7a2b3b47ab851ae15d465061d305bdd5af2af9882102	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIIN+AIIN	T4_NARROW_APPENDIX	WERT · WERT	81fe0aa60f1b4a75ef5a881ba1bcb0deb2249a659efe44e1f949d79e90c37b48	e4c791fd21f734cdc40a1fb0b91c7bdc5f3704d52508df40450b73718d55acad	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIIN+AIN	T2_FUTURE_STRONG	WERT · ANTEIL	cdb1d2cc45eb5863a63aa7c7f9fb3610abccac56d8a95e9b55a3cf2e0923d5d9	9104788adc51312840bafcde8ae2515ac6cb58c89dfa27612533fab83e564aa7	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIIN+AL	T4_NARROW_APPENDIX	WERT · ZIELORT	5cb6753157e52f24691ac985757d4b89d1bdc9a43aa2cea14688fb0201c75122	1179e2220a97165c01e7e0b20c37454be217dd53448aa721d816687b048c1b55	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIIN+OR	T4_NARROW_APPENDIX	WERT · EINHEIT	07c4c5b18a5a2914fbbb02317c24c1806630ac71b9a877a098ab23cf094a60c5	1871a6e8ad2f4bec203977713e4762f45ebc300ec918a417c7a8df00f93cf95f	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIIN+Y	T0_EXACT_OBSERVED	WERT · POSTEN	3082beb9e1eb6cc7266c9557305a1e2660b1a6e95af5a413875f778283d5cde7	16e4be9453bcf370af01d355fd1e249ee896d8f8d6a8b7779e3c2e0b16b9a592	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIN	T0_EXACT_OBSERVED	ANTEIL	e05552ce99ca1b2b3e31b026065b6b833f8d445af3f75476b27e83da503dbefa	f8bc0e8a192fb6c99ed505360d3cb0914e9c5f9cf826d97ef0ba08fb1af112e0	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIN+AIN	T4_NARROW_APPENDIX	ANTEIL · ANTEIL	bc387b7f53ffb763af7e9bea5d525320ae30d2f31b269fd99f15f69cb98695bb	4f1ccf7b9adce1c433a66b7c494ebcec4d12a8ae9ef22abe11dbc6f575590e22	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIN+AL	T4_NARROW_APPENDIX	ANTEIL · ZIELORT	b2e010e49b22c9c32eff002107031dd040eded0660fe5855731c50f2cb4c9694	7ce8c1a13b2ecb5e770d860a4ffc99d6d401792fdee4d439f6baa03f82d42cb6	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIN+D_ADDR	T0_EXACT_OBSERVED	ANTEIL · HIER	cb4b7d1335b9783c3d804912473481c069c3902f8cfbc3f9c65fcb1fe803e66f	d199301db5972e08f4d027ccb5308698c47877ad5331e7e9d638bcb121239810	COLLISION0010	NONE	DUAL_CHANNEL_UNIQUE
AIN+Y	T2_FUTURE_STRONG	ANTEIL · POSTEN	851600f95040637dbe5d3447f4fdc4207077ff88e104ccabaf3925b07be853ac	cd86ade10ebe4f96c3e375a63b7d727144d69e0dc0c886ab1be008efcad4b891	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR	T0_EXACT_OBSERVED	BAHN	a050426a8e8f72fcc15a105f1a2aed8d3c020cb677b026e9beeddec810728953	5743e1923b82be9a94df0ddc55ea27424082903af88678797edb5d1b7a284e2f	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR+AIIN	T2_FUTURE_STRONG	BAHN · WERT	3c742ff69d4feb7031890520c0606f5825b0e86a5a8462515a5d39e37c418aab	57c214712f9692ef209d830717303743295aa421a83c25e9689bd9e8f6795e76	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR+AIN	T3_SECOND_RING_AMBER	BAHN · ANTEIL	15673a681de5cadadc079808d8b0b9c1760e4fd8772357751df01c0681e73748	99a95390c78df32483e69e931cfab0d9ecef36070fdd815f7b39560a09c77bed	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR+AL	T4_NARROW_APPENDIX	BAHN · ZIELORT	194538e1ce587afc182616022ede867c3bf1029946a6ca637cffbc2d9ef9c1a0	225c469b93a39471394fdeff052190a5772d58b6a15bcbe73fda631b4374c20b	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR+CHD	T4_NARROW_APPENDIX	BAHN · BEARBEITEN	af07a4f654b11db120055daa25f15c324e97884400a547dbbff445a2b6e6e1b6	9b6ca5f54330ba5be42176ed9a059225884df3e237a8d255269214e451282ebd	COLLISION0011	NONE	DUAL_CHANNEL_UNIQUE
AIR+CHD+DY	T4_NARROW_APPENDIX	BAHN · BEARBEITEN · SCHLUSS	4f9073cf97ef1df408d4512a29a34b4e81e5152199bda0ed2da730aefb58d8ba	fa9c18e3df2617cd44e0755c15f3e2e293ea44416a76d68b6e268264ed57f7ae	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR+DY	T4_NARROW_APPENDIX	BAHN · SCHLUSS	c1ea5632844cadbf461aded984395cee0a6396e9c3e5df07f2a1784e698201b3	0ec0a293fdd4abe9ef5739041e9a32aaae4d0071a63eec339621ca15d3a35555	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR+K+AIN	T4_NARROW_APPENDIX	BAHN · GEBEN · ANTEIL	dff7c946b78ee6595709d995125ef1404e144469d0e4eccdc11055ad04f7f19f	0c9c9028c306adbe173e186db26a71dcfebceeb716558c90ef4b2b4e57fba34a	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR+O	T4_NARROW_APPENDIX	BAHN · AUSFÜHRUNG	273cf7fd658cf826e62f87f65be6baaaa911d46b9034eccdacb0dcf83054a246	d73afae60d8acdfa2e06e91da033d0688be1c5e73dd1dce26071500e93226c99	NONE	NONE	DUAL_CHANNEL_UNIQUE
AIR+OL	T2_FUTURE_STRONG	BAHN · FORTSETZEN	3e36c834d02fa77f0d1ea4dfc019074c2deb93f24749fe55939dec827e6ca694	c412d93558db44565cb34a5ef1e83c083802b30be40e3efb51d3c88462ceef6c	COLLISION0012	NONE	DUAL_CHANNEL_UNIQUE
