gdt439_collision_group_id	original_recipe_count	component_recipes	distinct_ordered_literal_count	remaining_dual_collision_subgroup_count	remaining_recipe_count	resolution_status
COLLISION0001	4	L+O+D_ADDR|L+O+M_LOCAL|O+D_ADDR+L|O+LOCAL_CHAR_F+L	2	2	4	PARTLY_RESOLVED__REMAINDER_CO_VALUED_LOCAL_CHANNELS
COLLISION0002	3	AM_ADDR|A_ADDR|D_ADDR	1	1	3	REMAINS_CO_VALUED_LOCAL_CHANNELS
COLLISION0003	3	AM_ADDR+Y|A_ADDR+Y|D_ADDR+Y	1	1	3	REMAINS_CO_VALUED_LOCAL_CHANNELS
COLLISION0004	3	A_ADDR+S|S+AM_ADDR|S+A_ADDR	2	1	2	PARTLY_RESOLVED__REMAINDER_CO_VALUED_LOCAL_CHANNELS
COLLISION0005	3	D_ADDR+AL+O|O+D_ADDR+AL|O+LOCAL_CHAR_F+AL	2	1	2	PARTLY_RESOLVED__REMAINDER_CO_VALUED_LOCAL_CHANNELS
COLLISION0006	3	D_ADDR+O|O+AM_ADDR|O+LOCAL_CHAR_F	2	1	2	PARTLY_RESOLVED__REMAINDER_CO_VALUED_LOCAL_CHANNELS
COLLISION0007	3	D_ADDR+OL|M_LOCAL+OL|OL+AM_ADDR	2	1	2	PARTLY_RESOLVED__REMAINDER_CO_VALUED_LOCAL_CHANNELS
COLLISION0008	3	K+OL+Y|OL+K+Y|Y+K+OL	3	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0009	3	LOCAL_CHAR_F+O+AR|O+D_ADDR+AR|O+LOCAL_CHAR_F+AR	2	1	2	PARTLY_RESOLVED__REMAINDER_CO_VALUED_LOCAL_CHANNELS
COLLISION0010	2	AIN+D_ADDR|D_ADDR+AIN	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0011	2	AIR+CHD|CHD+AIR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0012	2	AIR+OL|OL+AIR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0013	2	AL+CH|CH+AL	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0014	2	AL+CH+Y|CH+AL+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0015	2	AL+CHD|CHD+AL	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0016	2	AL+K+Y|Y+K+AL	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0017	2	AL+OL|OL+AL	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0018	2	AL+OL+Y|OL+AL+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0019	2	AL+S|S+AL	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0020	2	AL+S+Y|Y+AL+S	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0021	2	AL+SH|SH+AL	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0022	2	AR+CHD|CHD+AR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0023	2	AR+O|O+AR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0024	2	AR+OL|OL+AR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0025	2	AR+OL+Y|OL+AR+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0026	2	A_ADDR+AL|D_ADDR+AL	1	1	2	REMAINS_CO_VALUED_LOCAL_CHANNELS
COLLISION0027	2	CARRIER_Q+O+OL|OL+CARRIER_Q+O	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0028	2	CH+AM_ADDR|CH+A_ADDR	1	1	2	REMAINS_CO_VALUED_LOCAL_CHANNELS
COLLISION0029	2	CH+CH+K+E+Y|CH+E+CH+K+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0030	2	CH+E+O+AM_ADDR|D_ADDR+CH+E+O	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0031	2	CH+E+O+L+Y|Y+CH+E+O+L	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0032	2	CH+E+O+Y|Y+CH+E+O	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0033	2	CH+E+P+Y|CH+P+E+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0034	2	CH+EE+D_ADDR+Y|LOCAL_CHAR_F+CH+EE+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0035	2	CH+EE+T+Y|CH+T+EE+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0036	2	CH+K+O+Y|O+CH+K+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0037	2	CH+K+Y|Y+CH+K	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0038	2	CH+L|L+CH	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0039	2	CH+LOCAL_CHAR_F+AIIN|D_ADDR+CH+AIIN	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0040	2	CH+LOCAL_CHAR_F+AIN|D_ADDR+CH+AIN	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0041	2	CH+LOCAL_CHAR_F+O+AIIN|CH+O+D_ADDR+AIIN	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0042	2	CH+LOCAL_CHAR_F+OR|D_ADDR+CH+OR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0043	2	CH+LOCAL_CHAR_F+Y|D_ADDR+CH+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0044	2	CH+O+D_ADDR+Y|Y+CH+O+D_ADDR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0045	2	CH+O+P|CH+P+O	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0046	2	CH+OT+AIIN|OT+CH+AIIN	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0047	2	CH+OT+OL|OT+CH+OL	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0048	2	CH+OT+Y|OT+CH+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0049	2	CH+T+O+OR|O+CH+T+OR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0050	2	CHD+L|L+CHD	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0051	2	CHD+Y+L|L+CHD+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0052	2	D_ADDR+AR|LOCAL_CHAR_F+AR	1	1	2	REMAINS_CO_VALUED_LOCAL_CHANNELS
COLLISION0053	2	D_ADDR+AR+O+AM_ADDR|D_ADDR+AR+O+D_ADDR	1	1	2	REMAINS_CO_VALUED_LOCAL_CHANNELS
COLLISION0054	2	D_ADDR+K+Y|K+D_ADDR+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0055	2	D_ADDR+O+AIIN|O+D_ADDR+AIIN	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0056	2	D_ADDR+O+AIN|O+D_ADDR+AIN	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0057	2	D_ADDR+O+D_ADDR|O+D_ADDR+AM_ADDR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0058	2	D_ADDR+O+OR|O+D_ADDR+OR	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0059	2	D_ADDR+O+Y|O+D_ADDR+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0060	2	D_ADDR+OK+Y|OK+A_ADDR+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0061	2	D_ADDR+SH+E+CH+K+Y|SH+E+CH+K+D_ADDR+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
COLLISION0062	2	D_ADDR+SH+Y|SH+D_ADDR+Y	2	0	0	FULLY_RESOLVED_BY_ORDERED_MEANING_TRACE
