stream_ordinal	event_id	statement_id	physical_page	register	owner_de	surface	component_recipe	intake_tier	ordered_literal_reading_de	order_safe_clause_de	dual_channel_reading_de	state_and_clause_match_gdt438
1	G407-E0001	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	T0_EXACT_OBSERVED	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	Kernfolge: HIER · HIER · NEHMEN · POSTEN · WÄHLEN. Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	YES
2	G407-E0002	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	T0_EXACT_OBSERVED	POSTEN · GEBEN · ZIELORT	Ordne den laufenden Eintrag zu; zur Zielspalte.	Kernfolge: POSTEN · GEBEN · ZIELORT. Ordne den laufenden Eintrag zu; zur Zielspalte.	YES
3	G407-E0003	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	T0_EXACT_OBSERVED	AUSGANG	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Kernfolge: AUSGANG. Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	YES
4	G407-E0004	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	T0_EXACT_OBSERVED	HIER · EINSTELLEN · WERT	Lege den Kennwert fest; an der bezeichneten Stelle.	Kernfolge: HIER · EINSTELLEN · WERT. Lege den Kennwert fest; an der bezeichneten Stelle.	YES
5	G407-E0005	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	T0_EXACT_OBSERVED	HALTEN · FORTSETZEN	Weiter halte den Kennwert [wie zuvor] fest.	Kernfolge: HALTEN · FORTSETZEN. Weiter halte den Kennwert [wie zuvor] fest.	YES
6	G407-E0006	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	T0_EXACT_OBSERVED	HALTEN · EINHEIT · POSTEN	Halte die Eintragseinheit und den laufenden Eintrag fest.	Kernfolge: HALTEN · EINHEIT · POSTEN. Halte die Eintragseinheit und den laufenden Eintrag fest.	YES
7	G407-E0007	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	T0_EXACT_OBSERVED	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Kernfolge: NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN. Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	YES
8	G407-E0008	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	T0_EXACT_OBSERVED	POSTEN	Im laufenden Gang wähle den laufenden Eintrag.	Kernfolge: POSTEN. Im laufenden Gang wähle den laufenden Eintrag.	YES
9	G407-E0009	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	T0_EXACT_OBSERVED	GEBEN · EINHEIT	Ordne die Eintragseinheit zu.	Kernfolge: GEBEN · EINHEIT. Ordne die Eintragseinheit zu.	YES
10	G407-E0010	G404-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	T0_EXACT_OBSERVED	HALTEN · FORTSETZEN · HIER · POSTEN	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	Kernfolge: HALTEN · FORTSETZEN · HIER · POSTEN. Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	YES
