at	word	patient	destination	PRE_prior	POST_prior	PRE_cause	POST_cause	state_equal	row_status
f83r.2:10	chedy	shedy	f83r.2:3	UNKNOWN	UNKNOWN	NONE	NONE	True	recorded
f83r.4:2	chedy	lchedy	f83r.3:8	UNKNOWN	UNKNOWN	NONE	NONE	True	recorded
f83r.4:3	qokedy	lchedy	f83r.3:8	UNKNOWN	UNKNOWN	NONE	NONE	True	recorded
f83r.4:9	chedy	shedy	f83r.3:8	UNKNOWN	UNKNOWN	NONE	NONE	True	recorded
f83r.6:6	chedy	shedy	f83r.6:5	UNKNOWN	UNKNOWN	NONE	NONE	True	recorded
f83r.7:8	qokedy	lchedy	f83r.6:5	FILLED	FILLED	f83r.4:3	f83r.4:3	True	recorded
f83r.8:5	chedy	lchedy	f83r.6:5	FILLED	FILLED	f83r.7:8	f83r.7:10	True	recorded
f83r.9:3	qokedy	NONE	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.11:6	qokedy	shedy	f83r.11:3	UNKNOWN	UNKNOWN	NONE	NONE	True	recorded
f83r.12:8	qokedy	lchedy	f83r.11:3	UNKNOWN	UNKNOWN	NONE	NONE	True	recorded
f83r.13:7	qokedy	shedy	f83r.11:3	FILLED	FILLED	f83r.11:6	f83r.11:6	True	recorded
f83r.16:5	chedy	lchedy	f83r.14:7	FILLED	FILLED	f83r.12:8	f83r.12:8	True	recorded
f83r.20:4	qokedy	lchedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.20:7	qokedy	lchedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.21:2	qokedy	lchedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.21:5	chedy	lchedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.21:8	qokedy	lchedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.22:5	chedy	lchedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.23:5	qokedy	shedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.23:9	chedy	shedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.25:4	qokedy	NONE	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.25:5	chedy	NONE	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.27:2	chedy	shedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.28:4	qokedy	shedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.42:5	chedy	lchedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.43:3	chedy	lchedy	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
f83r.49:3	chedy	NONE	NONE	UNBOUND_PAIR	UNBOUND_PAIR	NONE	NONE	True	recorded
