record	locus	at	word	mode	patient	patient_source	destination	prior_state	prior_cause	written_condition	body_executions	status	after_state	row_status
F83_P1	f83r.2	f83r.2:7	qoteedy	PRE	shedy	f83r.1:6	f83r.2:3	UNKNOWN	NONE	NONE	0	MISSING_WRITTEN_CONDITION	UNKNOWN	recorded
F83_P1	f83r.2	f83r.2:10	chedy	PRE	shedy	f83r.1:6	f83r.2:3	UNKNOWN	NONE	NONE	0	BOUND	UNKNOWN	recorded
F83_P1	f83r.4	f83r.4:2	chedy	PRE	lchedy	f83r.3:7	f83r.3:8	UNKNOWN	NONE	NONE	0	BOUND	UNKNOWN	recorded
F83_P1	f83r.4	f83r.4:3	qokedy	PRE	lchedy	f83r.3:7	f83r.3:8	UNKNOWN	NONE	NONE	0	ASSERT_FILLED	FILLED	recorded
F83_P1	f83r.4	f83r.4:9	chedy	PRE	shedy	f83r.4:7	f83r.3:8	UNKNOWN	NONE	NONE	0	BOUND	UNKNOWN	recorded
F83_P1	f83r.5	f83r.5:7	qokeey	PRE	shedy	f83r.5:6	f83r.3:8	UNKNOWN	NONE	NONE	0	RUNNING_WITHOUT_COMPLETION	UNKNOWN	recorded
F83_P1	f83r.5	f83r.5:9	qoteedy	PRE	shedy	f83r.5:6	f83r.3:8	UNKNOWN	NONE	NONE	0	MISSING_WRITTEN_CONDITION	UNKNOWN	recorded
F83_P1	f83r.6	f83r.6:6	chedy	PRE	shedy	f83r.5:6	f83r.6:5	UNKNOWN	NONE	NONE	0	BOUND	UNKNOWN	recorded
F83_P1	f83r.6	f83r.6:7	qokeedy	PRE	shedy	f83r.5:6	f83r.6:5	UNKNOWN	NONE	NONE	0	EXECUTE_FILL	FILLED	recorded
F83_P1	f83r.7	f83r.7:8	qokedy	PRE	lchedy	f83r.6:8	f83r.6:5	FILLED	f83r.4:3	f83r.4:3	0	ASSERT_FILLED	FILLED	recorded
F83_P1	f83r.7	f83r.7:9	qoteedy	PRE	lchedy	f83r.6:8	f83r.6:5	FILLED	f83r.7:8	f83r.7:8	0	SKIP_SATISFIED	FILLED	recorded
F83_P1	f83r.7	f83r.7:10	qoteedy	PRE	lchedy	f83r.6:8	f83r.6:5	FILLED	f83r.7:8	f83r.7:8	0	SKIP_SATISFIED	FILLED	recorded
F83_P1	f83r.8	f83r.8:5	chedy	PRE	lchedy	f83r.6:8	f83r.6:5	FILLED	f83r.7:8	f83r.7:8	0	BOUND	FILLED	recorded
F83_P2	f83r.9	f83r.9:3	qokedy	PRE	NONE	NONE	NONE	UNBOUND_PAIR	NONE	NONE	0	MISSING_PARTICIPANT	UNBOUND_PAIR	recorded
F83_P2	f83r.11	f83r.11:6	qokedy	PRE	shedy	f83r.11:2	f83r.11:3	UNKNOWN	NONE	NONE	0	ASSERT_FILLED	FILLED	recorded
F83_P2	f83r.12	f83r.12:8	qokedy	PRE	lchedy	f83r.11:9	f83r.11:3	UNKNOWN	NONE	NONE	0	ASSERT_FILLED	FILLED	recorded
F83_P2	f83r.13	f83r.13:7	qokedy	PRE	shedy	f83r.13:3	f83r.11:3	FILLED	f83r.11:6	f83r.11:6	0	ASSERT_FILLED	FILLED	recorded
F83_P2	f83r.14	f83r.14:2	qokeedy	PRE	shedy	f83r.13:3	f83r.11:3	FILLED	f83r.13:7	f83r.13:7	0	EXECUTE_FILL	FILLED	recorded
F83_P2	f83r.16	f83r.16:5	chedy	PRE	lchedy	f83r.15:9	f83r.14:7	FILLED	f83r.12:8	f83r.12:8	0	BOUND	FILLED	recorded
F83_P3	f83r.20	f83r.20:2	qoteedy	PRE	lchedy	f83r.19:11	NONE	UNBOUND_PAIR	NONE	NONE	0	MISSING_PARTICIPANT	UNBOUND_PAIR	recorded
F83_P3	f83r.20	f83r.20:3	qokeey	PRE	lchedy	f83r.19:11	NONE	UNBOUND_PAIR	NONE	NONE	0	MISSING_PARTICIPANT	UNBOUND_PAIR	recorded
