frame_ordinal	frame_layer	frame_length	frame_signature	occurrence_count	statement_count	physical_page_count	register_count	transfer_scope	statement_ids	example_event_paths	guard
1	EXACT_PORTABLE	2	A:S;X:-;C:- || A:^S;X:AIIN;C:-	2	2	1	1	SAME_PAGE_RECURRENT	G515-S010|G515-S013	G515-E0162|G515-E0163 || G515-E0193|G515-E0194	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
2	EXACT_PORTABLE	2	A:S;X:^Y;C:- || A:^S;X:AIIN;C:-	2	2	1	1	SAME_PAGE_RECURRENT	G515-S009|G515-S010	G515-E0154|G515-E0155 || G515-E0172|G515-E0173	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
3	EXACT_PORTABLE	2	A:SH;X:^OR;C:CONTINUE || A:SH;X:^OR;C:CONTINUE	2	2	1	1	SAME_PAGE_RECURRENT	G515-S002|G515-S004	G515-E0011|G515-E0012 || G515-E0044|G515-E0045	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
4	EXACT_PORTABLE	2	A:^S;X:AIIN;C:- || A:^S;X:^AIIN;C:REL:AL	2	2	2	2	CROSS_REGISTER	G515-S013|G515-S056	G515-E0194|G515-E0195 || G515-E0463|G515-E0464	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
5	ABSTRACT_ROLE	2	KEEP_A1__SET_X1|X || KEEP_A1__SET_X1|X	6	5	3	2	CROSS_REGISTER	G515-S007|G515-S008|G515-S010|G515-S046|G515-S056	G515-E0095|G515-E0096 || G515-E0128|G515-E0129 || G515-E0143|G515-E0144 || G515-E0167|G515-E0168 || G515-E0412|G515-E0413 || G515-E0462|G515-E0463	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
6	ABSTRACT_ROLE	2	KEEP_A1__KEEP_X1|CONT || KEEP_A1__SET_X1|X	3	3	3	2	CROSS_REGISTER	G515-S002|G515-S008|G515-S068	G515-E0020|G515-E0021 || G515-E0142|G515-E0143 || G515-E0542|G515-E0543	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
7	ABSTRACT_ROLE	2	KEEP_A1__SET_X1|THEN>X || KEEP_A1__SET_X1|X	3	3	2	1	CROSS_PAGE	G515-S002|G515-S003|G515-S007	G515-E0023|G515-E0024 || G515-E0033|G515-E0034 || G515-E0090|G515-E0091	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
8	ABSTRACT_ROLE	2	KEEP_A1__SET_X1|X || KEEP_A1__KEEP_X1|REL	3	3	2	2	CROSS_REGISTER	G515-S013|G515-S044|G515-S056	G515-E0194|G515-E0195 || G515-E0399|G515-E0400 || G515-E0463|G515-E0464	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
9	ABSTRACT_ROLE	2	KEEP_A1__SET_X1|X || SET_A1__SET_X1|A>X	5	3	3	1	CROSS_PAGE	G515-S002|G515-S008|G515-S026	G515-E0021|G515-E0022 || G515-E0024|G515-E0025 || G515-E0029|G515-E0030 || G515-E0144|G515-E0145 || G515-E0244|G515-E0245	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
10	ABSTRACT_ROLE	2	SET_A1__KEEP_X1|A>CONT || SET_A1__KEEP_X1|A>CONT	3	3	2	1	CROSS_PAGE	G515-S002|G515-S004|G515-S007	G515-E0011|G515-E0012 || G515-E0044|G515-E0045 || G515-E0087|G515-E0088	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
11	ABSTRACT_ROLE	2	SET_A1__SET_X1|A>X || KEEP_A1__SET_X1|X	4	3	3	2	CROSS_REGISTER	G515-S005|G515-S026|G515-S068	G515-E0051|G515-E0052 || G515-E0062|G515-E0063 || G515-E0245|G515-E0246 || G515-E0528|G515-E0529	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
12	ABSTRACT_ROLE	2	SET_A1__SET_X1|A>X || SET_A1__SET_X1|A>X	4	3	2	2	CROSS_REGISTER	G515-S005|G515-S037|G515-S050	G515-E0050|G515-E0051 || G515-E0061|G515-E0062 || G515-E0330|G515-E0331 || G515-E0443|G515-E0444	CONTIGUOUS_WITHIN_STATEMENT_FRAME__NO_CROSS_BOUNDARY_JOIN
