slot_template_ordinal	slot_transition_template	event_count	statement_count	physical_page_count	register_count	target_event_count	surfaces	example_event_id	example_clause_de	transfer_scope
1	SET_A1__SET_X1	128	47	4	2	29	alkey|chaiin|chdy|chedaiin|chedy|cheedy|cheey|cheody|cheoy|chety|chodaiin|chody|chokeey|chor|choty|dalky|dary|dcheey|dchor|dolarshy|ety|kchy|keedey|keey|keody|kodary|kor|lkeedy|lsheody|okaiin|okchy|okeey|okeody|okoy|oky|okyd|olsheor|opchy|opydy|otchy|oteochey|pdaiin|qofchedy|qokaldy|qokaly|qokchy|qokeeody|qokeey|qokeody|qokeor|qokey|qokor|qoky|qopaiin|qopchy|qopy|raiin|rotaiin|ry|saiin|shain|shdy|sheeody|sheey|sheodaiin|sheody|sheor|sheoy|shey|sholdy|shor|soaiin|tchy|tey|todeeey|tydy|ykady|ykedy|ykeedar|ykeeody|ykoiin|ykol|yshedair|ysheeod|ytarody	G515-E0005	Halte den Pflanzenposten; auf Grad II.	CROSS_REGISTER
2	SET_A1__KEEP_X1	94	40	4	2	20	akar|cfhol|cheeo|chees|cheo|cheol|choiin|chxar|daiir|dalalshedy|dcheol|dkar|dsheol|fchdar|kal|kardy|kchol|kedy|keeol|kol|lkar|lkeol|lshedy|okaiiin|okal|okedam|okedy|okeedy|okeol|okoiin|olkeol|olsheol|otchdy|otchol|qoekedy|qokal|qokar|qokedy|qokee|qokeedar|qokol|qotchoiin|qotchol|r|s|sair|shd|shddy|shed|shedy|shee|sheedy|sheeo|sheeol|sheodal|sheol|sho|shofol|shol|soiin	G515-E0011	Halte die Arbeitseinheit [wie zuvor]; führe fort.	CROSS_REGISTER
3	KEEP_A1__SET_X1	77	27	4	2	4	aiin|aly|axor|chey|choldy|chy|daiin|daly|dan|deey|dor|dy|lchey|ldaiin|lodaiin|lor|oly|or|otalor|oteey|oteody|oteor|otey|otor|oty|qoaiin|qotaiin|qotchy|qoteoly|qotey|qoty|shy|y	G515-E0006	Danach: im laufenden Satz halte den Pflanzenposten; auf Grad I.	CROSS_REGISTER
4	KEEP_A1__KEEP_X1	61	27	4	2	11	al|ar|char|cheal|cho|chol|chom|d|da|dair|dairal|dairody|dal|dalol|dar|dard|doiiin|doiin|dol|l|ld|ldy|lo|odair|odal|ofaram|ol|otam|oteedy|otol|qef|qo|qotal|qotar|qotedal|qotedy|qoteeod|qotol	G515-E0007	Im laufenden Satz halte den Pflanzenposten [wie zuvor]; zur Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	CROSS_REGISTER
5	SET_A2__SET_X1	54	33	4	2	30	chckhy|checthy|cheeky|chefchy|chekchy|chekeey|chekey|cheky|cheoky|chky|chockhy|choekeey|cphaiin|cphy|cthdy|cthey|cthy|dairykodas|dalcheeeky|fchedyr|fshodchy|kcheody|kchody|kechody|kodalchy|ltsholy|okalchedy|pofochey|psheody|qocthedy|qokchedy|qokchey|qokshy|shedshey|shekaly|shekeefy|shekeey|shekey|sheky|shky|shokaiin|shyshol|tolshy|yches|ykesho|ykshedy	G515-E0001	Gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Zielstelle; zur Ausführung; an der bezeichneten Stelle.	CROSS_REGISTER
6	SET_A1__EMPTY_X	32	26	4	2	6	chady|cheda|cheod|cheol|dals|faiis|kody|lchedy|okar|okedy|otchedy|qokal|qokedy|qokeedy|qotchedy|r|s|sair|shedy|sheod|sheol|shol|tol	G515-E0003	Halte; auf Grad I; führe fort.	CROSS_REGISTER
7	SET_A2__KEEP_X1	27	19	3	2	15	chedaiir|chekeody|cheor|cheos|cholpchd|chpady|cpholdy|cthol|cthom|dsholdaiir|okcho|okedals|okees|pchedy|qokaiir|qokees|saiir|shekair|shekol|shes|shos|sos|sshedy|tcheo|tolchedy|tosheo	G515-E0002	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; an der bezeichneten Stelle; schließe den Schritt.	CROSS_REGISTER
8	SET_A3__SET_X1	18	15	4	2	8	chcpheor|chcphy|chcthy|checkhey|chocthy|ckhochy|kcheeky|shcthey|shcthy|shecthy|sheocthy|shocthy|shtchy|tocpheey|tshokeody|ypches	G515-E0014	Halte den Pflanzenposten, stelle den Pflanzenposten ein und nimm den Pflanzenposten.	CROSS_REGISTER
9	SET_A1__SET_X2	11	7	4	2	7	choraiin|choraly|chory|dyky|pydaiin|sholfordaiin|ykchy|ykeedy|ykeey|ytoy|yty	G515-E0009	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein; zur Ausführung.	CROSS_REGISTER
10	SET_A2__EMPTY_X	10	10	3	2	7	chap|cheta|cphedy|opchedy|pchof|qokees|qokshd|saiis|shso|tshol	G515-E0099	Stelle ein und halte; führe fort.	CROSS_REGISTER
11	EMPTY_A__EMPTY_X	9	9	2	2	0	dair|dal|dar|ol|otedy|oteedy|qotedy	G515-E0190	Danach: auf Grad I; schließe den Schritt.	CROSS_REGISTER
12	EMPTY_A__SET_X1	7	6	2	2	0	aiin|daiin|daly|dor|lchey|qotey	G515-E0048	Bezug: den Arbeitswert.	CROSS_REGISTER
13	SET_A3__KEEP_X1	7	7	2	2	6	chckhedy|chcthedy|chctho|chepakeo|lpchees|shckhar|shckheody	G515-E0157	Nimm den Arbeitswert [wie zuvor], setze den Arbeitswert [wie zuvor] ein und gib den Arbeitswert [wie zuvor] zu; auf Grad I [außen], auf Grad I [innen] und zur Ausführung; an der bezeichneten Stelle.	CROSS_REGISTER
14	KEEP_A1__EMPTY_X	4	4	3	2	1	ar|folchol|ol	G515-E0004	Im laufenden Satz halte; führe fort.	CROSS_REGISTER
15	SET_A2__SET_X2	3	3	3	2	2	aiicthy|dytcheey|ykchdy	G515-E0038	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen]; auf Grad II; an der bezeichneten Stelle.	CROSS_REGISTER
16	SET_A3__EMPTY_X	2	2	2	2	2	chepos|shokaiir	G515-E0191	Nimm, setze ein und wähle; auf Grad I und zur Ausführung.	CROSS_REGISTER
17	KEEP_A1__SET_X2	1	1	1	1	0	ydaiin	G515-E0522	Im laufenden Satz entnimm den laufenden Eintrag und den Kennwert; an der bezeichneten Stelle.	SAME_PAGE_RECURRENT
18	SET_A3__SET_X2	1	1	1	1	1	shytchy	G515-E0037	Halte den Pflanzenposten [außen] und den Pflanzenposten [innen], stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein und nimm den Pflanzenposten [außen] und den Pflanzenposten [innen].	SAME_PAGE_RECURRENT
