event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	surface	final_recipe	gdt553_target_member	gdt553_resolution_generation	gdt553_former_queue_card	gdt553_recipe_match	gdt553_context_reading_match	slot_transition_template	explicit_action_roots	inherited_action_root	resolved_action_roots	explicit_argument_roots	inherited_argument_root	resolved_argument_roots	ordered_control_chain	portable_semantic_macro	abstract_event_template	contextual_clause_de	portable_consistency_key	guard
1	G515-E0001	G515-S001	1	f4r	HERBAL	kodalchy	K+O+D_ADDR+AL+CH+Y	YES	BASE_GDT548	NO	YES	YES	SET_A2__SET_X1	K|CH	NONE	K|CH	Y	NONE	Y	EXEC>ADDR:D>REL:AL	A:K+CH;X:Y;C:EXEC>ADDR:D>REL:AL	SET_A2__SET_X1|A>EXEC>ADDR>REL>A>X	Gib den Pflanzenposten zu und nimm den Pflanzenposten; zur Zielstelle; zur Ausführung; an der bezeichneten Stelle.	K+O+D_ADDR+AL+CH+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
2	G515-E0002	G515-S001	2	f4r	HERBAL	chpady	CH+P+A_ADDR+DY	YES	BASE_GDT548	NO	YES	YES	SET_A2__KEEP_X1	CH|P	NONE	CH|P	NONE	Y	Y	ADDR:A>CLOSE	A:CH+P;X:^Y;C:ADDR:A>CLOSE	SET_A2__KEEP_X1|A>A>ADDR>CLOSE	Nimm den Pflanzenposten [wie zuvor] und setze den Pflanzenposten [wie zuvor] ein; an der bezeichneten Stelle; schließe den Schritt.	CH+P+A_ADDR+DY|IA:NONE|IX:Y	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
3	G515-E0003	G515-S002	1	f4r	HERBAL	sheol	SH+E+OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__EMPTY_X	SH	NONE	SH	NONE	NONE	NONE	GRADE:I>CONTINUE	A:SH;X:-;C:GRADE:I>CONTINUE	SET_A1__EMPTY_X|A>G1>CONT	Halte; auf Grad I; führe fort.	SH+E+OL|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
4	G515-E0004	G515-S002	2	f4r	HERBAL	ol	OL	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__EMPTY_X	NONE	SH	SH	NONE	NONE	NONE	CONTINUE	A:^SH;X:-;C:CONTINUE	KEEP_A1__EMPTY_X|CONT	Im laufenden Satz halte; führe fort.	OL|IA:SH|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
5	G515-E0005	G515-S002	3	f4r	HERBAL	sheey	SH+EE+Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	SH	NONE	SH	Y	NONE	Y	GRADE:II	A:SH;X:Y;C:GRADE:II	SET_A1__SET_X1|A>G2>X	Halte den Pflanzenposten; auf Grad II.	SH+EE+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
6	G515-E0006	G515-S002	4	f4r	HERBAL	qotey	OT+E+Y	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__SET_X1	NONE	SH	SH	Y	NONE	Y	THEN>GRADE:I	A:^SH;X:Y;C:THEN>GRADE:I	KEEP_A1__SET_X1|THEN>G1>X	Danach: im laufenden Satz halte den Pflanzenposten; auf Grad I.	OT+E+Y|IA:SH|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
7	G515-E0007	G515-S002	5	f4r	HERBAL	doiin	D_ADDR+O+IIN	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	KEEP_A1__KEEP_X1	NONE	SH	SH	NONE	Y	Y	ADDR:D>EXEC>STAGE	A:^SH;X:^Y;C:ADDR:D>EXEC>STAGE	KEEP_A1__KEEP_X1|ADDR>EXEC>STAGE	Im laufenden Satz halte den Pflanzenposten [wie zuvor]; zur Ausführung und auf der bezeichneten Stufe; an der bezeichneten Stelle.	D_ADDR+O+IIN|IA:SH|IX:Y	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
8	G515-E0008	G515-S002	6	f4r	HERBAL	chor	CH+OR	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	CH	NONE	CH	OR	NONE	OR	NONE	A:CH;X:OR;C:-	SET_A1__SET_X1|A>X	Nimm die Arbeitseinheit.	CH+OR|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
9	G515-E0009	G515-S002	7	f4r	HERBAL	ytoy	Y+T+O+Y	YES	BASE_GDT548	NO	YES	YES	SET_A1__SET_X2	T	NONE	T	Y|Y	NONE	Y|Y	EXEC	A:T;X:Y+Y;C:EXEC	SET_A1__SET_X2|X>A>EXEC>X	Stelle den Pflanzenposten [außen] und den Pflanzenposten [innen] ein; zur Ausführung.	Y+T+O+Y|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
10	G515-E0010	G515-S002	8	f4r	HERBAL	dchor	D_ADDR+CH+OR	NO	OUTSIDE_GDT553	OUTSIDE_GDT553	NOT_APPLICABLE	NOT_APPLICABLE	SET_A1__SET_X1	CH	NONE	CH	OR	NONE	OR	ADDR:D	A:CH;X:OR;C:ADDR:D	SET_A1__SET_X1|ADDR>A>X	Nimm die Arbeitseinheit; an der bezeichneten Stelle.	D_ADDR+CH+OR|IA:NONE|IX:NONE	HORIZONTAL_WORKING_TEMPLATE__NO_PLAINTEXT_OR_NEW_MEANING
