target_ordinal	surface	final_recipe	event_count	statement_count	physical_pages	registers	incoming_state_count	incoming_states	portable_macro_count	portable_macros	contextual_clause_count	observed_contextual_clauses_de	gdt553_observed_requirement_modes	resolution_generation	former_queue_candidate	recipe_match_all_events	context_reading_match_all_events	status
1	aiicthy	AIIN+CH+T+Y	1	1	f31r	HERBAL	1	IA:NONE|IX:NONE	1	A:CH+T;X:AIIN+Y;C:-	1	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	SELF_CONTAINED	GDT552_BOUNDARY_FAMILY	YES	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
2	akar	A_ADDR+K+AR	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:OR	1	A:K;X:^OR;C:ADDR:A>REL:AR	1	Ordne die Eintragseinheit [wie zuvor] zu; von der Ausgangszeile; an der bezeichneten Stelle.	REQUIRES_ACTIVE_ARGUMENT	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
3	alkey	AL+K+E+Y	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:NONE	1	A:K;X:Y;C:REL:AL>GRADE:I	1	Ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	SELF_CONTAINED	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
4	axor	A_ADDR+LOCAL_X+OR	1	1	f66r	SOURCE_SECTION_T	1	IA:K|IX:NONE	1	A:^K;X:OR;C:ADDR:A>LOCAL:X	1	Im laufenden Satz ordne die Eintragseinheit zu; an der bezeichneten Stelle und mit dem lokalen X-Zeichen-/Namenskern.	REQUIRES_ACTIVE_ACTION	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
5	chady	CH+A_ADDR+DY	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:NONE	1	A:CH;X:-;C:ADDR:A>CLOSE	1	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	SELF_CONTAINED	GDT549_CURRENT_PEER	YES	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
6	chap	CH+A_ADDR+P	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:NONE	1	A:CH+P;X:-;C:ADDR:A	1	Entnimm und setze ein; an der bezeichneten Stelle.	SELF_CONTAINED	GDT552_BOUNDARY_FAMILY	YES	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
7	chckhedy	CH+CH+K+E+DY	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:Y	1	A:CH+CH+K;X:^Y;C:GRADE:I>CLOSE	1	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; schließe den Schritt.	REQUIRES_ACTIVE_ARGUMENT	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
8	chcpheor	CH+CH+P+E+OR	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:NONE	1	A:CH+CH+P;X:OR;C:GRADE:I	1	Entnimm die Eintragseinheit, entnimm die Eintragseinheit und setze die Eintragseinheit ein; auf Grad I.	SELF_CONTAINED	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
9	chctho	CH+CH+T+O	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:Y	1	A:CH+CH+T;X:^Y;C:EXEC	1	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; zur Ausführung.	REQUIRES_ACTIVE_ARGUMENT	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
10	cheda	CHD+A_ADDR	1	1	f31r	HERBAL	1	IA:NONE|IX:NONE	1	A:CHD;X:-;C:ADDR:A	1	Bearbeite; an der bezeichneten Stelle.	SELF_CONTAINED	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
11	chedaiir	CHD+IIN+R	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:Y	1	A:CHD+R;X:^Y;C:STAGE	1	Bearbeite den laufenden Eintrag [wie zuvor] und kennzeichne den laufenden Eintrag [wie zuvor]; auf der bezeichneten Stufe.	REQUIRES_ACTIVE_ARGUMENT	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
12	cheeo	CH+EE+O	1	1	f66r	SOURCE_SECTION_T	1	IA:NONE|IX:Y	1	A:CH;X:^Y;C:GRADE:II>EXEC	1	Entnimm den laufenden Eintrag [wie zuvor]; auf Grad II und zur Ausführung.	REQUIRES_ACTIVE_ARGUMENT	BASE_GDT548	NO	YES	YES	REINSERTED_EXACTLY__KNOWN_CONTEXT_ONLY
