nominal_ordinal	event_id	statement_id	card_ordinal_in_statement	statement_initial	physical_page	register	surface	final_recipe	resolved_argument_roots	nominal_fragment_kind	ordered_control_chain	current_default_reading_de	decision
1	G515-E0048	G515-S005	1	YES	f4r	HERBAL	daiin	AIIN	AIIN	ARGUMENT_OR_VALUE_FRAGMENT	NONE	Bezug: den Arbeitswert.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
2	G515-E0190	G515-S012	1	YES	f31r	HERBAL	qotedy	OT+E+DY	NONE	CLOSURE_FRAGMENT	THEN>GRADE:I>CLOSE	Danach: auf Grad I; schließe den Schritt.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
3	G515-E0221	G515-S022	1	YES	f31r	HERBAL	dar	D_ADDR+AR	NONE	RELATION_OR_ADDRESS_FRAGMENT	ADDR:D>REL:AR	Vom Ausgangsmaterial; an der bezeichneten Stelle.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
4	G515-E0240	G515-S024	1	YES	f31r	HERBAL	otedy	OT+E+DY	NONE	CLOSURE_FRAGMENT	THEN>GRADE:I>CLOSE	Danach: auf Grad I; schließe den Schritt.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
5	G515-E0335	G515-S038	1	YES	f66r	SOURCE_SECTION_T	dar	D_ADDR+AR	NONE	RELATION_OR_ADDRESS_FRAGMENT	ADDR:D>REL:AR	Von der Ausgangszeile; an der bezeichneten Stelle.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
6	G515-E0336	G515-S038	2	NO	f66r	SOURCE_SECTION_T	qotey	OT+E+Y	Y	ARGUMENT_OR_VALUE_FRAGMENT	THEN>GRADE:I	Danach: Bezug: den laufenden Eintrag; auf Grad I.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
7	G515-E0406	G515-S046	1	YES	f66r	SOURCE_SECTION_T	ol	OL	NONE	CONTINUATION_FRAGMENT	CONTINUE	Führe fort.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
8	G515-E0446	G515-S051	1	YES	f66r	SOURCE_SECTION_T	dal	AL	NONE	RELATION_OR_ADDRESS_FRAGMENT	REL:AL	Zur Zielspalte.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
9	G515-E0459	G515-S056	1	YES	f66r	SOURCE_SECTION_T	dair	D_ADDR+AIR	NONE	RELATION_OR_ADDRESS_FRAGMENT	ADDR:D>REL:AIR	Entlang der Lesebahn; an der bezeichneten Stelle.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
10	G515-E0491	G515-S059	1	YES	f66r	SOURCE_SECTION_T	daly	AL+Y	Y	ARGUMENT_OR_VALUE_FRAGMENT	REL:AL	Bezug: den laufenden Eintrag; zur Zielspalte.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
11	G515-E0497	G515-S060	1	YES	f66r	SOURCE_SECTION_T	dal	AL	NONE	RELATION_OR_ADDRESS_FRAGMENT	REL:AL	Zur Zielspalte.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
12	G515-E0503	G515-S061	1	YES	f66r	SOURCE_SECTION_T	oteedy	OT+EE+DY	NONE	CLOSURE_FRAGMENT	THEN>GRADE:II>CLOSE	Danach: auf Grad II; schließe den Schritt.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
13	G515-E0547	G515-S069	1	YES	f66r	SOURCE_SECTION_T	lchey	L+Y	Y	ARGUMENT_OR_VALUE_FRAGMENT	REL:L	Bezug: den laufenden Eintrag; über die Eintragsverbindung.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
14	G515-E0562	G515-S071	1	YES	f66r	SOURCE_SECTION_T	dor	D_ADDR+OR	OR	ARGUMENT_OR_VALUE_FRAGMENT	ADDR:D	Bezug: die Eintragseinheit; an der bezeichneten Stelle.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
15	G515-E0563	G515-S071	2	NO	f66r	SOURCE_SECTION_T	aiin	AIIN	AIIN	ARGUMENT_OR_VALUE_FRAGMENT	NONE	Bezug: den Kennwert.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
16	G515-E0579	G515-S077	1	YES	f66r	SOURCE_SECTION_T	daiin	AIIN	AIIN	ARGUMENT_OR_VALUE_FRAGMENT	NONE	Bezug: den Kennwert.	KEEP_NOMINAL_OR_CONTROL_READING__DO_NOT_INVENT_VERB
