metric	value	guard
status	PASS_78_STATEMENT_TEMPLATE_ATLAS__ZERO_EXACT_CONTEXT_CONTRADICTIONS	GDT554_REPLAYED_METRIC
physical_page_count	4	GDT554_REPLAYED_METRIC
register_count	2	GDT554_REPLAYED_METRIC
statement_count	78	GDT554_REPLAYED_METRIC
prose_event_count	546	GDT554_REPLAYED_METRIC
gdt553_target_surface_count	145	GDT554_REPLAYED_METRIC
gdt553_target_event_count	149	GDT554_REPLAYED_METRIC
gdt553_recipe_match_count	149	GDT554_REPLAYED_METRIC
gdt553_context_reading_match_count	149	GDT554_REPLAYED_METRIC
gdt553_repaired_target_event_count	23	GDT554_REPLAYED_METRIC
gdt553_multi_incoming_state_surface_count	1	GDT554_REPLAYED_METRIC
slot_transition_template_count	18	GDT554_REPLAYED_METRIC
cross_register_slot_transition_template_count	16	GDT554_REPLAYED_METRIC
event_template_count	243	GDT554_REPLAYED_METRIC
recurrent_event_template_count	71	GDT554_REPLAYED_METRIC
recurrent_event_template_event_count	370	GDT554_REPLAYED_METRIC
cross_register_recurrent_event_template_count	44	GDT554_REPLAYED_METRIC
recurrent_frame_count	12	GDT554_REPLAYED_METRIC
exact_portable_recurrent_frame_count	4	GDT554_REPLAYED_METRIC
abstract_recurrent_frame_count	8	GDT554_REPLAYED_METRIC
cross_page_recurrent_frame_count	9	GDT554_REPLAYED_METRIC
cross_register_recurrent_frame_count	6	GDT554_REPLAYED_METRIC
cross_register_exact_portable_frame_count	1	GDT554_REPLAYED_METRIC
longest_recurrent_frame_length	2	GDT554_REPLAYED_METRIC
recurrent_three_plus_frame_count	0	GDT554_REPLAYED_METRIC
repeated_context_family_count	142	GDT554_REPLAYED_METRIC
exact_context_contradiction_count	0	GDT554_REPLAYED_METRIC
nominal_fragment_count	16	GDT554_REPLAYED_METRIC
statement_initial_nominal_fragment_count	14	GDT554_REPLAYED_METRIC
exact_abstract_statement_peer_count	38	GDT554_REPLAYED_METRIC
recurrent_whole_statement_template_count	5	GDT554_REPLAYED_METRIC
abstract_whole_statement_template_count	69	GDT554_REPLAYED_METRIC
statements_in_recurrent_whole_template_count	14	GDT554_REPLAYED_METRIC
cross_page_whole_statement_template_count	2	GDT554_REPLAYED_METRIC
longest_recurrent_whole_statement_event_count	2	GDT554_REPLAYED_METRIC
new_pages	0	GDT554_REPLAYED_METRIC
new_recipes	0	GDT554_REPLAYED_METRIC
root_meaning_changes	0	GDT554_REPLAYED_METRIC
german_reading_changes	0	GDT554_REPLAYED_METRIC
