consistency_ordinal	family_type	exact_context_key	event_count	statement_count	physical_page_count	register_count	surface_count	recipe_variant_count	portable_macro_variant_count	german_clause_variant_count	surfaces	event_ids	portable_macro	status	guard
1	RECIPE_PLUS_INCOMING_STATE	CHD+Y|IA:NONE|IX:NONE	10	9	2	2	2	1	1	2	chdy|chedy	G515-E0183|G515-E0202|G515-E0245|G515-E0326|G515-E0330|G515-E0331|G515-E0402|G515-E0419|G515-E0483|G515-E0487	A:CHD;X:Y;C:-	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
2	RECIPE_PLUS_INCOMING_STATE	OK+Y|IA:NONE|IX:NONE	8	7	3	2	4	1	1	2	okchy|oky|qokchy|qoky	G515-E0085|G515-E0224|G515-E0369|G515-E0474|G515-E0477|G515-E0515|G515-E0528|G515-E0560	A:OK;X:Y;C:-	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
3	RECIPE_PLUS_INCOMING_STATE	AIIN|IA:S|IX:NONE	7	5	3	2	2	1	1	2	aiin|daiin	G515-E0115|G515-E0155|G515-E0163|G515-E0173|G515-E0194|G515-E0462|G515-E0463	A:^S;X:AIIN;C:-	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
4	RECIPE_PLUS_INCOMING_STATE	OK+E+DY|IA:NONE|IX:Y	7	7	2	2	2	1	1	2	okedy|qokedy	G515-E0189|G515-E0200|G515-E0234|G515-E0313|G515-E0345|G515-E0405|G515-E0546	A:OK;X:^Y;C:GRADE:I>CLOSE	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
5	RECIPE_PLUS_INCOMING_STATE	OK+E+O+D_ADDR+Y|IA:NONE|IX:NONE	7	6	2	2	2	1	1	2	okeody|qokeody	G515-E0208|G515-E0340|G515-E0341|G515-E0349|G515-E0361|G515-E0454|G515-E0499	A:OK;X:Y;C:GRADE:I>EXEC>ADDR:D	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
6	RECIPE_PLUS_INCOMING_STATE	CH+K+E+Y|IA:NONE|IX:NONE	6	6	2	2	2	1	1	2	chekey|cheky	G515-E0171|G515-E0250|G515-E0377|G515-E0397|G515-E0510|G515-E0519	A:CH+K;X:Y;C:GRADE:I	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
7	RECIPE_PLUS_INCOMING_STATE	CH+T+Y|IA:NONE|IX:NONE	6	5	3	1	2	1	1	1	checthy|cthy	G515-E0031|G515-E0046|G515-E0080|G515-E0118|G515-E0135|G515-E0210	A:CH+T;X:Y;C:-	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
8	RECIPE_PLUS_INCOMING_STATE	OK+E+DY|IA:NONE|IX:NONE	5	5	2	2	2	1	1	2	okedy|qokedy	G515-E0205|G515-E0217|G515-E0218|G515-E0219|G515-E0316	A:OK;X:-;C:GRADE:I>CLOSE	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
9	RECIPE_PLUS_INCOMING_STATE	OK+EE+Y|IA:NONE|IX:NONE	5	4	2	2	3	1	1	2	chokeey|okeey|qokeey	G515-E0166|G515-E0169|G515-E0351|G515-E0373|G515-E0509	A:OK;X:Y;C:GRADE:II	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
10	RECIPE_PLUS_INCOMING_STATE	SH+E+DY|IA:NONE|IX:NONE	5	5	2	2	1	1	1	2	shedy	G515-E0204|G515-E0436|G515-E0447|G515-E0457|G515-E0458	A:SH;X:-;C:GRADE:I>CLOSE	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
11	RECIPE_PLUS_INCOMING_STATE	SH+OL|IA:NONE|IX:OR	5	3	2	1	1	1	1	1	shol	G515-E0011|G515-E0012|G515-E0044|G515-E0045|G515-E0102	A:SH;X:^OR;C:CONTINUE	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
12	RECIPE_PLUS_INCOMING_STATE	SH+OR|IA:NONE|IX:NONE	5	5	3	2	1	1	1	2	shor	G515-E0043|G515-E0054|G515-E0103|G515-E0386|G515-E0444	A:SH;X:OR;C:-	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
13	RECIPE_PLUS_INCOMING_STATE	AIIN|IA:T|IX:NONE	4	3	2	1	1	1	1	1	daiin	G515-E0029|G515-E0041|G515-E0119|G515-E0143	A:^T;X:AIIN;C:-	CONSISTENT_PORTABLE_READING	REGISTER_WORDING_MAY_DIFFER__PORTABLE_MACRO_MAY_NOT
