template_ordinal	abstract_event_template	event_count	statement_count	physical_page_count	register_count	surface_count	portable_macro_variant_count	target_event_count	portable_macro_variants	example_event_ids	transfer_scope
1	KEEP_A1__SET_X1|X	44	19	4	2	9	19	0	A:^CH;X:AIIN;C:- || A:^CH;X:Y;C:- || A:^CHD;X:AIIN;C:- || A:^K;X:AIIN;C:- || A:^K;X:AIN;C:- || A:^K;X:Y;C:- || A:^OK;X:AIIN;C:- || A:^OK;X:Y;C:- || A:^P;X:Y;C:- || A:^R;X:AIIN;C:- || A:^R;X:Y;C:- || A:^S;X:AIIN;C:- || ...(+7)	G515-E0021|G515-E0024|G515-E0027|G515-E0029|G515-E0034|G515-E0041|G515-E0052|G515-E0063	CROSS_REGISTER
2	SET_A1__SET_X1|A>X	44	29	4	2	21	16	3	A:CH;X:AIIN;C:- || A:CH;X:OR;C:- || A:CHD;X:AIIN;C:- || A:CHD;X:Y;C:- || A:K;X:OR;C:- || A:K;X:Y;C:- || A:OK;X:AIIN;C:- || A:OK;X:OR;C:- || A:OK;X:Y;C:- || A:P;X:AIIN;C:- || A:R;X:AIIN;C:- || A:R;X:Y;C:- || ...(+4)	G515-E0008|G515-E0015|G515-E0022|G515-E0025|G515-E0030|G515-E0036|G515-E0043|G515-E0050	CROSS_REGISTER
3	SET_A2__SET_X1|A>A>X	15	11	4	2	11	8	2	A:CH+K;X:Y;C:- || A:CH+P;X:AIIN;C:- || A:CH+P;X:Y;C:- || A:CH+T;X:Y;C:- || A:OK+CHD;X:Y;C:- || A:OK+SH;X:Y;C:- || A:SH+K;X:Y;C:- || A:SH+OK;X:AIIN;C:-	G515-E0031|G515-E0046|G515-E0056|G515-E0074|G515-E0080|G515-E0118|G515-E0135|G515-E0140	CROSS_REGISTER
4	KEEP_A1__KEEP_X1|REL	13	11	3	2	6	11	0	A:^K;X:^AIIN;C:REL:AL || A:^K;X:^Y;C:REL:AR || A:^OK;X:^OR;C:REL:AL || A:^OK;X:^Y;C:REL:AL || A:^OK;X:^Y;C:REL:AR || A:^R;X:^Y;C:REL:AR || A:^S;X:^AIIN;C:REL:AL || A:^S;X:^Y;C:REL:AR || A:^SH;X:^OR;C:REL:AL || A:^SH;X:^Y;C:REL:AR || A:^SH;X:^Y;C:REL:L	G515-E0114|G515-E0127|G515-E0180|G515-E0195|G515-E0225|G515-E0338|G515-E0400|G515-E0429	CROSS_REGISTER
5	SET_A1__SET_X1|A>G1>EXEC>ADDR>X	13	11	3	2	5	4	4	A:K;X:Y;C:GRADE:I>EXEC>ADDR:D || A:OK;X:Y;C:GRADE:I>EXEC>ADDR:D || A:SH;X:AIIN;C:GRADE:I>EXEC>ADDR:D || A:SH;X:Y;C:GRADE:I>EXEC>ADDR:D	G515-E0133|G515-E0208|G515-E0340|G515-E0341|G515-E0349|G515-E0357|G515-E0361|G515-E0454	CROSS_REGISTER
6	SET_A1__KEEP_X1|A>G1>CLOSE	12	12	2	2	4	5	0	A:K;X:^Y;C:GRADE:I>CLOSE || A:OK;X:^Y;C:GRADE:I>CLOSE || A:SH;X:^AIIN;C:GRADE:I>CLOSE || A:SH;X:^OR;C:GRADE:I>CLOSE || A:SH;X:^Y;C:GRADE:I>CLOSE	G515-E0189|G515-E0200|G515-E0234|G515-E0313|G515-E0345|G515-E0401|G515-E0405|G515-E0434	CROSS_REGISTER
7	KEEP_A1__KEEP_X1|CONT	11	7	3	2	2	7	0	A:^CH;X:^AIIN;C:CONTINUE || A:^CH;X:^Y;C:CONTINUE || A:^K;X:^Y;C:CONTINUE || A:^OK;X:^Y;C:CONTINUE || A:^R;X:^Y;C:CONTINUE || A:^S;X:^Y;C:CONTINUE || A:^T;X:^Y;C:CONTINUE	G515-E0020|G515-E0078|G515-E0082|G515-E0136|G515-E0142|G515-E0149|G515-E0404|G515-E0475	CROSS_REGISTER
8	SET_A1__KEEP_X1|A>CONT	11	7	3	2	4	5	0	A:K;X:^Y;C:CONTINUE || A:OK;X:^Y;C:CONTINUE || A:SH;X:^AIIN;C:CONTINUE || A:SH;X:^OR;C:CONTINUE || A:SH;X:^Y;C:CONTINUE	G515-E0011|G515-E0012|G515-E0044|G515-E0045|G515-E0087|G515-E0088|G515-E0097|G515-E0102	CROSS_REGISTER
9	KEEP_A1__SET_X1|THEN>X	10	7	3	2	5	6	0	A:^CH;X:AIIN;C:THEN || A:^CH;X:Y;C:THEN || A:^P;X:Y;C:THEN || A:^SH;X:OR;C:THEN || A:^SH;X:Y;C:THEN || A:^T;X:Y;C:THEN	G515-E0023|G515-E0033|G515-E0039|G515-E0059|G515-E0084|G515-E0090|G515-E0093|G515-E0101	CROSS_REGISTER
10	SET_A1__EMPTY_X|A>G1>CLOSE	10	10	2	2	3	2	0	A:OK;X:-;C:GRADE:I>CLOSE || A:SH;X:-;C:GRADE:I>CLOSE	G515-E0204|G515-E0205|G515-E0217|G515-E0218|G515-E0219|G515-E0316|G515-E0436|G515-E0447	CROSS_REGISTER
11	SET_A1__SET_X1|A>G1>X	9	8	4	2	5	5	0	A:OK;X:OR;C:GRADE:I || A:OK;X:Y;C:GRADE:I || A:SH;X:OR;C:GRADE:I || A:SH;X:Y;C:GRADE:I || A:T;X:Y;C:GRADE:I	G515-E0058|G515-E0121|G515-E0184|G515-E0187|G515-E0431|G515-E0517|G515-E0532|G515-E0552	CROSS_REGISTER
12	SET_A1__SET_X1|A>G2>X	9	7	3	2	6	3	0	A:K;X:Y;C:GRADE:II || A:OK;X:Y;C:GRADE:II || A:SH;X:Y;C:GRADE:II	G515-E0005|G515-E0166|G515-E0169|G515-E0181|G515-E0229|G515-E0235|G515-E0351|G515-E0373	CROSS_REGISTER
13	SET_A1__KEEP_X1|A>G1>CONT	8	8	2	2	3	3	0	A:OK;X:^Y;C:GRADE:I>CONTINUE || A:SH;X:^AIIN;C:GRADE:I>CONTINUE || A:SH;X:^Y;C:GRADE:I>CONTINUE	G515-E0199|G515-E0214|G515-E0249|G515-E0355|G515-E0424|G515-E0488|G515-E0544|G515-E0571	CROSS_REGISTER
14	SET_A2__SET_X1|A>A>G1>X	8	7	3	2	4	3	1	A:CH+K;X:Y;C:GRADE:I || A:CH+T;X:Y;C:GRADE:I || A:OK+CH;X:Y;C:GRADE:I	G515-E0064|G515-E0171|G515-E0250|G515-E0377|G515-E0395|G515-E0397|G515-E0510|G515-E0519	CROSS_REGISTER
15	KEEP_A1__SET_X1|REL>X	7	6	1	1	5	6	0	A:^CH;X:Y;C:REL:AL || A:^K;X:Y;C:REL:AL || A:^K;X:Y;C:REL:L || A:^R;X:Y;C:REL:AL || A:^SH;X:AIIN;C:REL:L || A:^SH;X:OR;C:REL:L	G515-E0398|G515-E0430|G515-E0439|G515-E0442|G515-E0468|G515-E0573|G515-E0588	SAME_PAGE_RECURRENT
16	SET_A1__KEEP_X1|A	7	5	4	2	2	3	0	A:R;X:^Y;C:- || A:S;X:^AIIN;C:- || A:S;X:^Y;C:-	G515-E0016|G515-E0122|G515-E0131|G515-E0154|G515-E0172|G515-E0179|G515-E0541	CROSS_REGISTER
17	SET_A1__KEEP_X1|A>REL	6	5	2	2	5	4	0	A:K;X:^Y;C:REL:AL || A:OK;X:^Y;C:REL:AL || A:OK;X:^Y;C:REL:AR || A:S;X:^Y;C:REL:AIR	G515-E0170|G515-E0309|G515-E0312|G515-E0342|G515-E0494|G515-E0555	CROSS_REGISTER
18	SET_A3__SET_X1|A>A>A>X	6	6	3	2	4	4	1	A:CH+CH+P;X:Y;C:- || A:CH+CH+T;X:Y;C:- || A:SH+CH+T;X:Y;C:- || A:SH+T+CH;X:Y;C:-	G515-E0014|G515-E0089|G515-E0106|G515-E0378|G515-E0549|G515-E0584	CROSS_REGISTER
19	KEEP_A1__KEEP_X1|ADDR>REL	5	5	2	2	2	5	0	A:^CH;X:^Y;C:ADDR:D>REL:AIR || A:^CH;X:^Y;C:ADDR:D>REL:AR || A:^CHD;X:^AIIN;C:ADDR:D>REL:AR || A:^CHD;X:^Y;C:ADDR:D>REL:AR || A:^S;X:^Y;C:ADDR:D>REL:AR	G515-E0177|G515-E0237|G515-E0372|G515-E0420|G515-E0467	CROSS_REGISTER
20	SET_A1__KEEP_X1|A>EXEC	4	2	1	1	1	1	0	A:SH;X:^Y;C:EXEC	G515-E0086|G515-E0094|G515-E0117|G515-E0126	SAME_PAGE_RECURRENT
21	SET_A1__KEEP_X1|A>G1>EXEC>REL	4	4	3	2	2	2	0	A:CH;X:^Y;C:GRADE:I>EXEC>REL:L || A:SH;X:^OR;C:GRADE:I>EXEC>REL:AL	G515-E0077|G515-E0209|G515-E0387|G515-E0493	CROSS_REGISTER
22	EMPTY_A__EMPTY_X|ADDR>REL	3	3	2	2	2	2	0	A:-;X:-;C:ADDR:D>REL:AIR || A:-;X:-;C:ADDR:D>REL:AR	G515-E0221|G515-E0335|G515-E0459	CROSS_REGISTER
23	EMPTY_A__SET_X1|X	3	3	2	2	2	1	0	A:-;X:AIIN;C:-	G515-E0048|G515-E0563|G515-E0579	CROSS_REGISTER
