statement_id	page	record	selected_events	selected_surfaces	portable_sequence_de	learning_modes	full_working_reading_de
H1-S001	f10r	H1	1	chty	den Posten bearbeiten	COMPOSE_COMPONENTS	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten, aus der Quelle nehmen und bearbeiten; dazu Wasser entnehmen, danach den Posten bearbeiten, entnehmen und weiterfuehren, nach Sollmass ansetzen und kurz bearbeiten.
H2-S002	f10r	H2	1	cholor	mit dem Ansatz weiter	COMPOSE_COMPONENTS	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren weiteren Arbeitsschritten nach Sollmass aus der Quelle weiterfuehren.
H3-S003	f11r	H3	1	dchol	davon	MEMORIZE_WHOLE_CARD	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
H4-S003	f55v	H4	1	cheeky	den Posten laenger waermen	COMPOSE_COMPONENTS	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
H5-S002	f56r	H5	1	schol	davon	MEMORIZE_WHOLE_CARD	Bei der mehrkoepfigen stacheligen Pflanze: Davon, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.
B1-S002	f81v	B1	2	dl | olor	leiten | mit dem Ansatz weiter	COMPOSE_COMPONENTS | COMPOSE_COMPONENTS	Am gemeinsamen zweireihigen Becken: Nach Sollmass ansetzen und das laufende Wasser zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und leiten. Den Ansatz weiterarbeiten, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
B1-S006	f81v	B1	1	dl	leiten	COMPOSE_COMPONENTS	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann leiten; dann zur Zielstelle kuehlen.
B1-S012	f81v	B1	1	lshedy	kurz spuelen und schliessen	COMPOSE_COMPONENTS	Am gemeinsamen zweireihigen Becken: Im Arbeitsgang spuelen, den Posten kurz ansetzen, nochmals kurz spuelen und den Schritt schliessen.
B1-S013	f81v	B1	1	lshedy	kurz spuelen und schliessen	COMPOSE_COMPONENTS	Am gemeinsamen zweireihigen Becken: Kurz spuelen und den Schritt schliessen.
B1-S015	f81v	B1	1	okchedy	ansetzen, umsetzen und schliessen	COMPOSE_COMPONENTS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten kurz bearbeiten; dann ansetzen und umsetzen; den Schritt schliessen.
B1-S018	f81v	B1	1	oiiin	Arbeitsgang bis zur Stufe	COMPOSE_COMPONENTS	Am gemeinsamen zweireihigen Becken: Den laufenden Posten leiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Stufe; dann laenger sammeln; den Schritt schliessen.
B2-S005	f82r	B2	1	ldy	leiten und schliessen	COMPOSE_COMPONENTS	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass sammeln. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.
B3-S016	f83r	B3	1	qokchedy	ansetzen, umsetzen und schliessen	COMPOSE_COMPONENTS	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.
B3-S033	f83r	B3	1	ldy	leiten und schliessen	COMPOSE_COMPONENTS	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.
B3-S034	f83r	B3	2	soiiin | chety	Arbeitsgang bis zur Stufe | den Posten bearbeiten	COMPOSE_COMPONENTS | COMPOSE_COMPONENTS	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.
B4-S005	f83r	B4	1	dain	eine Portion	COMPOSE_COMPONENTS	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.
B4-S008	f83r	B4	1	cheeky	den Posten laenger waermen	COMPOSE_COMPONENTS	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.
B6-S001	f83r	B6	1	dain	eine Portion	COMPOSE_COMPONENTS	An der rechten S-Lauf-Nebenstation: Den Posten laenger sammeln, kurz zugeben, an der Zielstelle kuehlen, nach Sollmass weiterarbeiten, eine Portion nehmen und den Ansatz zur Zielstelle leiten.
