event_id	page	record	statement_id	exact_card_id	surface	component_recipe	portable_workshop_paraphrase_de	learning_mode
E004	f10r	H1	H1-S001	PROC004	chty	T+Y	den Posten bearbeiten	COMPOSE_COMPONENTS
E028	f10r	H2	H2-S002	PROC022	cholor	OL+OR	mit dem Ansatz weiter	COMPOSE_COMPONENTS
E047	f11r	H3	H3-S003	PROC034	dchol	RESUME_CARD	davon	MEMORIZE_WHOLE_CARD
E066	f55v	H4	H4-S003	PROC046	cheeky	CHK+EE+Y	den Posten laenger waermen	COMPOSE_COMPONENTS
E083	f56r	H5	H5-S002	PROC034	schol	RESUME_CARD	davon	MEMORIZE_WHOLE_CARD
E112	f81v	B1	B1-S002	PROC072	dl	L	leiten	COMPOSE_COMPONENTS
E113	f81v	B1	B1-S002	PROC022	olor	OL+OR	mit dem Ansatz weiter	COMPOSE_COMPONENTS
E129	f81v	B1	B1-S006	PROC072	dl	L	leiten	COMPOSE_COMPONENTS
E143	f81v	B1	B1-S012	PROC086	lshedy	LSH+E+DY	kurz spuelen und schliessen	COMPOSE_COMPONENTS
E144	f81v	B1	B1-S013	PROC086	lshedy	LSH+E+DY	kurz spuelen und schliessen	COMPOSE_COMPONENTS
E151	f81v	B1	B1-S015	PROC091	okchedy	OK+CHD+DY	ansetzen, umsetzen und schliessen	COMPOSE_COMPONENTS
E161	f81v	B1	B1-S018	PROC097	oiiin	O+IIN	Arbeitsgang bis zur Stufe	COMPOSE_COMPONENTS
E184	f82r	B2	B2-S005	PROC108	ldy	L+DY	leiten und schliessen	COMPOSE_COMPONENTS
E264	f83r	B3	B3-S016	PROC091	qokchedy	OK+CHD+DY	ansetzen, umsetzen und schliessen	COMPOSE_COMPONENTS
E308	f83r	B3	B3-S033	PROC108	ldy	L+DY	leiten und schliessen	COMPOSE_COMPONENTS
E309	f83r	B3	B3-S034	PROC097	soiiin	O+IIN	Arbeitsgang bis zur Stufe	COMPOSE_COMPONENTS
E311	f83r	B3	B3-S034	PROC004	chety	T+Y	den Posten bearbeiten	COMPOSE_COMPONENTS
E327	f83r	B4	B4-S005	PROC156	dain	AIN	eine Portion	COMPOSE_COMPONENTS
E333	f83r	B4	B4-S008	PROC046	cheeky	CHK+EE+Y	den Posten laenger waermen	COMPOSE_COMPONENTS
E379	f83r	B6	B6-S001	PROC156	dain	AIN	eine Portion	COMPOSE_COMPONENTS
