frequency_rank	exact_card_id	surfaces	component_recipe	literal_reading_de	portable_workshop_paraphrase_de	events	card_tier	learning_mode	page_specific_noun
31	PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · POSTEN	den Posten laenger waermen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
32	PROC004	chety|chty	T+Y	BEARBEITEN · POSTEN	den Posten bearbeiten	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
33	PROC022	cholor|olor	OL+OR	WEITER · ANSATZ	mit dem Ansatz weiter	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
34	PROC156	dain	AIN	PORTION	eine Portion	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
35	PROC034	dchol|schol	RESUME_CARD	DAVON	davon	2	MEMORIZED_WHOLE_ANAPHOR	MEMORIZE_WHOLE_CARD	NONE
36	PROC072	dl	L	LEITEN	leiten	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
37	PROC108	ldy	L+DY	LEITEN · SCHLUSS	leiten und schliessen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
38	PROC086	lshedy	LSH+E+DY	SPUELEN · KURZ · SCHLUSS	kurz spuelen und schliessen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
39	PROC097	oiiin|soiiin	O+IIN	ARBEITSGANG · STUFE	Arbeitsgang bis zur Stufe	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
40	PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	ansetzen, umsetzen und schliessen	2	FULLY_CORE33_RECIPE	COMPOSE_COMPONENTS	NONE
