statement_id	register	record_unit_id	page	owner_code	events	event_ids	reference_tokens_resolved	collapsed_adjacent_repetitions	raw_referent_reading_de	readable_workshop_statement_de	active_post_after_statement_de
H1-S001	HERBAL	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	10	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	6	0	Material dieser Pflanze kurz abziehen; Ansatz bereit; von laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze fuellen; Gefäß; Wasser abziehen; danach Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze fuellen und weiter abziehen; verwende entnommene Fraktion aus Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze; Mass; entnommene Fraktion aus Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze kurz fuellen.	Pflanzenmaterial kurz abziehen; Ansatz bereit; aus dem laufenden Pflanzenansatz; den laufenden Pflanzenansatz füllen; Gefäß; Wasser abziehen; danach Arbeitsflüssigkeit füllen und weiter abziehen; verwende abgezogene Flüssigkeitsfraktion; Maß; abgezogene Flüssigkeitsfraktion kurz füllen.	abgezogene Flüssigkeitsfraktion
H1-S002	HERBAL	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	4	E011|E012|E013|E014	1	0	entnommene Fraktion aus Laufflüssigkeit bei breitblättrige gezähnte Blütenpflanze ansetzen; danach weiter abziehen; fortsetzen; bereit.	Abgezogene Flüssigkeitsfraktion ansetzen; danach weiter abziehen; fortsetzen; bereit.	abgezogene Flüssigkeitsfraktion
H2-S001	HERBAL	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	9	E015|E016|E017|E018|E019|E020|E021|E022|E023	4	1	diesen Ansatz kurz abziehen; bereit; Ansatz; auf Maß bereitstellen; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze bereit weiterführen; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; Mass; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze.	Diesen Ansatz kurz abziehen; bereit; Ansatz; auf Maß bereitstellen; laufender Pflanzenansatz bereit weiterführen; 2× laufender Pflanzenansatz; Maß; laufender Pflanzenansatz.	laufender Pflanzenansatz
H2-S002	HERBAL	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	8	E024|E025|E026|E027|E028|E029|E030|E031	1	0	danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Mass; von laufender Ansatz bei breitblättrige gezähnte Blütenpflanze.	Danach Ansatz abziehen; Ansatz; danach fortsetzen; fortsetzen; weiterer Ansatz; fortsetzen; Maß; aus dem laufenden Pflanzenansatz.	laufender Pflanzenansatz
H2-S003	HERBAL	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	7	E032|E033|E034|E035|E036|E037|E038	3	1	laufender Ansatz bei breitblättrige gezähnte Blütenpflanze dem Ansatz zuführen; Ansatz; Ansatz; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; bis zur Sollstufe zuführen; laufender Ansatz bei breitblättrige gezähnte Blütenpflanze; auf Maß abziehen.	Laufender Pflanzenansatz dem Ansatz zuführen; 2× Ansatz; laufender Pflanzenansatz; bis zur Sollstufe zuführen; laufender Pflanzenansatz; auf Maß abziehen.	entnommene Fraktion des laufender Pflanzenansatz
H3-S001	HERBAL	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	7	E039|E040|E041|E042|E043|E044|E045	2	0	weiter gefuellt halten; an der Stelle halten; auswringen; Material dieser Pflanze bis zum Maß halten; Material dieser Pflanze hineinführen; Klarauszug; fuellen und abziehen; Schluss.	Weiter gefüllt halten; an der Stelle halten; auswringen; Pflanzenmaterial bis zum Maß halten; Pflanzenmaterial hineinführen; Klarauszug; füllen und abziehen; Schluss.	entnommene Fraktion des Ergebnisbestand
H3-S002	HERBAL	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	1	E046	1	0	entnommene Fraktion aus Ergebnisbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone halten und fuellen.	Fraktion des Ergebnisbestands halten und füllen.	entnommene Fraktion des Ergebnisbestand
H3-S003	HERBAL	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	5	E047|E048|E049|E050|E051	3	0	fortsetzen; entnommene Fraktion aus Ergebnisbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone; entnommene Fraktion aus Ergebnisbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone zuführen; entnommene Fraktion aus Ergebnisbestand bei dicht beblätterte Pflanze mit blauer Blütenkrone; Mass.	Fortsetzen; Fraktion des Ergebnisbestands; Fraktion des Ergebnisbestands zuführen; Fraktion des Ergebnisbestands; Maß.	entnommene Fraktion des Ergebnisbestand
H3-S004	HERBAL	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	4	E052|E053|E054|E055	1	0	nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten bei dicht beblätterte Pflanze mit blauer Blütenkrone.	Nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten.	nächster Arbeitsposten
H4-S001	HERBAL	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	5	E056|E057|E058|E059|E060	0	1	bemessen; Mass; eine Portion davon zuführen; eine Portion davon zuführen; Arbeitsgang abschließen.	Bemessen; Maß; 2× eine Portion davon zuführen; Arbeitsgang abschließen.	zweite Teilportion von Pflanzenmaterial
