old_specialist_token	surface_composition_shape	replacement_recipe	replacement_literal_de	withdrawn_portable_gloss_de	running_mentions	pages	registers	decision	reason_de
CTH	C<T>H	CH+T	NEHMEN + EINSTELLEN	BEREIT	88	f10r|f11r|f17r|f18r|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	RESEGMENT_INTO_EXISTING_CORES	eingeschobene T-Variante des C_H-Rahmens
CKH	C<K>H	CH+K	NEHMEN + GEBEN	DURCHLASS	104	f10r|f13r|f17r|f18r|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	RESEGMENT_INTO_EXISTING_CORES	eingeschobene K-Variante; lokaler Weg bleibt Besitzerlesung
CHEO	CH+E+O	CH+E+O	NEHMEN + GRAD I + AUSFÜHRUNG	AUSZUG	107	f10r|f17r|f55v|f56r|f67r2|f68r1|f71v|f72r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	RESEGMENT_INTO_EXISTING_CORES	lineare vorhandene Kerne; kein eigener Stoffstamm
CHK	CH+K	CH+K	NEHMEN + GEBEN	BEARBEITEN	46	f17r|f18r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	RESEGMENT_INTO_EXISTING_CORES	lineare CH/K-Folge; nicht mit C<K>H gleichsetzen
CPH	C<P>H	CH+P	NEHMEN + EINSETZEN	UMLEITEN	20	f11r|f17r|f56r|f68r1|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	RESEGMENT_INTO_EXISTING_CORES	eingeschobene P-Variante; Gegenstelle bleibt lokale Expansion
SHED	SH+E	SH+E	HALTEN + GRAD I	ABSETZEN	110	f75r|f76r|f77r|f81v|f82r|f83r|f88v|f89r	BIOLOGICAL|PHARMA	RESEGMENT_INTO_EXISTING_CORES	Grad-I-Halteform; DY schließt separat
SOLK	[S-renderer]+OL+K	OL+K	FORTSETZEN + GEBEN	AUFFANGEN	30	f75r|f76r|f77r|f81v|f82r|f83r|f88r|f89r	BIOLOGICAL|PHARMA	RESEGMENT_INTO_EXISTING_CORES	s ist bei den Rendererformen nicht semantisch erforderlich
LSH	L+SH	L+SH	VERBINDUNG + HALTEN	SPÜLEN	22	f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r	BIOLOGICAL|CELESTIAL|PHARMA	RESEGMENT_INTO_EXISTING_CORES	reguläre Kombination zweier vorhandener Kerne
CFH	C<F>H	CH+LOCAL_CHAR_F	NEHMEN + NEBENADRESSE	TRENNEN	5	f10r|f11r|f13r|f67r2|f76r	BIOLOGICAL|CELESTIAL|HERBAL	RESEGMENT_INTO_EXISTING_CORES	eingeschobene lokale F-Adresse; Trennen bleibt mögliche Ausführung
LD	L+D	L+D_ADDR	VERBINDUNG + TEILADRESSE	BEFESTIGEN	1	f83r	BIOLOGICAL	RESEGMENT_INTO_EXISTING_CORES	nur einmal in qokylddy; kein eigener portabler Stamm
