root_no	component	short_value_de	category	card_types	events_with_component	component_tokens	teaching_gloss_de
R01	OK	ANSETZEN	PROCESS_VERB	23	79	80	ansetzen
R02	CHD	UMSETZEN	PROCESS_VERB	22	48	48	umsetzen
R03	SH	HALTEN	PROCESS_VERB	20	25	25	halten
R04	SHED	ABSETZEN	PROCESS_VERB	3	15	15	absetzen
R05	CHK	WAERMEN	PROCESS_VERB	4	7	7	waermen
R06	CTH	BEREIT	PROCESS_STATE	8	15	15	bereit
R07	SOLK	AUFFANGEN	PROCESS_VERB	5	7	7	auffangen
R08	P	EINFUELLEN	PROCESS_VERB	3	3	3	einfuellen
R09	LSH	WASCHEN	PROCESS_VERB	2	3	3	waschen
R10	CFH	AUSWRINGEN	PROCESS_VERB	1	1	1	auswringen
R11	CH	ABNEHMEN	CONTROL_ACTION	15	16	16	abnehmen
R12	T	EINTRAGEN	CONTROL_ACTION	9	10	10	eintragen
R13	K	ZUDOSIEREN	CONTROL_ACTION	18	21	21	zudosieren
R14	S	TEILEN	CONTROL_ACTION	1	1	1	teilen
R15	L	WEITERLEITEN	DIRECTION_SEQUENCE	18	27	27	weiterleiten
R16	OL	FORTSETZEN	DIRECTION_SEQUENCE	25	48	48	fortsetzen
R17	OT	DANACH	DIRECTION_SEQUENCE	16	26	26	danach
R18	AL	ZIELSTELLE	ADDRESS	22	39	39	zielstelle
R19	AR	VORRAT	ADDRESS	10	14	14	vorrat
R20	AIR	FLUESSIGKEITSLAUF	MATERIAL_STATE	5	5	5	laufende Arbeitsfluessigkeit, nicht Quelladresse
R21	OR	ANSATZ	MATERIAL_STATE	10	18	18	ansatz
R22	HO	ZUTAT	MATERIAL_STATE	5	8	8	zutat
R23	CKH	DURCHLASS	WORK_OBJECT	9	14	14	durchlass
R24	O	ARBEITSGANG	WORK_OBJECT	18	19	19	arbeitsgang
R25	Y	ARBEITSPOSTEN	ITEM_REFERENCE	60	124	125	dieser aktuell gemeinte Posten; kein Schluss
R26	AIN	PORTION	QUANTITY	8	18	18	portion
R27	AIIN	SOLLMASS	QUANTITY	10	39	39	vorgeschriebenes Mass oder Sollwert
R28	IIN	ARBEITSSTUFE	QUANTITY_STAGE	3	4	4	Stufe des Arbeitsgangs, nicht Menge
R29	E	KURZ	GRADE	34	49	50	kurz
R30	EE	LANG	GRADE	17	40	40	lang
R31	EEE	VOLL	GRADE	2	2	2	voll
R32	R	KUEHLEN	PROCESS_MODIFIER	6	6	6	kuehlen
R33	AN	NACHPORTION	QUANTITY	1	1	1	nachportion
R34	DA	ZWEITMARKER	CONTROL_MARKER	1	1	1	zweitmarker
R35	LD	BEFESTIGEN	CONTROL_ACTION	1	1	1	befestigen
R36	DY	SCHLUSS	LICENSED_ENDPOINT	37	89	89	nur als lizenzierte exakte Endkonstruktion
R37	OS	ARBEITSFACH	MEMORIZED_WHOLE_COMMAND	1	1	1	arbeitsfach
R38	RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	1	2	2	wiederaufnehmen
R39	TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	1	1	1	verwahren
