card_no	surfaces	component_recipe	atomic_expansion_de	short_default_de	composition_mode	events	pages	records	event_ids
PROC001	dchey	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	ABNEHMEN · KURZ · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f10r	H1	E001
PROC002	cthoor	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	BEREIT · ARBEITSGANG · ANSATZ	PRODUCTIVE_COMPOSITION	1	f10r	H1	E002
PROC003	char|dar|sar	AR	VORRAT	VORRAT	PRODUCTIVE_COMPOSITION	5	f10r|f81v|f82r|f83r	B1|B2|B3|H1|H2	E003|E031|E105|E199|E238
PROC004	chety|chty	T+Y	EINTRAGEN · ARBEITSPOSTEN	EINTRAGEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	2	f10r|f83r	B3|H1	E004|E311
PROC005	os	OS	ARBEITSFACH	ARBEITSFACH	MEMORIZED_WHOLE_COMMAND	1	f10r	H1	E005
PROC006	chair	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	ABNEHMEN · FLUESSIGKEITSLAUF	PRODUCTIVE_COMPOSITION	1	f10r	H1	E006
PROC007	otytchol	OT+Y+T+CH+OL	DANACH · ARBEITSPOSTEN · EINTRAGEN · ABNEHMEN · FORTSETZEN	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN	PRODUCTIVE_COMPOSITION	1	f10r	H1	E007
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	10	f10r|f56r|f81v|f82r|f83r	B1|B2|B3|B4|H1|H5	E008|E081|E085|E140|E188|E195|E247|E251|E298|E323
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	SOLLMASS	PRODUCTIVE_COMPOSITION	20	f10r|f11r|f55v|f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|B6|H1|H2|H3|H4|H5	E009|E022|E030|E051|E057|E061|E068|E077|E100|E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377
PROC010	etyd	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	KURZ · EINTRAGEN · ARBEITSPOSTEN	PRODUCTIVE_COMPOSITION	1	f10r	H1	E010
