statement_id	page	record	events	surface_sequence	component_sequence	atomic_sequence_de	literal_commands_de	complete_workshop_paraphrase_de	closes
H1-S001	f10r	H1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN | BEREIT · ARBEITSGANG · ANSATZ | VORRAT | EINTRAGEN · ARBEITSPOSTEN | ARBEITSFACH | ABNEHMEN · FLUESSIGKEITSLAUF | DANACH · ARBEITSPOSTEN · EINTRAGEN · ABNEHMEN · FORTSETZEN | ANSETZEN · ARBEITSPOSTEN | SOLLMASS | KURZ · EINTRAGEN · ARBEITSPOSTEN	ABNEHMEN · KURZ · ARBEITSPOSTEN | BEREIT · ARBEITSGANG · ANSATZ | VORRAT | EINTRAGEN · ARBEITSPOSTEN | ARBEITSFACH | ABNEHMEN · FLUESSIGKEITSLAUF | DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN | ANSETZEN · ARBEITSPOSTEN | SOLLMASS | KURZ · EINTRAGEN · ARBEITSPOSTEN	Abnehmen kurz arbeitsposten; dann Bereit arbeitsgang ansatz; dann Vorrat; dann Eintragen arbeitsposten; dann Arbeitsfach; dann Abnehmen fluessigkeitslauf; dann Danach arbeitsposten eintragen abnehmen fortsetzen; dann Ansetzen arbeitsposten; dann Sollmass; dann Kurz eintragen arbeitsposten.	NO
H1-S002	f10r	H1	4	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	ANSETZEN · ARBEITSPOSTEN | DANACH · ABNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN | DANACH · ABNEHMEN · FORTSETZEN | FORTSETZEN | BEREIT · ARBEITSPOSTEN	Ansetzen arbeitsposten; dann Danach abnehmen fortsetzen; dann Fortsetzen; dann Bereit arbeitsposten.	NO
H2-S001	f10r	H2	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ | BEREIT · ARBEITSPOSTEN | ANSATZ | BEREIT · SOLLMASS | ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN | ARBEITSPOSTEN | ARBEITSPOSTEN | SOLLMASS | ARBEITSPOSTEN	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ | BEREIT · ARBEITSPOSTEN | ANSATZ | BEREIT · SOLLMASS | ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN | ARBEITSPOSTEN | ARBEITSPOSTEN | SOLLMASS | ARBEITSPOSTEN	Arbeitsposten abnehmen kurz ansatz; dann Bereit arbeitsposten; dann Ansatz; dann Bereit sollmass; dann Arbeitsgang bereit fortsetzen arbeitsposten; dann Arbeitsposten; dann Arbeitsposten; dann Sollmass; dann Arbeitsposten.	NO
H2-S002	f10r	H2	8	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	DANACH · ABNEHMEN · ANSATZ | ANSATZ | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ | FORTSETZEN | SOLLMASS | VORRAT	DANACH · ABNEHMEN · ANSATZ | ANSATZ | DANACH · FORTSETZEN | FORTSETZEN | FORTSETZEN · ANSATZ | FORTSETZEN | SOLLMASS | VORRAT	Danach abnehmen ansatz; dann Ansatz; dann Danach fortsetzen; dann Fortsetzen; dann Fortsetzen ansatz; dann Fortsetzen; dann Sollmass; dann Vorrat.	NO
H2-S003	f10r	H2	7	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ | ANSATZ | ANSATZ | ARBEITSPOSTEN | ZUDOSIEREN · ARBEITSSTUFE | ARBEITSPOSTEN | ABNEHMEN · ARBEITSGANG · SOLLMASS	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ | ANSATZ | ANSATZ | ARBEITSPOSTEN | ZUDOSIEREN · ARBEITSSTUFE | ARBEITSPOSTEN | ABNEHMEN · ARBEITSGANG · SOLLMASS	Arbeitsgang arbeitsposten zudosieren ansatz; dann Ansatz; dann Ansatz; dann Arbeitsposten; dann Zudosieren arbeitsstufe; dann Arbeitsposten; dann Abnehmen arbeitsgang sollmass.	NO
H3-S001	f11r	H3	7	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	EINTRAGEN · HALTEN · FORTSETZEN | HALTEN · ARBEITSGANG · ZIELSTELLE | AUSWRINGEN · ARBEITSPOSTEN | HALTEN · ARBEITSPOSTEN · SOLLMASS | EINFUELLEN · ARBEITSPOSTEN | HALTEN · LANG · ARBEITSPOSTEN | EINTRAGEN · ABNEHMEN · ARBEITSGANG · SCHLUSS	EINTRAGEN · HALTEN · FORTSETZEN | HALTEN · ARBEITSGANG · ZIELSTELLE | AUSWRINGEN · ARBEITSPOSTEN | HALTEN · ARBEITSPOSTEN · SOLLMASS | EINFUELLEN · ARBEITSPOSTEN | HALTEN · LANG · ARBEITSPOSTEN | EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	Eintragen halten fortsetzen; dann Halten arbeitsgang zielstelle; dann Auswringen arbeitsposten; dann Halten arbeitsposten sollmass; dann Einfuellen arbeitsposten; dann Halten lang arbeitsposten; dann Eintragen abnehmen arbeitsgang; schritt schliessen.	YES
H3-S002	f11r	H3	1	shoyty	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · ARBEITSPOSTEN · EINTRAGEN · ARBEITSPOSTEN	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	Arbeitsposten halten im arbeitsgang eintragen arbeitsposten.	NO
H3-S003	f11r	H3	5	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	WIEDERAUFNEHMEN | ARBEITSPOSTEN | ZUDOSIEREN · ARBEITSPOSTEN | ARBEITSPOSTEN | SOLLMASS	WIEDERAUFNEHMEN | ARBEITSPOSTEN | ZUDOSIEREN · ARBEITSPOSTEN | ARBEITSPOSTEN | SOLLMASS	Wiederaufnehmen; dann Arbeitsposten; dann Zudosieren arbeitsposten; dann Arbeitsposten; dann Sollmass.	NO
H3-S004	f11r	H3	4	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	DANACH · ARBEITSPOSTEN | ANSETZEN · FORTSETZEN | BEREIT · ARBEITSPOSTEN | ARBEITSPOSTEN	DANACH · ARBEITSPOSTEN | ANSETZEN · FORTSETZEN | BEREIT · ARBEITSPOSTEN | ARBEITSPOSTEN	Danach arbeitsposten; dann Ansetzen fortsetzen; dann Bereit arbeitsposten; dann Arbeitsposten.	NO
H4-S001	f55v	H4	5	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	ANSETZEN · SOLLMASS | SOLLMASS | ARBEITSPOSTEN · ZUDOSIEREN · PORTION | ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION | ARBEITSGANG · SCHLUSS	ANSETZEN · SOLLMASS | SOLLMASS | ARBEITSPOSTEN · ZUDOSIEREN · PORTION | ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION | ARBEITSGANG; SCHLUSS	Ansetzen sollmass; dann Sollmass; dann Arbeitsposten zudosieren portion; dann Arbeitsposten zudosieren nachportion; dann Arbeitsgang; schritt schliessen.	YES
H4-S002	f55v	H4	3	daiin chedy talam	AIIN | CHD+Y | TALAM	SOLLMASS | UMSETZEN · ARBEITSPOSTEN | VERWAHREN	SOLLMASS | UMSETZEN · ARBEITSPOSTEN | VERWAHREN	Sollmass; dann Umsetzen arbeitsposten; dann Verwahren.	NO
H4-S003	f55v	H4	4	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS | ABNEHMEN · KURZ · ARBEITSGANG · VORRAT | WAERMEN · LANG · ARBEITSPOSTEN | FORTSETZEN · SCHLUSS	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS | ABNEHMEN · KURZ · ARBEITSGANG · VORRAT | WAERMEN · LANG · ARBEITSPOSTEN | FORTSETZEN; SCHLUSS	Arbeitsposten zudosieren sollmass; dann Abnehmen kurz arbeitsgang vorrat; dann Waermen lang arbeitsposten; dann Fortsetzen; schritt schliessen.	YES
H4-S004	f55v	H4	6	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	SOLLMASS | ANSETZEN · ZIELSTELLE | FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN | ANSATZ | ARBEITSPOSTEN | ANSATZ · PORTION	SOLLMASS | ANSETZEN · ZIELSTELLE | FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN | ANSATZ | ARBEITSPOSTEN | ANSATZ · PORTION	Sollmass; dann Ansetzen zielstelle; dann Fortsetzen eintragen arbeitsposten; dann Ansatz; dann Arbeitsposten; dann Ansatz portion.	NO
