event_id	page	record	statement_id	surface	card_no	component_recipe	atomic_expansion_de	short_default_de
E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	ABNEHMEN · KURZ · ARBEITSPOSTEN	ABNEHMEN · KURZ · ARBEITSPOSTEN
E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	BEREIT · ARBEITSGANG · ANSATZ	BEREIT · ARBEITSGANG · ANSATZ
E003	f10r	H1	H1-S001	char	PROC003	AR	VORRAT	VORRAT
E004	f10r	H1	H1-S001	chty	PROC004	T+Y	EINTRAGEN · ARBEITSPOSTEN	EINTRAGEN · ARBEITSPOSTEN
E005	f10r	H1	H1-S001	os	PROC005	OS	ARBEITSFACH	ARBEITSFACH
E006	f10r	H1	H1-S001	chair	PROC006	CH+AIR	ABNEHMEN · FLUESSIGKEITSLAUF	ABNEHMEN · FLUESSIGKEITSLAUF
E007	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	DANACH · ARBEITSPOSTEN · EINTRAGEN · ABNEHMEN · FORTSETZEN	DANACH [ARBEITSPOSTEN EINTRAGEN · ABNEHMEN] FORTSETZEN
E008	f10r	H1	H1-S001	oky	PROC008	OK+Y	ANSETZEN · ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN
E009	f10r	H1	H1-S001	daiin	PROC009	AIIN	SOLLMASS	SOLLMASS
E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	KURZ · EINTRAGEN · ARBEITSPOSTEN	KURZ · EINTRAGEN · ARBEITSPOSTEN
E011	f10r	H1	H1-S002	qokchy	PROC011	OK+Y	ANSETZEN · ARBEITSPOSTEN	ANSETZEN · ARBEITSPOSTEN
E012	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	DANACH · ABNEHMEN · FORTSETZEN
E013	f10r	H1	H1-S002	chol	PROC013	OL	FORTSETZEN	FORTSETZEN
E014	f10r	H1	H1-S002	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	BEREIT · ARBEITSPOSTEN
E015	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ	ARBEITSPOSTEN · ABNEHMEN · KURZ · ANSATZ
E016	f10r	H2	H2-S001	cthy	PROC014	CTH+Y	BEREIT · ARBEITSPOSTEN	BEREIT · ARBEITSPOSTEN
E017	f10r	H2	H2-S001	chor	PROC016	OR	ANSATZ	ANSATZ
E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	BEREIT · SOLLMASS	BEREIT · SOLLMASS
E019	f10r	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN	ARBEITSGANG · BEREIT · FORTSETZEN · ARBEITSPOSTEN
E020	f10r	H2	H2-S001	dy	PROC019	Y	ARBEITSPOSTEN	ARBEITSPOSTEN
E021	f10r	H2	H2-S001	chy	PROC019	Y	ARBEITSPOSTEN	ARBEITSPOSTEN
E022	f10r	H2	H2-S001	taiin	PROC009	AIIN	SOLLMASS	SOLLMASS
E023	f10r	H2	H2-S001	shy	PROC019	Y	ARBEITSPOSTEN	ARBEITSPOSTEN
E024	f10r	H2	H2-S002	qotchor	PROC020	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	DANACH · ABNEHMEN · ANSATZ
E025	f10r	H2	H2-S002	chor	PROC016	OR	ANSATZ	ANSATZ
E026	f10r	H2	H2-S002	otol	PROC021	OT+OL	DANACH · FORTSETZEN	DANACH · FORTSETZEN
E027	f10r	H2	H2-S002	chol	PROC013	OL	FORTSETZEN	FORTSETZEN
E028	f10r	H2	H2-S002	cholor	PROC022	OL+OR	FORTSETZEN · ANSATZ	FORTSETZEN · ANSATZ
E029	f10r	H2	H2-S002	chol	PROC013	OL	FORTSETZEN	FORTSETZEN
E030	f10r	H2	H2-S002	daiin	PROC009	AIIN	SOLLMASS	SOLLMASS
E031	f10r	H2	H2-S002	dar	PROC003	AR	VORRAT	VORRAT
E032	f10r	H2	H2-S003	oykchor	PROC023	O+Y+K+OR	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ	ARBEITSGANG · ARBEITSPOSTEN · ZUDOSIEREN · ANSATZ
E033	f10r	H2	H2-S003	shor	PROC016	OR	ANSATZ	ANSATZ
E034	f10r	H2	H2-S003	chor	PROC016	OR	ANSATZ	ANSATZ
E035	f10r	H2	H2-S003	chy	PROC019	Y	ARBEITSPOSTEN	ARBEITSPOSTEN
E036	f10r	H2	H2-S003	kaiiin	PROC024	K+IIN	ZUDOSIEREN · ARBEITSSTUFE	ZUDOSIEREN · ARBEITSSTUFE
E037	f10r	H2	H2-S003	dy	PROC019	Y	ARBEITSPOSTEN	ARBEITSPOSTEN
E038	f10r	H2	H2-S003	chodaiin	PROC025	CH+O+AIIN	ABNEHMEN · ARBEITSGANG · SOLLMASS	ABNEHMEN · ARBEITSGANG · SOLLMASS
E039	f11r	H3	H3-S001	tshol	PROC026	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	EINTRAGEN · HALTEN · FORTSETZEN
