record	page	statements	events	continuous_surface	continuous_workshop_reading_de
H1	f10r	2	14	dchey cthoor char chty os chair otytchol oky daiin etyd || qokchy qotchol chol cthy	[H1-S001] Abnehmen kurz arbeitsposten; dann Bereit arbeitsgang ansatz; dann Vorrat; dann Eintragen arbeitsposten; dann Arbeitsfach; dann Abnehmen fluessigkeitslauf; dann Danach arbeitsposten eintragen abnehmen fortsetzen; dann Ansetzen arbeitsposten; dann Sollmass; dann Kurz eintragen arbeitsposten. [H1-S002] Ansetzen arbeitsposten; dann Danach abnehmen fortsetzen; dann Fortsetzen; dann Bereit arbeitsposten.
H2	f10r	3	24	ycheor cthy chor cthaiin qoctholy dy chy taiin shy || qotchor chor otol chol cholor chol daiin dar || oykchor shor chor chy kaiiin dy chodaiin	[H2-S001] Arbeitsposten abnehmen kurz ansatz; dann Bereit arbeitsposten; dann Ansatz; dann Bereit sollmass; dann Arbeitsgang bereit fortsetzen arbeitsposten; dann Arbeitsposten; dann Arbeitsposten; dann Sollmass; dann Arbeitsposten. [H2-S002] Danach abnehmen ansatz; dann Ansatz; dann Danach fortsetzen; dann Fortsetzen; dann Fortsetzen ansatz; dann Fortsetzen; dann Sollmass; dann Vorrat. [H2-S003] Arbeitsgang arbeitsposten zudosieren ansatz; dann Ansatz; dann Ansatz; dann Arbeitsposten; dann Zudosieren arbeitsstufe; dann Arbeitsposten; dann Abnehmen arbeitsgang sollmass.
H3	f11r	4	17	tshol schoal cfhy shfydaiin cphy shey tchody || shoyty || dchol chy kchy dy daiin || qotchy okchol cthy dy	[H3-S001] Eintragen halten fortsetzen; dann Halten arbeitsgang zielstelle; dann Auswringen arbeitsposten; dann Halten arbeitsposten sollmass; dann Einfuellen arbeitsposten; dann Halten lang arbeitsposten; dann Eintragen abnehmen arbeitsgang; schritt schliessen. [H3-S002] Arbeitsposten halten im arbeitsgang eintragen arbeitsposten. [H3-S003] Wiederaufnehmen; dann Arbeitsposten; dann Zudosieren arbeitsposten; dann Arbeitsposten; dann Sollmass. [H3-S004] Danach arbeitsposten; dann Ansetzen fortsetzen; dann Bereit arbeitsposten; dann Arbeitsposten.
H4	f55v	4	18	qokaiin chaiin ykain ykan ody || daiin chedy talam || ykaiin cheoar cheeky oldy || aiin okal oltchy or y orain	[H4-S001] Ansetzen sollmass; dann Sollmass; dann Arbeitsposten zudosieren portion; dann Arbeitsposten zudosieren nachportion; dann Arbeitsgang; schritt schliessen. [H4-S002] Sollmass; dann Umsetzen arbeitsposten; dann Verwahren. [H4-S003] Arbeitsposten zudosieren sollmass; dann Abnehmen kurz arbeitsgang vorrat; dann Waermen lang arbeitsposten; dann Fortsetzen; schritt schliessen. [H4-S004] Sollmass; dann Ansetzen zielstelle; dann Fortsetzen eintragen arbeitsposten; dann Ansatz; dann Arbeitsposten; dann Ansatz portion.
H5	f56r	6	27	chochor cho chodaly daiin sho kchol otchor choky dal || schol choy choky cheeckhody || sh cho kchey qokokchy || okchy chokcheo kchal || sho chokchy kchoar sotodan || otchey keol daiin	[H5-S001] Zutat abnehmen ansatz; dann Zutat; dann Zutat zielstelle arbeitsposten; dann Sollmass; dann Zutat; dann Zudosieren fortsetzen; dann Danach abnehmen ansatz; dann Ansetzen arbeitsposten; dann Zielstelle. [H5-S002] Wiederaufnehmen; dann Zutat arbeitsposten; dann Ansetzen arbeitsposten; dann Abnehmen lang durchlasskanal arbeitsgang; schritt schliessen. [H5-S003] Halten; dann Zutat; dann Zudosieren kurz arbeitsposten; dann Ansetzen ansetzen arbeitsposten. [H5-S004] Ansetzen arbeitsposten; dann Ansetzen abnehmen kurz arbeitsgang; dann Zudosieren zielstelle. [H5-S005] Zutat; dann Ansetzen arbeitsposten; dann Zudosieren zutat vorrat; dann Danach arbeitsgang portion. [H5-S006] Danach arbeitsposten; dann Zudosieren kurz fortsetzen; dann Sollmass.
B1	f81v	21	66	qokedy || okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy || qol sshkchdy || chedy ol shedy || qolchedy || qokain shckhy dl ral || qokchdy || chey ol cheky ol shedy || qokedy || qokedy || chckhy qoky || lsho qokey lshedy || lshedy || chedy qolky lchedal qol otar || ytey okchedy || qokal okeey qol cheedy || sal teol dchdy || ly dsheol oiiin olkeedy || tedy || cheky shckhedy || chal	[B1-S001] Ansetzen kurz; schritt schliessen. [B1-S002] Ansetzen sollmass; dann Zudosieren fluessigkeitslauf; dann Ansetzen zielstelle; dann Vorrat; dann Fortsetzen; dann Zudosieren portion; dann Fortsetzen zudosieren portion; dann Zielstelle; dann Fortsetzen; dann Kuehlen fortsetzen; dann Weiterleiten; dann Fortsetzen ansatz; dann Fortsetzen; dann Halten kurz durchlasskanal zielstelle; dann Sollmass; dann Ansetzen lang zielstelle; dann Sollmass; dann Durchlasskanal arbeitsposten; dann Umsetzen; schritt schliessen. [B1-S003] Fortsetzen; dann Halten zudosieren umsetzen; schritt schliessen. [B1-S004] Umsetzen arbeitsposten; dann Fortsetzen; dann Absetzen; schritt schliessen. [B1-S005] Fortsetzen umsetzen; schritt schliessen. [B1-S006] Ansetzen portion; dann Durchlasskanal arbeitsposten; dann Weiterleiten; dann Kuehlen zielstelle. [B1-S007] Ansetzen umsetzen; schritt schliessen. [B1-S008] Arbeitsposten; dann Fortsetzen; dann Waermen kurz arbeitsposten; dann Fortsetzen; dann Absetzen; schritt schliessen. [B1-S009] Ansetzen kurz; schritt schliessen. [B1-S010] Ansetzen kurz; schritt schliessen. [B1-S011] Durchlasskanal arbeitsposten; dann Ansetzen arbeitsposten. [B1-S012] Waschen arbeitsgang; dann Ansetzen kurz arbeitsposten; dann Waschen kurz; schritt schliessen. [B1-S013] Waschen kurz; schritt schliessen. [B1-S014] Umsetzen arbeitsposten; dann Auffangen arbeitsposten; dann Weiterleiten umsetzen zielstelle; dann Fortsetzen; dann Danach vorrat. [B1-S015] Eintragen kurz arbeitsposten; dann Ansetzen umsetzen; schritt schliessen. [B1-S016] Ansetzen zielstelle; dann Ansetzen lang arbeitsposten; dann Fortsetzen; dann Absetzen; schritt schliessen. [B1-S017] Zielstelle; dann Kurz fortsetzen; dann Umsetzen; schritt schliessen. [B1-S018] Weiterleiten arbeitsposten; dann Halten kurz fortsetzen; dann Arbeitsgang arbeitsstufe; dann Auffangen lang; schritt schliessen. [B1-S019] Absetzen; schritt schliessen. [B1-S020] Waermen kurz arbeitsposten; dann Halten durchlasskanal kurz; schritt schliessen. [B1-S021] Zielstelle.
B2	f82r	22	62	dchedy || qolchedy || qokain dy qokeedy || qokal lcheckhy lched qokeey lcheckhedy || qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy || oteey qokal sheckhy qoky || dshedy || sotaiin qokar shedy || solshedy || qokeey qoky ls cheey || okain char okain qokeedy || lchy cheey qcthey qokeey lcheey daiin chey qokeeedy || lchedy || lar || tshey qokeedy || cheal lchedar ches aiin oteey qokaiin okey pchedy || rsheal daldy || qokeedy || rshedy || qoteedy || qokeedy || lochedy	[B2-S001] Umsetzen; schritt schliessen. [B2-S002] Fortsetzen umsetzen; schritt schliessen. [B2-S003] Ansetzen portion; dann Arbeitsposten; dann Ansetzen lang; schritt schliessen. [B2-S004] Ansetzen zielstelle; dann Weiterleiten durchlasskanal arbeitsposten; dann Weiterleiten umsetzen; dann Ansetzen lang arbeitsposten; dann Weiterleiten durchlasskanal kurz; schritt schliessen. [B2-S005] Ansetzen zielstelle arbeitsposten; dann Auffangen sollmass; dann Durchlasskanal arbeitsposten; dann Ansetzen sollmass; dann Ansetzen sollmass; dann Arbeitsgang bereit kurz fortsetzen; dann Waermen lang arbeitsposten; dann Weiterleiten; schritt schliessen. [B2-S006] Danach lang arbeitsposten; dann Ansetzen zielstelle; dann Halten kurz durchlasskanal arbeitsposten; dann Ansetzen arbeitsposten. [B2-S007] Halten kurz; schritt schliessen. [B2-S008] Danach sollmass; dann Ansetzen vorrat; dann Absetzen; schritt schliessen. [B2-S009] Fortsetzen halten kurz; schritt schliessen. [B2-S010] Ansetzen lang arbeitsposten; dann Ansetzen arbeitsposten; dann Fortsetzen; dann Halten lang arbeitsposten. [B2-S011] Ansetzen portion; dann Vorrat; dann Ansetzen portion; dann Ansetzen lang; schritt schliessen. [B2-S012] Weiterleiten abnehmen arbeitsposten; dann Halten lang arbeitsposten; dann Bereit kurz arbeitsposten; dann Ansetzen lang arbeitsposten; dann Weiterleiten lang arbeitsposten; dann Sollmass; dann Arbeitsposten; dann Ansetzen voll; schritt schliessen. [B2-S013] Weiterleiten umsetzen; schritt schliessen. [B2-S014] Weiterleiten vorrat. [B2-S015] Halten kurz arbeitsposten; dann Ansetzen lang; schritt schliessen. [B2-S016] Zielstelle; dann Weiterleiten umsetzen vorrat; dann Abnehmen kurz teilen; dann Sollmass; dann Danach lang arbeitsposten; dann Ansetzen sollmass; dann Ansetzen kurz arbeitsposten; dann Einfuellen umsetzen; schritt schliessen. [B2-S017] Kuehlen halten kurz zielstelle; dann Zielstelle; schritt schliessen. [B2-S018] Ansetzen lang; schritt schliessen. [B2-S019] Kuehlen absetzen; schritt schliessen. [B2-S020] Danach lang; schritt schliessen. [B2-S021] Ansetzen lang; schritt schliessen. [B2-S022] Weiterleiten arbeitsgang umsetzen; schritt schliessen.
B3	f83r	34	86	olkeedy || qotal chkeedy || chey daiin chey lchedy || qokaiin qotal dar || schedy || chedchy qokal olchedy || qokaiin chedy qokeedy || lchedy || qoky || pchedal otedy || shecthedchy qoky chedy chary || sor shedy || qokaiin chkain shcthey qokedy || okair sheedy || lchedy || lo qokchedy || qokeedy || shedy || qokshedy || dal lchedy || qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy || qotchedy || lchedy || tchedy || qokchdy || cheedar chldaiin chedy qokain checthy chealror solkeedy || qoteedy || qokeey qokedy || sol cheeety qokedy || qoky saiin schedair otchedy || qokeedy || chedain chedy qotedaiin otaiin otedy || ldy || soiiin checthy chety otaiin olsaly shedy	[B3-S001] Auffangen lang; schritt schliessen. [B3-S002] Danach zielstelle; dann Waermen lang; schritt schliessen. [B3-S003] Arbeitsposten; dann Sollmass; dann Arbeitsposten; dann Weiterleiten umsetzen; schritt schliessen. [B3-S004] Ansetzen sollmass; dann Danach zielstelle; dann Vorrat. [B3-S005] Umsetzen; schritt schliessen. [B3-S006] Umsetzen arbeitsposten; dann Ansetzen zielstelle; dann Fortsetzen umsetzen; schritt schliessen. [B3-S007] Ansetzen sollmass; dann Umsetzen arbeitsposten; dann Ansetzen lang; schritt schliessen. [B3-S008] Weiterleiten umsetzen; schritt schliessen. [B3-S009] Ansetzen arbeitsposten. [B3-S010] Einfuellen umsetzen zielstelle; dann Danach kurz; schritt schliessen. [B3-S011] Halten kurz bis bereit; umsetzen arbeitsposten; dann Ansetzen arbeitsposten; dann Umsetzen arbeitsposten; dann Vorrat arbeitsposten. [B3-S012] Ansatz; dann Absetzen; schritt schliessen. [B3-S013] Ansetzen sollmass; dann Zudosieren portion; dann Bereit kurz arbeitsposten; dann Ansetzen kurz; schritt schliessen. [B3-S014] Ansetzen fluessigkeitslauf; dann Halten lang; schritt schliessen. [B3-S015] Weiterleiten umsetzen; schritt schliessen. [B3-S016] Weiterleiten arbeitsgang; dann Ansetzen umsetzen; schritt schliessen. [B3-S017] Ansetzen lang; schritt schliessen. [B3-S018] Absetzen; schritt schliessen. [B3-S019] Ansetzen halten kurz; schritt schliessen. [B3-S020] Zielstelle; dann Weiterleiten umsetzen; schritt schliessen. [B3-S021] Ansetzen sollmass; dann Bereit arbeitsposten; dann Zielstelle; dann Arbeitsposten; dann Sollmass; dann Absetzen zielstelle; dann Halten kurz bereit arbeitsposten; dann Arbeitsposten; dann Zielstelle; dann Bereit arbeitsposten; dann Zielstelle umsetzen; schritt schliessen. [B3-S022] Danach umsetzen; schritt schliessen. [B3-S023] Weiterleiten umsetzen; schritt schliessen. [B3-S024] Umsetzen; schritt schliessen. [B3-S025] Ansetzen umsetzen; schritt schliessen. [B3-S026] Lang vorrat; dann Weiterleiten sollmass; dann Umsetzen arbeitsposten; dann Ansetzen portion; dann Bereit arbeitsposten; dann Zielstelle kuehlen ansatz; dann Auffangen lang; schritt schliessen. [B3-S027] Danach lang; schritt schliessen. [B3-S028] Ansetzen lang arbeitsposten; dann Ansetzen kurz; schritt schliessen. [B3-S029] Fortsetzen; dann Voll eintragen arbeitsposten; dann Ansetzen kurz; schritt schliessen. [B3-S030] Ansetzen arbeitsposten; dann Sollmass; dann Umsetzen fluessigkeitslauf; dann Danach umsetzen; schritt schliessen. [B3-S031] Ansetzen lang; schritt schliessen. [B3-S032] Umsetzen portion; dann Umsetzen arbeitsposten; dann Danach kurz sollmass; dann Danach sollmass; dann Danach kurz; schritt schliessen. [B3-S033] Weiterleiten; schritt schliessen. [B3-S034] Arbeitsgang arbeitsstufe; dann Bereit arbeitsposten; dann Eintragen arbeitsposten; dann Danach sollmass; dann Fortsetzen zielstelle arbeitsposten; dann Absetzen; schritt schliessen.
B4	f83r	16	47	qokeedy || qolchey qokeey qokedy || chedy otal otchey qokeey qoky tol shedy || qokylddy || dain chedy qokeedy || shckhedy || shckhedy || saiin cheeky sheey qokedy || shedy || oldy || saiin cheky okeeol okain chdy sol lkedy || lchedy || qokol shedy || or chey qockhey dairydy || qokain shey kain chckhal solkey lchedy || qolkain dal skar shedy	[B4-S001] Ansetzen lang; schritt schliessen. [B4-S002] Fortsetzen arbeitsposten; dann Ansetzen lang arbeitsposten; dann Ansetzen kurz; schritt schliessen. [B4-S003] Umsetzen arbeitsposten; dann Danach zielstelle; dann Danach arbeitsposten; dann Ansetzen lang arbeitsposten; dann Ansetzen arbeitsposten; dann Fortsetzen; dann Absetzen; schritt schliessen. [B4-S004] Ansetzen arbeitsposten befestigen; schritt schliessen. [B4-S005] Portion; dann Umsetzen arbeitsposten; dann Ansetzen lang; schritt schliessen. [B4-S006] Halten durchlasskanal kurz; schritt schliessen. [B4-S007] Halten durchlasskanal kurz; schritt schliessen. [B4-S008] Sollmass; dann Waermen lang arbeitsposten; dann Halten lang arbeitsposten; dann Ansetzen kurz; schritt schliessen. [B4-S009] Absetzen; schritt schliessen. [B4-S010] Fortsetzen; schritt schliessen. [B4-S011] Sollmass; dann Waermen kurz arbeitsposten; dann Ansetzen lang fortsetzen; dann Ansetzen portion; dann Umsetzen arbeitsposten; dann Fortsetzen; dann Weiterleiten zudosieren kurz; schritt schliessen. [B4-S012] Weiterleiten umsetzen; schritt schliessen. [B4-S013] Ansetzen fortsetzen; dann Absetzen; schritt schliessen. [B4-S014] Ansatz; dann Arbeitsposten; dann Arbeitsgang durchlasskanal kurz arbeitsposten; dann Fluessigkeitslauf arbeitsposten; schritt schliessen. [B4-S015] Ansetzen portion; dann Halten lang arbeitsposten; dann Zudosieren portion; dann Abnehmen durchlasskanal zielstelle; dann Auffangen kurz arbeitsposten; dann Weiterleiten umsetzen; schritt schliessen. [B4-S016] Fortsetzen zudosieren portion; dann Zielstelle; dann Zudosieren vorrat; dann Absetzen; schritt schliessen.
B5	f83r	3	11	otchdy || qokchdy || shedal dal cheol lol chdal aiin sol daiiin chedy	[B5-S001] Danach umsetzen; schritt schliessen. [B5-S002] Ansetzen umsetzen; schritt schliessen. [B5-S003] Absetzen zielstelle; dann Zielstelle; dann Fortsetzen; dann Weiterleiten fortsetzen; dann Umsetzen zielstelle; dann Sollmass; dann Fortsetzen; dann Zweitmarker arbeitsstufe; dann Umsetzen arbeitsposten.
