sense_check_ordinal	event_id	physical_page	register	surface	recipe	gdt581_structural_clause_de	gdt582_concrete_clause_de	manual_house_sense_disposition	manual_note	guard
1	G407-E0063	f1r	SOURCE_SECTION_T	chor	CH+OR	Entnimm die Eintragseinheit.	Entnimm: Ansatz.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
2	G407-E0102	f1r	SOURCE_SECTION_T	chdy	CHD+Y	Bearbeite den laufenden Eintrag.	Bearbeite: Arbeitsgut.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
3	G515-E0385	f66r	SOURCE_SECTION_T	dard	D_ADDR+AR+D_ADDR	Bezug auf das fortgeführte Kennzeichnen [G515-E0383@4:R]: an der D-Stelle im äußeren Zweig [RUNNING:G515-E0385@1:D_ADDR]. Bezug auf das fortgeführte Eintragen [G515-E0383@2:OK]: von der Ausgangszeile [G515-A00362:G515-E0385@2:AR#1]. Bezug auf das fortgeführte Kennzeichnen [G515-E0383@4:R]: an der D-Stelle im inneren Zweig [RUNNING:G515-E0385@3:D_ADDR].	beim Kennzeichnen oder Prüfen [ACTION:G515-E0383@4:R]: an der Arbeitsstelle, an der Arbeitsstelle; beim Ansetzen [ACTION:G515-E0383@2:OK]: von der Quelle oder aus dem Ausgangsgefäß.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
4	G515-E0379	f66r	SOURCE_SECTION_T	dalalshedy	AL+AL+SH+E+DY	Beim vorangehenden Festlegen: zur Zielspalte; dieselbe Zielangabe nochmals. Halte denselben laufenden Eintrag fest; auf Grad I; schließe den Schritt.	beim Einstellen oder Temperieren [ACTION:G515-E0378@3:T]: zur Zielstelle oder ins Zielgefäß, zur Zielstelle oder ins Zielgefäß; Lass ruhen: auf Grad I; im Steuerrahmen [CONTROL:G515-E0379@5:DY]: Arbeitsgang abschließen.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
5	G407-E0103	f1r	SOURCE_SECTION_T	okain	OK+AIN	Trage den Teilwert ein.	Setze an: Portion.	KEEP_REGISTER_HYBRID	operatorisches Arbeitsgut bleibt konkret ohne Stoffzwang	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
6	G407-E0230	f10r	HERBAL	oky	OK+Y	Setze den Pflanzenposten im Arbeitsgang an.	Setze den Pflanzenansatz an: Pflanzencharge.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
7	G407-E0336	f11r	HERBAL	kchy	K+Y	Gib den Pflanzenposten zu.	Gib zu: Pflanzencharge.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
8	G407-E0235	f10r	HERBAL	tchy	T+Y	Stelle den Pflanzenposten ein.	Stelle ein oder temperiere: Pflanzencharge.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
9	G407-E0248	f10r	HERBAL	ckhy	CH+K+Y	Nimm den Pflanzenposten und gib ihn zu.	Entnimm oder ziehe aus; Gib zu: Pflanzencharge.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
10	G407-E0226	f10r	HERBAL	chty	CH+T+Y	Nimm den Pflanzenposten und stelle ihn ein.	Entnimm oder ziehe aus; Stelle ein oder temperiere: Pflanzencharge.	KEEP_REGISTER_HYBRID	Pflanzencharge konkret; Teil oder Art kommt aus Besitzer oder gelerntem Namen	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
11	G407-E0930	f67r2	CELESTIAL	sodar	S+O+DA+R	Wähle denselben Sektoranteil und markiere ihn; als Ausführung und auf der zweiten Stufe.	Wähle aus: in Eintragsform; Markiere: im zweiten Durchgang.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
12	G407-E0953	f67r2	CELESTIAL	giin	LOCAL_CHAR_G+IIN	Im laufenden Gang setze denselben Positionswert; auf der bezeichneten Stufe; mit der g-Variante.	im Rahmen [OWNER_DEFAULT:zwei getrennte Himmelsräder und Tabelle:OK]: bei der g-Marke, auf der Feinstufe.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
13	G407-E0966	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; beim Einstellen: als Ausführung; beim Einstellen: auf Grad I; beim Einsetzen: ebenfalls als Ausführung; beim Aufnehmen: ebenfalls auf Grad I.	Stelle ein: Ringposition, in Eintragsform, auf Ringstufe I; Setze ein: in Eintragsform; Lies ab: auf Ringstufe I, Ringposition.	KEEP_REGISTER_HYBRID	Positions- und Tabellenrealisierung verhindert erzwungene Stoffwörter	FIVE_EVENTS_PER_REGISTER__ALL_SLOTS_VISIBLE_IN_EXACT_TRACE
