realization_ordinal	realization_id	root	register	function_family	invariant_core_concept	concrete_default_de	realization_source	slot_count	physical_page_count	owner_count	status	guard
1	GDT582-F001	AIIN	BIOLOGICAL	OBJECT	MEASURE_OR_VALUE	Stations- oder Badmaß	REGISTER_REALIZATION	165	7	20	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
2	GDT582-F002	AIIN	CELESTIAL	OBJECT	MEASURE_OR_VALUE	Positionswert	REGISTER_REALIZATION	110	6	24	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
3	GDT582-F003	AIIN	HERBAL	OBJECT	MEASURE_OR_VALUE	Pflanzenauszug oder Arbeitsmaß	REGISTER_REALIZATION	137	12	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
4	GDT582-F004	AIIN	PHARMA	OBJECT	MEASURE_OR_VALUE	Dosis- oder Mengenmaß	REGISTER_REALIZATION	76	3	12	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
5	GDT582-F005	AIIN	SOURCE_SECTION_T	OBJECT	MEASURE_OR_VALUE	Flüssigkeitsmaß	REGISTER_REALIZATION	47	2	11	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
6	GDT582-F006	AIN	BIOLOGICAL	OBJECT	PORTION_OR_FRACTION	Anwendungsportion	REGISTER_REALIZATION	163	7	22	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
7	GDT582-F007	AIN	CELESTIAL	OBJECT	PORTION_OR_FRACTION	Sektoranteil	REGISTER_REALIZATION	18	4	8	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
8	GDT582-F008	AIN	HERBAL	OBJECT	PORTION_OR_FRACTION	Pflanzenportion	REGISTER_REALIZATION	42	9	9	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
9	GDT582-F009	AIN	PHARMA	OBJECT	PORTION_OR_FRACTION	Zutatenanteil	REGISTER_REALIZATION	24	3	10	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
10	GDT582-F010	AIN	SOURCE_SECTION_T	OBJECT	PORTION_OR_FRACTION	Portion	REGISTER_REALIZATION	15	1	4	SELECTED_REGISTER_HYBRID_DEFAULT	REGISTER_REALIZES_CORE__ROOT_IDENTITY_UNCHANGED
