edition_event_ordinal	event_id	statement_id	card_ordinal_in_statement	physical_page	register	owner_id	surface	final_context_recipe	state_status	state_marker_sequence	gdt579_mixed_scope_voice_clause_de	relation_resumption_voice_working_clause_de	gdt579_source_roundtrip_de	full_two_slot_expansion_de	resumption_voice_status	assignment_id	resumption_root	written_slot_count	guard	audible_first_action_root	grammar_boundary_status	focus_voice_repair_count	represented_event_focus_count	event_repair_id	content_ready_boundary_clause_de	gdt580_exact_roundtrip_de	gdt581_guard	complete_slot_count	content_slot_count	control_slot_count	concrete_slot_trace_de	concrete_working_clause_de	gdt581_exact_roundtrip_de	gdt582_guard
1	G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	NONSTATE_CARD	NOT_APPLICABLE	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	CH	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	5	5	0	[1:LOCAL_CHAR_F=in Feinform|RUNNING:G407-E0001@1|ACTION:G407-E0001@3:CH] [2:A_ADDR=an der Hauptstelle|RUNNING:G407-E0001@2|ACTION:G407-E0001@3:CH] [3:CH=Entnimm|RUNNING:G407-E0001@3|ACTION:G407-E0001@3:CH] [4:Y=Arbeitsgut|RUNNING:G407-E0001@4|ACTION:G407-E0001@3:CH] [5:S=Sondere aus|RUNNING:G407-E0001@5|ACTION:G407-E0001@5:S]	Entnimm: in Feinform, an der Hauptstelle, Arbeitsgut; Sondere aus.	Entnimm den laufenden Eintrag und wähle ihn; bei der f-Kennmarke und an der A-Stelle.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
2	G407-E0002	G407-S001	2	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	NONSTATE_CARD	NOT_APPLICABLE	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	K	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Ordne den laufenden Eintrag zu; zur Zielspalte.	Ordne den laufenden Eintrag zu; zur Zielspalte.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	3	3	0	[1:Y=Arbeitsgut|RUNNING:G407-E0002@1|ACTION:G407-E0002@2:K] [2:K=Gib zu|RUNNING:G407-E0002@2|ACTION:G407-E0002@2:K] [3:AL=zur Zielstelle oder ins Zielgefäß|RUNNING:G407-E0002@3|ACTION:G407-E0002@2:K]	Gib zu: Arbeitsgut, zur Zielstelle oder ins Zielgefäß.	Ordne den laufenden Eintrag zu; zur Zielspalte.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
3	G407-E0003	G407-S001	3	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	K	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	1	1	0	[1:AR=von der Quelle oder aus dem Ausgangsgefäß|RUNNING:G407-E0003@1|ACTION:G407-E0002@2:K]	beim Zugeben [ACTION:G407-E0002@2:K]: von der Quelle oder aus dem Ausgangsgefäß.	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
4	G407-E0004	G407-S001	4	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	NONSTATE_CARD	NOT_APPLICABLE	Lege den Kennwert fest; an der A-Stelle.	Lege den Kennwert fest; an der A-Stelle.	Lege den Kennwert fest; an der A-Stelle.	Lege den Kennwert fest; an der A-Stelle.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	T	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Lege den Kennwert fest; an der A-Stelle.	Lege den Kennwert fest; an der A-Stelle.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	3	3	0	[1:A_ADDR=an der Hauptstelle|RUNNING:G407-E0004@1|ACTION:G407-E0004@2:T] [2:T=Stelle ein oder temperiere|RUNNING:G407-E0004@2|ACTION:G407-E0004@2:T] [3:AIIN=Flüssigkeitsmaß|RUNNING:G407-E0004@3|ACTION:G407-E0004@2:T]	Stelle ein oder temperiere: an der Hauptstelle, Flüssigkeitsmaß.	Lege den Kennwert fest; an der A-Stelle.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
5	G407-E0005	G407-S001	5	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shol	SH+OL	STATE_CARD	OL	Weiter: halte denselben Kennwert fest.	Weiter: halte denselben Kennwert fest.	Weiter: halte denselben Kennwert fest.	Weiter: halte denselben Kennwert fest.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	SH	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Weiter: halte denselben Kennwert fest.	Weiter: halte denselben Kennwert fest.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	2	1	1	[1:SH=Lass ruhen|RUNNING:G407-E0005@1|ACTION:G407-E0005@1:SH] [2:OL=weiter im selben Arbeitsgang|RUNNING:G407-E0005@2|CONTROL:G407-E0005@2:OL]	Lass ruhen; im Steuerrahmen [CONTROL:G407-E0005@2:OL]: weiter im selben Arbeitsgang.	Weiter: halte denselben Kennwert fest.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
6	G407-E0006	G407-S001	6	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	NONSTATE_CARD	NOT_APPLICABLE	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	SH	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Halte die Eintragseinheit und den laufenden Eintrag fest.	Halte die Eintragseinheit und den laufenden Eintrag fest.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	3	3	0	[1:SH=Lass ruhen|RUNNING:G407-E0006@1|ACTION:G407-E0006@1:SH] [2:OR=Ansatz|RUNNING:G407-E0006@2|ACTION:G407-E0006@1:SH] [3:Y=Arbeitsgut|RUNNING:G407-E0006@3|ACTION:G407-E0006@1:SH]	Lass ruhen: Ansatz, Arbeitsgut.	Halte die Eintragseinheit und den laufenden Eintrag fest.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
7	G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	NONSTATE_CARD	NOT_APPLICABLE	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	CH	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	5	5	0	[1:CH=Entnimm|RUNNING:G407-E0007@1|ACTION:G407-E0007@1:CH] [2:T=Stelle ein oder temperiere|RUNNING:G407-E0007@2|ACTION:G407-E0007@2:T] [3:R=Kennzeichne oder prüfe|RUNNING:G407-E0007@3|ACTION:G407-E0007@3:R] [4:E=auf Grad I|RUNNING:G407-E0007@4|ACTION:G407-E0007@2:T] [5:S=Sondere aus|RUNNING:G407-E0007@5|ACTION:G407-E0007@5:S]	Entnimm; Stelle ein oder temperiere: auf Grad I; Kennzeichne oder prüfe; Sondere aus.	Entnimm denselben laufenden Eintrag, lege ihn fest, kennzeichne ihn und wähle ihn; auf Grad I.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
8	G407-E0008	G407-S001	8	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	NONSTATE_CARD	NOT_APPLICABLE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	S	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Im laufenden Gang wähle den laufenden Eintrag.	Im laufenden Gang wähle den laufenden Eintrag.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	1	1	0	[1:Y=Arbeitsgut|RUNNING:G407-E0008@1|ACTION:G407-E0007@5:S]	beim Auswählen oder Aussondern [ACTION:G407-E0007@5:S]: Arbeitsgut.	Im laufenden Gang wähle den laufenden Eintrag.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
9	G407-E0009	G407-S001	9	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	kor	K+OR	NONSTATE_CARD	NOT_APPLICABLE	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	K	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Ordne die Eintragseinheit zu.	Ordne die Eintragseinheit zu.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	2	2	0	[1:K=Gib zu|RUNNING:G407-E0009@1|ACTION:G407-E0009@1:K] [2:OR=Ansatz|RUNNING:G407-E0009@2|ACTION:G407-E0009@1:K]	Gib zu: Ansatz.	Ordne die Eintragseinheit zu.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
10	G407-E0010	G407-S001	10	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	STATE_CARD	OL	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	UNCHANGED_NON_TARGET	NONE	NONE	0	EVENT_ID_KEYED_EDITION__GDT579_SOURCE_ROUNDTRIP_EXACT	SH	UNCHANGED_NO_SELECTED_VOICE_CONFLICT	0	0	NONE	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	REPAIRED_EVENTS_USE_FOCUS_EXACT_HEAD_BLOCKS__UNCHANGED_EVENTS_RETAIN_GDT580__EXACT_BACKCHANNEL	4	3	1	[1:SH=Lass ruhen|RUNNING:G407-E0010@1|ACTION:G407-E0010@1:SH] [2:OL=weiter im selben Arbeitsgang|RUNNING:G407-E0010@2|CONTROL:G407-E0010@2:OL] [3:D_ADDR=an der Arbeitsstelle|RUNNING:G407-E0010@3|ACTION:G407-E0010@1:SH] [4:Y=Arbeitsgut|RUNNING:G407-E0010@4|ACTION:G407-E0010@1:SH]	Lass ruhen: an der Arbeitsstelle, Arbeitsgut; im Steuerrahmen [CONTROL:G407-E0010@2:OL]: weiter im selben Arbeitsgang.	Weiter: halte den laufenden Eintrag fest; an der D-Stelle.	ALL_WRITTEN_RUNNING_SLOTS_RENDERED__GDT581_CLAUSE_RETAINED_EXACT
