page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	nonstate_event_count	prior_gdt579_scope_changed_event_count	prior_gdt579_scope_changed_statement_count	resumption_changed_event_count	resumption_changed_statement_count	cumulative_changed_event_count_against_gdt574	cumulative_changed_statement_count_against_gdt574	page_resumption_changed	page_status	guard	grammar_boundary_changed_event_count	grammar_boundary_changed_statement_count	focus_voice_repair_count	local_card_count	local_component_count	local_name_slot_count	page_grammar_boundary_changed	gdt581_page_status	gdt581_guard	complete_default_slot_count	content_default_slot_count	control_default_slot_count	productive_function_slot_count	learned_content_slot_count	alias_default_count	gdt582_page_status	gdt582_guard
1	f1r	SOURCE_SECTION_T	214	7	36	178	0	0	1	1	47	6	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	4	3	4	0	0	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	573	533	40	533	0	162	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
2	f10r	HERBAL	92	2	23	69	0	0	0	0	13	2	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	0	0	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	230	204	26	204	0	64	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
3	f11r	HERBAL	59	2	11	48	0	0	0	0	13	2	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	0	0	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	137	125	12	125	0	42	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
4	f13r	HERBAL	77	5	18	59	0	0	0	0	16	4	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	0	0	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	178	155	23	155	0	56	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
5	f17r	HERBAL	78	8	19	59	0	0	0	0	29	8	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	2	2	2	2	1	2	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	231	209	22	207	2	61	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
6	f18r	HERBAL	84	5	21	63	0	0	0	0	14	4	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	3	2	4	0	0	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	200	176	24	176	0	67	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
7	f24v	HERBAL	86	3	14	72	0	0	0	0	31	3	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	2	2	2	0	0	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	251	234	17	234	0	82	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
8	f55v	HERBAL	106	5	17	89	0	0	0	0	17	4	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	2	2	2	0	0	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	249	230	19	230	0	87	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
9	f56r	HERBAL	105	3	26	79	0	0	0	0	5	2	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	1	1	1	0	0	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	247	219	28	219	0	71	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
10	f67r2	CELESTIAL	126	11	15	111	0	0	0	0	37	9	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	9	4	11	64	200	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	564	531	33	531	0	112	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
11	f68r1	CELESTIAL	31	3	8	23	0	0	0	0	8	3	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	34	126	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	247	214	33	214	0	13	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
12	f69v	CELESTIAL	0	0	0	0	0	0	0	0	0	0	NO	ZERO_RUNNING_EVENT_PAGE_RETAINED	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	140	375	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	375	336	39	336	0	0	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
13	f70v	CELESTIAL	0	0	0	0	0	0	0	0	0	0	NO	ZERO_RUNNING_EVENT_PAGE_RETAINED	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	0	0	0	218	638	0	NO	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	638	519	119	519	0	0	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
14	f71v	CELESTIAL	78	5	24	54	1	1	0	0	13	4	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	1	1	2	22	43	8	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	278	246	32	238	8	70	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
15	f72r	CELESTIAL	288	22	105	183	3	3	0	0	39	15	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	8	6	12	96	210	52	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	1025	880	145	828	52	276	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
16	f75r	BIOLOGICAL	408	111	172	236	0	0	0	0	30	22	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	29	25	30	10	26	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	1042	842	200	842	0	354	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
17	f76r	BIOLOGICAL	560	118	187	373	0	0	1	1	47	37	YES	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	47	33	55	9	9	0	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	1429	1212	217	1212	0	415	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
18	f77r	BIOLOGICAL	321	82	141	180	0	0	0	0	31	19	NO	COMPLETE_RUNNING_PAGE	SOURCE_PAGE_ORDER_MEMBERSHIP_AND_COUNTS_UNCHANGED	29	24	34	11	20	7	YES	COMPLETE_RUNNING_AND_LOCAL_BOUNDARY_PAGE	FIXED_PAGE_MEMBERSHIP__LOCAL_CARDS_LEDGERED_SEPARATELY	869	688	181	681	7	278	COMPLETE_CONCRETE_DEFAULT_PAGE	PAGE_MEMBERSHIP_UNCHANGED__NO_EMPTY_WRITTEN_DEFAULT
