name_default_ordinal	name_default_id	content_class	raw_name_core	occurrence_count	physical_pages	surfaces	provisional_default_de	default_basis	status	guard
1	GDT582-N001	PICTURED_PLANT	eeeon	1	f17r	oteeeon	ganze blühende Heilpflanze	PICTURED_PLANT_OWNER_HOUSE_DEFAULT	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
2	GDT582-N002	PICTURED_PLANT	oiil	1	f17r	oiil	ganze Heilpflanze B	PICTURED_PLANT_OWNER_HOUSE_DEFAULT	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
3	GDT582-N003	STAR_BEARING_RING_POSITION	om	1	f71v	arom	Sternringstelle 01	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
4	GDT582-N004	STAR_BEARING_RING_POSITION	chf	1	f71v	chfaly	Sternringstelle 02	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
5	GDT582-N005	STAR_BEARING_RING_POSITION	chody	1	f71v	otchody	Sternringstelle 03	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
6	GDT582-N006	STAR_BEARING_RING_POSITION	op	3	f71v|f72r	opalal|opalar|opalor	Sternringstelle 04	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
7	GDT582-N007	STAR_BEARING_RING_POSITION	aom	1	f71v	ofaom	Sternringstelle 05	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
8	GDT582-N008	STAR_BEARING_RING_POSITION	ody	1	f71v	otalody	Sternringstelle 06	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
9	GDT582-N009	STAR_BEARING_RING_POSITION	dy	4	f71v|f72r	ofsholdy|oklairdy|sholshdy|ytalshdy	Sternringstelle 07	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
10	GDT582-N010	STAR_BEARING_RING_POSITION	o	3	f72r	octho|oshodady	Sternringstelle 08	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
11	GDT582-N011	STAR_BEARING_RING_POSITION	odady	1	f72r	oshodady	Sternringstelle 09	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
12	GDT582-N012	STAR_BEARING_RING_POSITION	chdaiird	1	f72r	chdaiirdainy	Sternringstelle 10	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
13	GDT582-N013	STAR_BEARING_RING_POSITION	yt	2	f72r	ytairal|ytalshdy	Sternringstelle 11	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
14	GDT582-N014	STAR_BEARING_RING_POSITION	if	1	f72r	alif	Sternringstelle 12	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
15	GDT582-N015	STAR_BEARING_RING_POSITION	ef	1	f72r	otalef	Sternringstelle 13	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
16	GDT582-N016	STAR_BEARING_RING_POSITION	cho	1	f72r	otchoshy	Sternringstelle 14	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
17	GDT582-N017	STAR_BEARING_RING_POSITION	ch	3	f72r	okaircham|okarcham|otchdal	Sternringstelle 15	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
18	GDT582-N018	STAR_BEARING_RING_POSITION	chdamy	1	f72r	ofchdamy	Sternringstelle 16	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
19	GDT582-N019	STAR_BEARING_RING_POSITION	l	1	f72r	oklairdy	Sternringstelle 17	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
20	GDT582-N020	STAR_BEARING_RING_POSITION	y	4	f72r	okairy|orary|oteeary|yfary	Sternringstelle 18	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
21	GDT582-N021	STAR_BEARING_RING_POSITION	e	2	f72r	okeal|okealar	Sternringstelle 19	LEARNED_RING_POSITION_SEQUENCE	REPLACEABLE_LEARNED_DEFAULT	CLASS_AND_RAW_CORE_KEYED__NOT_A_PORTABLE_STEM_TRANSLATION
