local_card_ordinal	local_card_host_key	source_partition	source_layer	source_event_id	physical_page	register	locus	owner_de	surface	component_recipe	component_count	source_local_role	record_id	record_governor_key	bundle_id	bundle_governor_key	active_local_model	guard	complete_slot_count	content_slot_count	control_slot_count	concrete_slot_trace_de	concrete_working_clause_de	gdt582_guard
1	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079	GDT479_MICRORECORD_183	ORIGINAL22_LOCAL_ADDRESS	P1003-E0079	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	OT	1	LOCAL_ADDRESS_OR_LABEL	G475-R001	LOCAL_RECORD:G475-R001	G474-B001	LOCAL_BUNDLE:G474-B001	CATALOGUE	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	2	1	1	[1:OT=danach / neuer Arbeitsgang|LOCAL_COMPONENT:P1003-E0079@1|LOCAL_CONTROL:P1003-E0079@1:OT] [1:eeeon=ganze blühende Heilpflanze|LOCAL_NAME:P1003-E0079:NAME_1|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079]	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079]: ganze blühende Heilpflanze; im Rahmen [LOCAL_CONTROL:P1003-E0079@1:OT]: danach / neuer Arbeitsgang.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
2	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080	GDT479_MICRORECORD_183	ORIGINAL22_LOCAL_ADDRESS	P1003-E0080	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	NONE	0	LOCAL_ADDRESS_OR_LABEL	G475-R001	LOCAL_RECORD:G475-R001	G474-B001	LOCAL_BUNDLE:G474-B001	CATALOGUE	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	1	1	0	[1:oiil=ganze Heilpflanze B|LOCAL_NAME:P1003-E0080:NAME_1|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080]	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080]: ganze Heilpflanze B.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
3	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1749	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1749	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	ykshy	Y+K+Y	3	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	3	3	0	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1749@1|LOCAL_ACTION:P912-E1749@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1749@2|LOCAL_ACTION:P912-E1749@2:K] [3:Y=Ringposition|LOCAL_COMPONENT:P912-E1749@3|LOCAL_ACTION:P912-E1749@2:K]	Ordne zu: Ringposition, Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
4	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1750	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1750	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	s	S	1	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	1	1	0	[1:S=Wähle aus|LOCAL_COMPONENT:P912-E1750@1|LOCAL_ACTION:P912-E1750@1:S]	Wähle aus.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
5	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1751	f67r2	CELESTIAL	f67r2.1	zwei lokale Himmelsraeder	aram	AR+AM_ADDR	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	2	2	0	[1:AR=von der Ausgangsposition|LOCAL_COMPONENT:P912-E1751@1|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751] [2:AM_ADDR=an der mittleren Ringstelle|LOCAL_COMPONENT:P912-E1751@2|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751]	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1751]: von der Ausgangsposition, an der mittleren Ringstelle.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
6	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1752	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1752	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	ykecho	Y+K+E+CH+O	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	5	5	0	[1:Y=Ringposition|LOCAL_COMPONENT:P912-E1752@1|LOCAL_ACTION:P912-E1752@2:K] [2:K=Ordne zu|LOCAL_COMPONENT:P912-E1752@2|LOCAL_ACTION:P912-E1752@2:K] [3:E=auf Ringstufe I|LOCAL_COMPONENT:P912-E1752@3|LOCAL_ACTION:P912-E1752@2:K] [4:CH=Lies ab|LOCAL_COMPONENT:P912-E1752@4|LOCAL_ACTION:P912-E1752@4:CH] [5:O=in Eintragsform|LOCAL_COMPONENT:P912-E1752@5|LOCAL_ACTION:P912-E1752@4:CH]	Ordne zu: Ringposition, auf Ringstufe I; Lies ab: in Eintragsform.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
7	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1753	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1753	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	ols	OL+S	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	2	1	1	[1:OL=weiter im selben Arbeitsgang|LOCAL_COMPONENT:P912-E1753@1|LOCAL_CONTROL:P912-E1753@1:OL] [2:S=Wähle aus|LOCAL_COMPONENT:P912-E1753@2|LOCAL_ACTION:P912-E1753@2:S]	im Rahmen [LOCAL_CONTROL:P912-E1753@1:OL]: weiter im selben Arbeitsgang; Wähle aus.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
8	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1754	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1754	f67r2	CELESTIAL	f67r2.2	zwei lokale Himmelsraeder	eesydy	EE+S+Y+D_ADDR+Y	5	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	5	5	0	[1:EE=auf Ringstufe II|LOCAL_COMPONENT:P912-E1754@1|LOCAL_ACTION:P912-E1754@2:S] [2:S=Wähle aus|LOCAL_COMPONENT:P912-E1754@2|LOCAL_ACTION:P912-E1754@2:S] [3:Y=Ringposition|LOCAL_COMPONENT:P912-E1754@3|LOCAL_ACTION:P912-E1754@2:S] [4:D_ADDR=an der unteren Ringstelle|LOCAL_COMPONENT:P912-E1754@4|LOCAL_ACTION:P912-E1754@2:S] [5:Y=Ringposition|LOCAL_COMPONENT:P912-E1754@5|LOCAL_ACTION:P912-E1754@2:S]	Wähle aus: auf Ringstufe II, Ringposition, an der unteren Ringstelle, Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
9	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1755	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	ey	E+Y	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	COORDINATE_OR_CATALOGUE_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	2	2	0	[1:E=auf Ringstufe I|LOCAL_COMPONENT:P912-E1755@1|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755] [2:Y=Ringposition|LOCAL_COMPONENT:P912-E1755@2|LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755]	auf der lokalen Karte [LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1755]: auf Ringstufe I, Ringposition.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
10	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P912-E1756	GDT513_REMAINDER_510	ORIGINAL22_LOCAL_ADDRESS	P912-E1756	f67r2	CELESTIAL	f67r2.3	zwei lokale Himmelsraeder	shs	SH+S	2	LOCAL_ADDRESS_OR_LABEL	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	ORDERED_INSTRUCTION_CARD	EXACT_CARD_ID__OWNER_AND_LOCUS_REQUIRED__NO_RUNNING_SENTENCE_INHERITANCE	2	2	0	[1:SH=Halte fest|LOCAL_COMPONENT:P912-E1756@1|LOCAL_ACTION:P912-E1756@1:SH] [2:S=Wähle aus|LOCAL_COMPONENT:P912-E1756@2|LOCAL_ACTION:P912-E1756@2:S]	Halte fest; Wähle aus.	LOCAL_CARD_OWNER_AND_LOCUS_FIXED__ALL_COMPONENT_AND_NAME_SLOTS_RENDERED
