core_ordinal	root	function_family	invariant_core_concept	universal_workshop_rival_de	slot_count	running_slot_count	local_slot_count	register_count	registers	boundary_classes	status	guard
1	AIIN	OBJECT	MEASURE_OR_VALUE	Maß oder Kennwert	535	487	48	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_OBJECT_FUNCTION|RUNNING_OBJECT_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
2	AIN	OBJECT	PORTION_OR_FRACTION	Teil oder Portion	262	243	19	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_OBJECT_FUNCTION|RUNNING_OBJECT_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
3	AIR	RELATION	WORKING_PATH	entlang des Arbeitswegs	78	54	24	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_RELATION_FUNCTION|RUNNING_RELATION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
4	AL	RELATION	TARGET	zum Ziel	542	389	153	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_RELATION_FUNCTION|RUNNING_RELATION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
5	AM_ADDR	MODIFIER	AUXILIARY_SITE	an der Nebenstelle	104	74	30	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
6	AN	MODIFIER	KIND_OR_CLASS	in der bezeichneten Art	15	12	3	4	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
7	AR	RELATION	SOURCE	von der Quelle	478	354	124	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_RELATION_FUNCTION|RUNNING_RELATION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
8	A_ADDR	MODIFIER	MAIN_SITE	an der Hauptstelle	80	63	17	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
9	CARRIER_Q	MODIFIER	NEW_BATCH	als Neuansatz	75	74	1	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_MODIFIER_FUNCTION|RUNNING_MODIFIER_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
10	CH	ACTION	TAKE_OR_EXTRACT	Entnimm	1023	966	57	5	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	LOCAL_ACTION_FUNCTION|RUNNING_ACTION_FUNCTION	PRODUCTIVE_CORE_WITH_REGISTER_REALIZATION	ONE_SHORT_CORE_CONCEPT__NO_SENTENCE_SIZED_DICTIONARY_ENTRY
