layer	path	sha256	data_rows	purpose_de
surface_dictionary	experiments/yolo/sidequest_semantic_final_productive_cards_nineteenth_edition/NINETEENTH_487_SURFACE_DICTIONARY.tsv	2dfb4f419d422aeafa8e52584a5f3cf8f8d2f191e4db26e0174e916f6ef95e55	487	487 sichtbare Formen und ihre aktuelle Karten-/Kernlesung
event_ledger	experiments/yolo/sidequest_semantic_stem_aligned_twentieth_edition/TWENTIETH_776_EVENT_BINDING.tsv	692e1158de1fa0d93e49799d846d33fc590691b23e6007a4f5e5090624ee6b5b	776	vollständige Bindung aller 776 sichtbaren Gruppen
reading_units	experiments/yolo/sidequest_semantic_stem_aligned_twentieth_edition/TWENTIETH_258_UNIT_TRANSLATIONS.tsv	25d5cda2bff204085bf5f021adc0d35c1ebbe6e59e05d02f072b899e62fa5458	258	116 Prosa-Aussagen plus 142 Astro-Loci
owner_statements	experiments/yolo/sidequest_semantic_owner_filled_twenty_first_edition/TWENTY_FIRST_116_OWNER_FILLED_PROSE.tsv	ec55ae4cfbaebd529c2bc10f1018597b8bcd3a98a78bffce423188df32692d51	116	sichtbarer Besitzer für jede Prosa-Aussage
component_deck	experiments/yolo/sidequest_semantic_apprentice_roundtrip_twenty_third_edition/TWENTY_THIRD_COMPONENT_DECK.tsv	3fb9984664930552cc1baa9df505e59368d858732324d000f3e589aa5d44b959	56	56 Einträge des Lehrkastens
source_clauses	experiments/yolo/sidequest_semantic_clause_chain_twenty_fifth_edition/TWENTY_FIFTH_254_SOURCE_CLAUSES.tsv	fe9af5b1f2530b46d5cb62c40a11e609070924c8882620e2c46ed24df6f63a2d	254	254 kurze Handlungsklauseln
noun_load	experiments/yolo/sidequest_semantic_noun_load_twenty_sixth_edition/TWENTY_SIXTH_116_NOUN_LOAD_AUDIT.tsv	b5a7eb52b6b5f3a47325751e8449543407c30cea942373a8d5ed697ca2239557	116	Trennung von Karten-, Besitzer- und Kreativnomen
balanced_records	experiments/yolo/sidequest_semantic_balanced_continuous_twenty_seventh_edition/TWENTY_SEVENTH_11_BALANCED_RECORDS.tsv	56c188c92fd8c3a903151815f376e9e2b3a3e923d62de447d8a1e54818e6dd34	11	bevorzugte elf fortlaufende Prosa-Records
event_idioms	experiments/yolo/sidequest_semantic_idiom_phrasebook_twenty_eighth_edition/TWENTY_EIGHTH_EVENT_IDIOMS.tsv	18eb419e634a3f0ae4e9e752b05166a16b0837c2928987060997841dfeda3bdd	17	17 wiederkehrende Kartenwendungen
scribe_copies	experiments/yolo/sidequest_semantic_scribe_idiom_copybook_twenty_ninth_edition/TWENTY_NINTH_68_SCRIBE_IDIOM_COPIES.tsv	774e977ffcffafae63fb6e448dafceb297bffd32a9b09fdcb7dc1a67ca86d265	68	vier Schreiberprofile auf den Wendungen
new_dictations	experiments/yolo/sidequest_semantic_new_dictations_thirtieth_edition/THIRTIETH_12_NEW_DICTATIONS.tsv	1be3b00aa2f37bd1ad2a45f0ba107348dae54d19a56fd202d5db7b1f6a359d1e	12	zwölf neue, nur aus vorhandenen Karten gebaute Übungen
balanced_dossiers	experiments/yolo/sidequest_semantic_balanced_dossiers_thirty_first_edition/THIRTY_FIRST_FOUR_BALANCED_DOSSIERS.tsv	04891849fb53d6828421c38c1b9c538dc963d713f952bc21a7e137c0ba726ec6	4	vier WHEN-WHAT-HOW-Gesamtfälle
