mould_id	revised_slot_mould	revised_spoken_template_de	owner_guard	statement_count	event_count	representative_statement_id
M01_MATERIAL_PREPARATION	OWNER>MATERIAL>PROCESS	Bildmaterial und örtliche Zubereitung bearbeiten	Do not force a product unless a product card appears	7	40	H1-S001
M02_SOURCE_SHARE_MEASURE	SOURCE>SHARE>[MEASURE]	davon einen Anteil nehmen; nur mit AIIN/OKAIIN ausdrücklich bemessen	Measure is optional, not automatic	3	12	B2-S011
M03_TARGET_TRANSFER	ITEM>TARGET>TRANSFER>[CLOSE]	Posten an die vom Besitzer gelieferte Stelle führen	Body, basin or vessel target comes from owner	27	75	B3-S006
M04_ORDER_CONTINUATION	ORDER>LINK>ITEM>ACTION	Folge oder Fortsetzung im kopierten Ablauf	Keep exact endpoint position	19	86	B4-S003
M05_STATE_CLOSE	ITEM>PROCESS_OR_STATE>[CLOSE]	örtlichen Prozesszustand ausführen	Do not default every state to heat	27	46	B4-S008
M06_FILTER_CLEAR_PRODUCT	ITEM>FILTER_OR_WASH>[PRODUCT]>[CLOSE]	waschen, auswringen oder seihen; Klarauszug nur mit product card	Cloth and water require card or owner	12	49	H3-S001
M07_PAIRED_MEASURE_FRAME	ITEM>MEASURE>ITEM	zwei Posten unter demselben Sollmaß	Keep both item boundaries	3	24	B3-S003
M08_CARRIED_PREPARATION_FRAME	LINK>PREPARATION>LINK	Fortsetzung mit demselben Ansatz	Payload may sit inside boundaries	2	27	H2-S002
M09_APPLICATION_FASTEN	LOCAL_APPLICATION_OR_STORAGE_WHOLE_CARD	örtlich anwenden, verwahren oder festbinden	Three learned variants; not freely interchangeable	3	8	H5-S005
M10_LOCAL_EXACT_CELL	LOCAL_WHOLE_CARD_SEQUENCE	örtliche Ganzzelle aus Vorlage kopieren	Change owner only	13	14	B1-S011
