record_unit_id	page	owner_argument_de	scope
H1	f10r	Bildpflanze; örtlicher Wurzel-/Materialansatz	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
H2	f10r	Bildpflanze; örtlicher Blatt-/Sprossansatz	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
H3	f11r	Bildpflanze; örtlicher Blüten-/Blattauszug	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
H4	f55v	Bildpflanze; örtlicher Blattauszug und gebundener Rest	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
H5	f56r	Bildpflanze; frisches Material und zwei örtliche Zubereitungen	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
B1	f81v	gemeinsames zweireihiges Figurenbecken	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
B2	f82r	jeweils nächster sichtbarer Becken-/Gerätebesitzer	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
B3	f83r	jeweils nächste sichtbare Transfer-/Zustandsstation	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
B4	f83r	Hauptpaar mit Tuchanwendung und getrennten Dienstläufen	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
B5	f83r	linke figurenlose Dienststation	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
B6	f83r	rechte figurenlose Dienststation	RECORD_DEFAULT__LOCAL_VISIBLE_RESETS_OVERRIDE
