sequence	field_id	position	license_id	master_card_id	selected_surface	registered_surfaces	portable_value_de	astro_exact_surface_occurrences	herbal_value_de	bio_value_de	astro_value_de	value_changed
1	T01	1	PF03	MC123	chey	chey|chy|dy|shy|sy|y	dies	4	dies	dies	dies	NO
2	T01	2	PF03	MC039	aiin	aiin|chaiin|daiin|saiin|taiin	Sollwert	6	Sollwert	Sollwert	Sollwert	NO
3	T01	3	PF03	MC026	choky	choky|oky|qoky	einsetzen	1	einsetzen	einsetzen	einsetzen	NO
4	T02	1	PF07	MC055	dar	char|dar|sar	davon	2	davon	davon	davon	NO
5	T02	2	PF07	MC039	daiin	aiin|chaiin|daiin|saiin|taiin	Sollwert	4	Sollwert	Sollwert	Sollwert	NO
6	T02	3	PF07	MC154	dal	al|chal|cheal|dal|sal|tal	dorthin	5	dorthin	dorthin	dorthin	NO
7	T03	1	CROSS_REGISTER_END_FRAME	MC039	aiin	aiin|chaiin|daiin|saiin|taiin	Sollwert	6	Sollwert	Sollwert	Sollwert	NO
8	T03	2	CROSS_REGISTER_END_FRAME	MC040	okal	okal|qokal	dorthin einsetzen	1	dorthin einsetzen	dorthin einsetzen	dorthin einsetzen	NO
9	T03	3	CROSS_REGISTER_END_FRAME	MC019	oldy	oldy	fertig	1	fertig	fertig	fertig	NO
10	T04	1	WHOLE_CARD_BRIDGE	MC119	cheey	cheey|shey	Freigabewert	2	Freigabewert	Freigabewert	Freigabewert	NO
