exercise	page	record	statement_id	owner_de	source_event	before_surfaces	after_surfaces	before_reading_de	after_reading_de	address_change	surface_change	other_events_unchanged
S01	f83r	B3	B3-S021	unverbundener Zwischenbereich	E280	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy darchdy	ANSETZEN · SOLLMASS; BEREITEN · DIES; ZIELSTELLE; DIES; SOLLMASS; ABSETZEN · ZIELSTELLE; HALTEN · KURZ · BEREITEN · DIES; DIES; ZIELSTELLE; BEREITEN · DIES; ZIELSTELLE · UMSETZEN · SCHLUSS	ANSETZEN · SOLLMASS; BEREITEN · DIES; ZIELSTELLE; DIES; SOLLMASS; ABSETZEN · ZIELSTELLE; HALTEN · KURZ · BEREITEN · DIES; DIES; ZIELSTELLE; BEREITEN · DIES; QUELLE · UMSETZEN · SCHLUSS	AL→AR	dalchdy→darchdy	YES
S02	f82r	B2	B2-S017	kleine Randstationen des unteren Beckens	E223	rsheal daldy	rsheal dardy	KUEHLEN · HALTEN · KURZ · ZIELSTELLE; ZIELSTELLE · SCHLUSS	KUEHLEN · HALTEN · KURZ · ZIELSTELLE; QUELLE · SCHLUSS	AL→AR	daldy→dardy	YES
S03	f83r	B3	B3-S026	unverbundener Zwischenbereich	E290	cheedar chldaiin chedy qokain checthy chealror solkeedy	cheedar chldaiin chedy qokain checthy chearror solkeedy	LANG · QUELLE; LEITEN · SOLLMASS; UMSETZEN · DIES; ANSETZEN · PORTION; BEREITEN · DIES; ZIELSTELLE · KUEHLEN · ANSATZ; SAMMELSTELLE · LANG · SCHLUSS	LANG · QUELLE; LEITEN · SOLLMASS; UMSETZEN · DIES; ANSETZEN · PORTION; BEREITEN · DIES; QUELLE · KUEHLEN · ANSATZ; SAMMELSTELLE · LANG · SCHLUSS	AL→AR	chealror→chearror	YES
S04	f83r	B3	B3-S011	untere Randfigur im korbartigen Gefäß	E253	shecthedchy qoky chedy chary	shecthedchy qoky chedy chaly	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES; ANSETZEN · DIES; UMSETZEN · DIES; QUELLE · DIES	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES; ANSETZEN · DIES; UMSETZEN · DIES; ZIELSTELLE · DIES	AR→AL	chary→chaly	YES
S05	f83r	B4	B4-S015	linke Hauptstation mit offenem Fransenlauf	E355	qokain shey kain chckhal solkey lchedy	qokain shey kain chckhar solkey lchedy	ANSETZEN · PORTION; HALTEN · LANG · DIES; ZUGEBEN · PORTION; ENTNEHMEN · DURCHLASS · ZIELSTELLE; SAMMELSTELLE · KURZ · DIES; LEITEN · UMSETZEN · SCHLUSS	ANSETZEN · PORTION; HALTEN · LANG · DIES; ZUGEBEN · PORTION; ENTNEHMEN · DURCHLASS · QUELLE; SAMMELSTELLE · KURZ · DIES; LEITEN · UMSETZEN · SCHLUSS	AL→AR	chckhal→chckhar	YES
S06	f55v	H4	H4-S003	abgebildete breitblättrige rispige Pflanze	E065	ykaiin cheoar cheeky oldy	ykaiin cheoal cheeky oldy	DIES · ZUGEBEN · SOLLMASS; ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE; WAERMEN · LANG · DIES; WEITER · SCHLUSS	DIES · ZUGEBEN · SOLLMASS; ENTNEHMEN · KURZ · ARBEITSGANG · ZIELSTELLE; WAERMEN · LANG · DIES; WEITER · SCHLUSS	AR→AL	cheoar→cheoal	YES
S07	f83r	B5	B5-S003	linke Fransenstation im B5-Nachtrag	E368	shedal dal cheol lol chdal aiin sol daiiin chedy	shedal dal cheol lol chdar aiin sol daiiin chedy	ABSETZEN · ZIELSTELLE; ZIELSTELLE; WEITER; LEITEN · WEITER; UMSETZEN · ZIELSTELLE; SOLLMASS; WEITER; ZWEIT · ARBEITSSTUFE; UMSETZEN · DIES	ABSETZEN · ZIELSTELLE; ZIELSTELLE; WEITER; LEITEN · WEITER; UMSETZEN · QUELLE; SOLLMASS; WEITER; ZWEIT · ARBEITSSTUFE; UMSETZEN · DIES	AL→AR	chdal→chdar	YES
S08	f83r	B3	B3-S026	unverbundener Zwischenbereich	E285	cheedar chldaiin chedy qokain checthy chealror solkeedy	cheedal chldaiin chedy qokain checthy chealror solkeedy	LANG · QUELLE; LEITEN · SOLLMASS; UMSETZEN · DIES; ANSETZEN · PORTION; BEREITEN · DIES; ZIELSTELLE · KUEHLEN · ANSATZ; SAMMELSTELLE · LANG · SCHLUSS	LANG · ZIELSTELLE; LEITEN · SOLLMASS; UMSETZEN · DIES; ANSETZEN · PORTION; BEREITEN · DIES; ZIELSTELLE · KUEHLEN · ANSATZ; SAMMELSTELLE · LANG · SCHLUSS	AR→AL	cheedar→cheedal	YES
S09	f56r	H5	H5-S001	abgebildete mehrköpfige stachelige Pflanze	E076	chochor cho chodaly daiin sho kchol otchor choky dal	chochor cho chodary daiin sho kchol otchor choky dal	ZUTAT · ENTNEHMEN · ANSATZ; ZUTAT; ZUTAT · ZIELSTELLE · DIES; SOLLMASS; ZUTAT; ZUGEBEN · WEITER; DANACH · ENTNEHMEN · ANSATZ; ANSETZEN · DIES; ZIELSTELLE	ZUTAT · ENTNEHMEN · ANSATZ; ZUTAT; ZUTAT · QUELLE · DIES; SOLLMASS; ZUTAT; ZUGEBEN · WEITER; DANACH · ENTNEHMEN · ANSATZ; ANSETZEN · DIES; ZIELSTELLE	AL→AR	chodaly→chodary	YES
S10	f56r	H5	H5-S005	abgebildete mehrköpfige stachelige Pflanze	E096	sho chokchy kchoar sotodan	sho chokchy kchoal sotodan	ZUTAT; ANSETZEN · DIES; ZUGEBEN · ZUTAT · QUELLE; DANACH · ARBEITSGANG · PORTION	ZUTAT; ANSETZEN · DIES; ZUGEBEN · ZUTAT · ZIELSTELLE; DANACH · ARBEITSGANG · PORTION	AR→AL	kchoar→kchoal	YES
