exercise	phase	page	owner_de	address	address_reading_de	operation_components	surface	card_reading_de	directed_path
S01	BEFORE	f83r	unverbundener Zwischenbereich	AL	ZIELSTELLE	CHD · DY	dalchdy	ZIELSTELLE · UMSETZEN · SCHLUSS	AKTIVER_POSTEN --[CHD · DY]--> unverbundener Zwischenbereich::ZIEL
S01	AFTER	f83r	unverbundener Zwischenbereich	AR	QUELLE	CHD · DY	darchdy	QUELLE · UMSETZEN · SCHLUSS	unverbundener Zwischenbereich::QUELLE --[CHD · DY]--> AKTIVER_POSTEN
S02	BEFORE	f82r	kleine Randstationen des unteren Beckens	AL	ZIELSTELLE	DY	daldy	ZIELSTELLE · SCHLUSS	AKTIVER_POSTEN --[DY]--> kleine Randstationen des unteren Beckens::ZIEL
S02	AFTER	f82r	kleine Randstationen des unteren Beckens	AR	QUELLE	DY	dardy	QUELLE · SCHLUSS	kleine Randstationen des unteren Beckens::QUELLE --[DY]--> AKTIVER_POSTEN
S03	BEFORE	f83r	unverbundener Zwischenbereich	AL	ZIELSTELLE	R · OR	chealror	ZIELSTELLE · KUEHLEN · ANSATZ	AKTIVER_POSTEN --[R · OR]--> unverbundener Zwischenbereich::ZIEL
S03	AFTER	f83r	unverbundener Zwischenbereich	AR	QUELLE	R · OR	chearror	QUELLE · KUEHLEN · ANSATZ	unverbundener Zwischenbereich::QUELLE --[R · OR]--> AKTIVER_POSTEN
S04	BEFORE	f83r	untere Randfigur im korbartigen Gefäß	AR	QUELLE	Y	chary	QUELLE · DIES	untere Randfigur im korbartigen Gefäß::QUELLE --[Y]--> AKTIVER_POSTEN
S04	AFTER	f83r	untere Randfigur im korbartigen Gefäß	AL	ZIELSTELLE	Y	chaly	ZIELSTELLE · DIES	AKTIVER_POSTEN --[Y]--> untere Randfigur im korbartigen Gefäß::ZIEL
S05	BEFORE	f83r	linke Hauptstation mit offenem Fransenlauf	AL	ZIELSTELLE	CH · CKH	chckhal	ENTNEHMEN · DURCHLASS · ZIELSTELLE	AKTIVER_POSTEN --[CH · CKH]--> linke Hauptstation mit offenem Fransenlauf::ZIEL
S05	AFTER	f83r	linke Hauptstation mit offenem Fransenlauf	AR	QUELLE	CH · CKH	chckhar	ENTNEHMEN · DURCHLASS · QUELLE	linke Hauptstation mit offenem Fransenlauf::QUELLE --[CH · CKH]--> AKTIVER_POSTEN
S06	BEFORE	f55v	abgebildete breitblättrige rispige Pflanze	AR	QUELLE	CH · E · O	cheoar	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	abgebildete breitblättrige rispige Pflanze::QUELLE --[CH · E · O]--> AKTIVER_POSTEN
S06	AFTER	f55v	abgebildete breitblättrige rispige Pflanze	AL	ZIELSTELLE	CH · E · O	cheoal	ENTNEHMEN · KURZ · ARBEITSGANG · ZIELSTELLE	AKTIVER_POSTEN --[CH · E · O]--> abgebildete breitblättrige rispige Pflanze::ZIEL
S07	BEFORE	f83r	linke Fransenstation im B5-Nachtrag	AL	ZIELSTELLE	CHD	chdal	UMSETZEN · ZIELSTELLE	AKTIVER_POSTEN --[CHD]--> linke Fransenstation im B5-Nachtrag::ZIEL
S07	AFTER	f83r	linke Fransenstation im B5-Nachtrag	AR	QUELLE	CHD	chdar	UMSETZEN · QUELLE	linke Fransenstation im B5-Nachtrag::QUELLE --[CHD]--> AKTIVER_POSTEN
S08	BEFORE	f83r	unverbundener Zwischenbereich	AR	QUELLE	EE	cheedar	LANG · QUELLE	unverbundener Zwischenbereich::QUELLE --[EE]--> AKTIVER_POSTEN
S08	AFTER	f83r	unverbundener Zwischenbereich	AL	ZIELSTELLE	EE	cheedal	LANG · ZIELSTELLE	AKTIVER_POSTEN --[EE]--> unverbundener Zwischenbereich::ZIEL
S09	BEFORE	f56r	abgebildete mehrköpfige stachelige Pflanze	AL	ZIELSTELLE	HO · Y	chodaly	ZUTAT · ZIELSTELLE · DIES	AKTIVER_POSTEN --[HO · Y]--> abgebildete mehrköpfige stachelige Pflanze::ZIEL
S09	AFTER	f56r	abgebildete mehrköpfige stachelige Pflanze	AR	QUELLE	HO · Y	chodary	ZUTAT · QUELLE · DIES	abgebildete mehrköpfige stachelige Pflanze::QUELLE --[HO · Y]--> AKTIVER_POSTEN
