atom	short_value_de	word_class	ecology	total_occurrences	herbal_occurrences	biological_occurrences	teaching_rule
AIIN	Sollmaß	ARGUMENT	PORTABLE_WORKSHOP_CORE	39	14	25	same short value in both prose sections
AIN	Anteil	ARGUMENT	THIN_CROSS_SECTION_BRIDGE	16	3	13	retain shared value but teach the sparse side by exemplar
AIR	Lauf	ARGUMENT	THIN_CROSS_SECTION_BRIDGE	5	1	4	retain shared value but teach the sparse side by exemplar
AL	Ziel	ARGUMENT	PORTABLE_WORKSHOP_CORE	40	6	34	same short value in both prose sections
AM	verwahren	OPERATION_OR_LEARNED_BODY	HERBAL_SPECIALIST__ONE_EVENT	1	1	0	do not export beyond plant preparation without a new occurrence; memorize the exact card
AR	Quelle	ARGUMENT	PORTABLE_WORKSHOP_CORE	14	4	10	same short value in both prose sections
CFH	auswringen	OPERATION_OR_LEARNED_BODY	HERBAL_SPECIALIST__ONE_EVENT	1	1	0	do not export beyond plant preparation without a new occurrence; memorize the exact card
CHD	umsetzen	OPERATION_OR_LEARNED_BODY	THIN_CROSS_SECTION_BRIDGE	48	1	47	retain shared value but teach the sparse side by exemplar
CHEEY	Ergebnis	ENDPOINT	THIN_CROSS_SECTION_BRIDGE	6	1	5	retain shared value but teach the sparse side by exemplar
CHEO	Auszug	OPERATION_OR_LEARNED_BODY	HERBAL_SPECIALIST	4	4	0	do not export beyond plant preparation without a new occurrence
CHK	wärmen	OPERATION_OR_LEARNED_BODY	THIN_CROSS_SECTION_BRIDGE	7	1	6	retain shared value but teach the sparse side by exemplar
CKH	Durchlass	OPERATION_OR_LEARNED_BODY	THIN_CROSS_SECTION_BRIDGE	10	1	9	retain shared value but teach the sparse side by exemplar
CKHE	trennen	OPERATION_OR_LEARNED_BODY	BIOLOGICAL_SPECIALIST	4	0	4	do not export beyond bath/service work without a new occurrence
CLOSE	Schluss	ENDPOINT	PORTABLE_WORKSHOP_CORE	87	3	84	same short value in both prose sections
CPH	nachseihen	OPERATION_OR_LEARNED_BODY	HERBAL_SPECIALIST__ONE_EVENT	1	1	0	do not export beyond plant preparation without a new occurrence; memorize the exact card
CTH	bereit	ENDPOINT	PORTABLE_WORKSHOP_CORE	16	7	9	same short value in both prose sections
DAIN	Tuch	ARGUMENT	BIOLOGICAL_SPECIALIST	2	0	2	do not export beyond bath/service work without a new occurrence
DAN	anwenden	OPERATION_OR_LEARNED_BODY	HERBAL_SPECIALIST__ONE_EVENT	1	1	0	do not export beyond plant preparation without a new occurrence; memorize the exact card
DCHE	Wurzel	OPERATION_OR_LEARNED_BODY	HERBAL_SPECIALIST__ONE_EVENT	1	1	0	do not export beyond plant preparation without a new occurrence; memorize the exact card
DCHOL	vorher	GRADE_OR_ORDER	HERBAL_SPECIALIST	2	2	0	do not export beyond plant preparation without a new occurrence
E	kurz	GRADE_OR_ORDER	PORTABLE_WORKSHOP_CORE	45	3	42	same short value in both prose sections
EE	länger	GRADE_OR_ORDER	PORTABLE_WORKSHOP_CORE	34	2	32	same short value in both prose sections
EEE	vollständig	GRADE_OR_ORDER	BIOLOGICAL_SPECIALIST	2	0	2	do not export beyond bath/service work without a new occurrence
HO	Zutat	OPERATION_OR_LEARNED_BODY	HERBAL_SPECIALIST	13	13	0	do not export beyond plant preparation without a new occurrence
IIN	Stufe	ARGUMENT	THIN_CROSS_SECTION_BRIDGE	4	1	3	retain shared value but teach the sparse side by exemplar
KCH	bearbeiten	OPERATION_OR_LEARNED_BODY	PORTABLE_WORKSHOP_CORE	7	5	2	same short value in both prose sections
L	abführen	OPERATION_OR_LEARNED_BODY	THIN_CROSS_SECTION_BRIDGE	25	1	24	retain shared value but teach the sparse side by exemplar
LDDY	festbinden	OPERATION_OR_LEARNED_BODY	BIOLOGICAL_SPECIALIST__ONE_EVENT	1	0	1	do not export beyond bath/service work without a new occurrence; memorize the exact card
LOCAL_WHOLE	Zusatz	OPERATION_OR_LEARNED_BODY	BIOLOGICAL_SPECIALIST	2	0	2	do not export beyond bath/service work without a new occurrence
ODY	kühlen	OPERATION_OR_LEARNED_BODY	HERBAL_SPECIALIST__ONE_EVENT	1	1	0	do not export beyond plant preparation without a new occurrence; memorize the exact card
OK	ansetzen	OPERATION_OR_LEARNED_BODY	PORTABLE_WORKSHOP_CORE	81	12	69	same short value in both prose sections
OL	weiter	GRADE_OR_ORDER	PORTABLE_WORKSHOP_CORE	46	13	33	same short value in both prose sections
OR	Ansatz	OPERATION_OR_LEARNED_BODY	PORTABLE_WORKSHOP_CORE	17	13	4	same short value in both prose sections
OS	Gefäß	ARGUMENT	HERBAL_SPECIALIST__ONE_EVENT	1	1	0	do not export beyond plant preparation without a new occurrence; memorize the exact card
