master_card_id	master_form	all_registered_surfaces	semantic_atoms	short_default_de	teaching_tier	productivity_tier	event_count	records	pages	revised_teaching_tier	final_teaching_tier
MC001	chdal	chdal	CHD+AL	umsetzen+Ziel	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B5	f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC002	okeey	okeey|qokeey	OK+EE+Y	ansetzen+länger+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	7	B1|B2|B3|B4	f81v|f82r|f83r	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen+länger+Schluss	SPECIALIST_OR_LEARNED_CARD	NARROW_RECURRENT_PATTERN	1	B3	f83r	SPECIALIST_TABLET_CARD	SPECIALIST_TABLET_CARD
MC004	ldy	ldy	L+CLOSE	abführen+Schluss	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	2	B2|B3	f82r|f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	BRIDGE_CARD	BROAD_PRODUCTIVE_PARADIGM	2	B1|B3	f81v|f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC006	chokcheo	chokcheo	OK+CHEO	ansetzen+Auszug	SPECIALIST_OR_LEARNED_CARD	BROAD_PRODUCTIVE_PARADIGM	1	H5	f56r	SPECIALIST_TABLET_CARD	SPECIALIST_TABLET_CARD
MC007	okey	okey|qokey	OK+E+Y	ansetzen+kurz+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	2	B1|B2	f81v|f82r	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC008	lchy	lchy	L+Y	abführen+Posten	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B2	f82r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC009	chary	chary	AR+Y	Quelle+Posten	CORE_CARD	LEARNED_WHOLE_CARD	1	B3	f83r	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC010	chodaly	chodaly	HO+AL+Y	Zutat+Ziel+Posten	SPECIALIST_OR_LEARNED_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	H5	f56r	SPECIALIST_TABLET_CARD	SPECIALIST_TABLET_CARD
MC011	lchedar	lchedar	L+CHD+AR	abführen+umsetzen+Quelle	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B2	f82r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC012	dl	dl	LOCAL_WHOLE	Zusatz	SPECIALIST_OR_LEARNED_CARD	LEARNED_WHOLE_CARD	2	B1	f81v	SPECIALIST_TABLET_CARD	SPECIALIST_TABLET_CARD
MC013	otchor	otchor|qotchor	OT+OR	danach+Ansatz	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	2	H2|H5	f10r|f56r	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC014	chair	chair	AIR	Lauf	BRIDGE_CARD	LEARNED_WHOLE_CARD	1	H1	f10r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC015	qokokchy	qokokchy	OK+OK+Y	ansetzen+ansetzen+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	H5	f56r	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC016	rol	rol	OL	weiter	CORE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B1	f81v	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC017	okain	okain|qokain	OK+AIN	ansetzen+Anteil	BRIDGE_CARD	BROAD_PRODUCTIVE_PARADIGM	7	B1|B2|B3|B4	f81v|f82r|f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC018	qotedaiin	qotedaiin	OT+E+AIIN	danach+kurz+Sollmaß	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	B3	f83r	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC019	oldy	oldy	OL+CLOSE	weiter+Schluss	CORE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	2	B4|H4	f55v|f83r	PORTABLE_CORE_CARD	PORTABLE_EXACT_CORE_CARD
MC020	solkeey	solkeey	SOLK+EE+Y	sammeln+länger+Posten	SPECIALIST_OR_LEARNED_CARD	NARROW_RECURRENT_PATTERN	1	B6	f83r	SPECIALIST_TABLET_CARD	SPECIALIST_TABLET_CARD
MC021	oltchy	oltchy	OL+CTH+Y	weiter+bereit+Posten	CORE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	H4	f55v	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC022	chckhal	chckhal	CKH+AL	Durchlass+Ziel	BRIDGE_CARD	NARROW_RECURRENT_PATTERN	1	B4	f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC023	kair	kair	AIR	Lauf	BRIDGE_CARD	LEARNED_WHOLE_CARD	1	B1	f81v	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC024	qokol	qokol	OK+OL	ansetzen+weiter	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	1	B4	f83r	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC025	dchedy	dchedy|schedy|tchedy	CHD+CLOSE	umsetzen+Schluss	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	4	B1|B2|B3	f81v|f82r|f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC026	choky	choky|oky|qoky	OK+Y	ansetzen+Posten	CORE_CARD	BROAD_PRODUCTIVE_PARADIGM	10	B1|B2|B3|B4|H1|H5	f10r|f56r|f81v|f82r|f83r	PORTABLE_CORE_CARD	PORTABLE_EXACT_CORE_CARD
MC027	oykchor	oykchor	Y+KCH+OR	Posten+bearbeiten+Ansatz	CORE_CARD	LEARNED_WHOLE_CARD	1	H2	f10r	PORTABLE_CORE_CARD	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC028	olchedy	olchedy|qolchedy	OL+CHD+CLOSE	weiter+umsetzen+Schluss	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	3	B1|B2|B3	f81v|f82r|f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC029	lar	lar	L+AR	abführen+Quelle	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B2	f82r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC030	lo	lo	L	abführen	BRIDGE_CARD	BOUNDED_PRODUCTIVE_PARADIGM	1	B3	f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC031	dalchdy	dalchdy	AL+CHD+CLOSE	Ziel+umsetzen+Schluss	BRIDGE_CARD	LEARNED_WHOLE_CARD	1	B3	f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC032	cheeky	cheeky	CHK+EE+Y	wärmen+länger+Posten	BRIDGE_CARD	NARROW_RECURRENT_PATTERN	2	B4|H4	f55v|f83r	PORTABLE_EXACT_BRIDGE_CARD	PORTABLE_EXACT_BRIDGE_CARD
MC033	oiiin	oiiin|soiiin	IIN	Stufe	BRIDGE_CARD	LEARNED_WHOLE_CARD	2	B1|B3	f81v|f83r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC034	cho	cho|sho	HO	Zutat	SPECIALIST_OR_LEARNED_CARD	BOUNDED_PRODUCTIVE_PARADIGM	4	H5	f56r	SPECIALIST_TABLET_CARD	SPECIALIST_TABLET_CARD
MC035	chckhy	chckhy|shckhy	CKH+Y	Durchlass+Posten	BRIDGE_CARD	NARROW_RECURRENT_PATTERN	4	B1|B2	f81v|f82r	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
