unified_serial	compiler_mode	page	unit_id	local_address	visible_identity	registered_identity	short_default_de	continuous_reading_de	owner_or_namespace
1	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E1	dchey	MC071	Wurzel+Posten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
2	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E2	cthoor	MC158	bereit+Ansatz	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
3	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E3	char	MC055	Quelle	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
4	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E4	chty	MC086	teilen+Teil	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
5	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E5	os	MC159	Gefäß	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
6	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E6	chair	MC014	Lauf	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
7	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E7	otytchol	MC069	danach+Teil+weiter	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
8	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E8	oky	MC026	ansetzen+Posten	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
9	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E9	daiin	MC039	Sollmaß	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
10	COMBINATORIAL_PROSE	f10r	H1	H1-S001:E10	etyd	MC108	kurz+Teil	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.	HERBAL_OR_OTHER_BIO_CURRENT_READING
