event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	semantic_atoms	short_default_de	final_teaching_tier	section_deck_status	assigned_renderer	revised_renderer_status	formula_tags_for_statement	order_tags_for_statement	selected_content_layer	current_statement_reading_de
1	H1-S001	H1	f10r	dchey	MC071	DCHE+Y	Wurzel+Posten	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
2	H1-S001	H1	f10r	cthoor	MC158	CTH+OR	bereit+Ansatz	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
3	H1-S001	H1	f10r	char	MC055	AR	Quelle	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	SECONDARY_REPERTOIRE_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
4	H1-S001	H1	f10r	chty	MC086	PARTITION+TY	teilen+Teil	PORTABLE_EXACT_BRIDGE_CARD	SHARED_17	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
5	H1-S001	H1	f10r	os	MC159	OS	Gefäß	SPECIALIST_TABLET_CARD	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
6	H1-S001	H1	f10r	chair	MC014	AIR	Lauf	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
7	H1-S001	H1	f10r	otytchol	MC069	OT+TY+OL	danach+Teil+weiter	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
8	H1-S001	H1	f10r	oky	MC026	OK+Y	ansetzen+Posten	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
9	H1-S001	H1	f10r	daiin	MC039	AIIN	Sollmaß	PORTABLE_EXACT_CORE_CARD	SHARED_17	R-D	COPY_MASTER_EXEMPLAR_OVERRIDE	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
10	H1-S001	H1	f10r	etyd	MC108	E+TY	kurz+Teil	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	HERBAL_EXTENSION_49	R-D	PRIMARY_HABIT_MATCH	NONE	NONE	HERBAL_OR_OTHER_BIO_CURRENT_READING	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
