desk	step	node	card_no	surface	semantic_component_parse	invariant_reading_de	licensed_surfaces	surface_selection_basis	same_surface_seen_at_desk	same_card_events_at_desk	surface_is_licensed	surface_uniquely_backreads_to_card	backread_card_no	backread_meaning_unchanged
P_PREPARATION_DESK	1	M	PROC038	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	okaiin|qokaiin	DIRECT_DESK_ATTESTED	1	1	YES	YES	PROC038	YES
P_PREPARATION_DESK	2	T	PROC048	okal	OK+AL	ANSETZEN · ZIELSTELLE	okal|qokal	DIRECT_DESK_ATTESTED	1	1	YES	YES	PROC048	YES
P_PREPARATION_DESK	3	W	PROC028	cfhy	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	cfhy	DIRECT_DESK_ATTESTED	1	1	YES	YES	PROC028	YES
P_PREPARATION_DESK	4	P	PROC030	cphy	P+Y	EINFUELLEN · ARBEITSPOSTEN	cphy	DIRECT_DESK_ATTESTED	1	1	YES	YES	PROC030	YES
P_PREPARATION_DESK	5	H	PROC122	tshey	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	tshey	SINGLE_SURFACE_CARD_BORROWED_UNCHANGED	0	0	YES	YES	PROC122	YES
P_PREPARATION_DESK	6	C	PROC078	shedy	SHED+DY	ABSETZEN; SCHLUSS	cheedy|shedy|tedy	GLOBAL_LICENSED_FALLBACK_NO_DESK_EVENT	0	0	YES	YES	PROC078	YES
B_BATH_DESK	1	M	PROC038	okaiin	OK+AIIN	ANSETZEN · SOLLMASS	okaiin|qokaiin	DIRECT_DESK_ATTESTED	1	4	YES	YES	PROC038	YES
B_BATH_DESK	2	T	PROC048	okal	OK+AL	ANSETZEN · ZIELSTELLE	okal|qokal	DIRECT_DESK_ATTESTED	1	4	YES	YES	PROC048	YES
B_BATH_DESK	3	W	PROC028	cfhy	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	cfhy	SINGLE_SURFACE_CARD_BORROWED_UNCHANGED	0	0	YES	YES	PROC028	YES
B_BATH_DESK	4	P	PROC030	cphy	P+Y	EINFUELLEN · ARBEITSPOSTEN	cphy	SINGLE_SURFACE_CARD_BORROWED_UNCHANGED	0	0	YES	YES	PROC030	YES
B_BATH_DESK	5	H	PROC122	tshey	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	tshey	DIRECT_DESK_ATTESTED	1	1	YES	YES	PROC122	YES
B_BATH_DESK	6	C	PROC078	tedy	SHED+DY	ABSETZEN; SCHLUSS	cheedy|shedy|tedy	DIRECT_DESK_ATTESTED	1	5	YES	YES	PROC078	YES
S_STATION_DESK	1	M	PROC038	qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	okaiin|qokaiin	DIRECT_DESK_ATTESTED	4	4	YES	YES	PROC038	YES
S_STATION_DESK	2	T	PROC048	qokal	OK+AL	ANSETZEN · ZIELSTELLE	okal|qokal	DIRECT_DESK_ATTESTED	1	1	YES	YES	PROC048	YES
S_STATION_DESK	3	W	PROC028	cfhy	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	cfhy	SINGLE_SURFACE_CARD_BORROWED_UNCHANGED	0	0	YES	YES	PROC028	YES
S_STATION_DESK	4	P	PROC030	cphy	P+Y	EINFUELLEN · ARBEITSPOSTEN	cphy	SINGLE_SURFACE_CARD_BORROWED_UNCHANGED	0	0	YES	YES	PROC030	YES
S_STATION_DESK	5	H	PROC122	tshey	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	tshey	SINGLE_SURFACE_CARD_BORROWED_UNCHANGED	0	0	YES	YES	PROC122	YES
S_STATION_DESK	6	C	PROC078	shedy	SHED+DY	ABSETZEN; SCHLUSS	cheedy|shedy|tedy	DIRECT_DESK_ATTESTED	7	7	YES	YES	PROC078	YES
