master_card_id	master_form	registered_surfaces	invariant_value_de	bridge_role	total_occurrences	herbal_occurrences	bio_occurrences	herbal_records	bio_records	herbal_example	bio_example	portability	reading_rule_de
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	Sollmaß	MENGE_STUFE	20	9	11	H1|H2|H3|H4|H5	B1|B2|B3|B4|B5|B6	H1-S001:daiin	B1-S002:daiin	STRONG_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC153	cheol	cheol|chol|ol|qol|sol|tol	weiter	FORTSETZUNG	19	3	16	H1|H2	B1|B3|B4|B5|B6	H1-S002:chol	B1-S002:ol	STRONG_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC123	chey	chey|chy|dy|shy|sy|y	dies	AKTIVER_POSTEN	18	9	9	H2|H3|H4	B1|B2|B3|B4|B6	H2-S001:dy	B1-S008:chey	STRONG_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC074	chdy	chdy|chedy	überführen	TRANSFER	11	1	10	H4	B1|B3|B4|B5	H4-S002:chedy	B1-S004:chedy	ASYMMETRIC_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC026	choky	choky|oky|qoky	einsetzen	EINSATZ	10	3	7	H1|H5	B1|B2|B3|B4	H1-S001:oky	B1-S011:qoky	STRONG_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC154	al	al|chal|cheal|dal|sal|tal	dorthin	ZIEL	10	1	9	H5	B1|B2|B3|B4|B5	H5-S001:dal	B1-S002:al	ASYMMETRIC_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC120	okaiin	okaiin|qokaiin	bemessen	MENGE_HANDLUNG	9	1	8	H4	B1|B2|B3	H4-S001:qokaiin	B1-S002:okaiin	ASYMMETRIC_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC080	chor	chor|or|shor|sor	Ansatz	ZUBEREITUNG	7	5	2	H2|H4	B3|B4	H2-S001:chor	B3-S012:sor	STRONG_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC161	checthy	checthy|cthy|shcthy	bereit	ZUSTAND	7	3	4	H1|H2|H3	B3	H1-S002:cthy	B3-S021:shcthy	STRONG_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC040	okal	okal|qokal	dorthin einsetzen	ZIEL_EINSATZ	6	1	5	H4	B1|B2|B3	H4-S004:okal	B1-S002:okal	ASYMMETRIC_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC055	char	char|dar|sar	davon	QUELLBEZUG	5	2	3	H1|H2	B1|B2|B3	H1-S001:char	B1-S002:sar	STRONG_PORTABLE_CORE	denselben kurzen Werkstattwert in beiden Registern lesen
MC119	cheey	cheey|shey	Klarlauf	PRODUKT	4	1	3	H3	B2|B4	H3-S001:shey	B2-S010:cheey	THIN_BUT_READABLE_BRIDGE	denselben kurzen Werkstattwert in beiden Registern lesen
MC019	oldy	oldy	fertig	ENDZUSTAND	2	1	1	H4	B4	H4-S003:oldy	B4-S010:oldy	THIN_BUT_READABLE_BRIDGE	denselben kurzen Werkstattwert in beiden Registern lesen
MC032	cheeky	cheeky	länger bearbeiten	DAUER_HANDLUNG	2	1	1	H4	B4	H4-S003:cheeky	B4-S008:cheeky	THIN_BUT_READABLE_BRIDGE	denselben kurzen Werkstattwert in beiden Registern lesen
MC086	chety	chety|chty	Teil	MATERIALTEIL	2	1	1	H1	B3	H1-S001:chty	B3-S034:chety	THIN_BUT_READABLE_BRIDGE	denselben kurzen Werkstattwert in beiden Registern lesen
MC157	cholor	cholor|olor	derselbe Ansatz	FORTGEFUEHRTE_ZUBEREITUNG	2	1	1	H2	B1	H2-S002:cholor	B1-S002:olor	THIN_BUT_READABLE_BRIDGE	denselben kurzen Werkstattwert in beiden Registern lesen
MC171	otchey	otchey	das nächste	FOLGEPOSTEN	2	1	1	H5	B4	H5-S006:otchey	B4-S003:otchey	THIN_BUT_READABLE_BRIDGE	denselben kurzen Werkstattwert in beiden Registern lesen
